time/episodes,rollout/ep_len_mean,train/critic_loss,train/actor_loss,time/time_elapsed,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/fps
4,500.0,0.08696798235177994,-12.113046646118164,38,0.7788496017456055,-2.95733642578125,0.00075,334,10000,0.0,257
8,500.0,,,38,,,,,10000,0.0,256
12,500.0,,,38,,,,,10000,0.0,256
16,500.0,,,38,,,,,10000,0.0,256
20,500.0,,,38,,,,,10000,0.0,256
24,500.0,0.03638558089733124,-15.906824111938477,78,0.5352501273155212,-7.354659557342529,0.00075,834,20000,0.0,254
28,500.0,,,78,,,,,20000,0.0,254
32,500.0,,,78,,,,,20000,0.0,254
36,500.0,,,78,,,,,20000,0.0,254
40,500.0,,,78,,,,,20000,0.0,254
44,500.0,0.09513330459594727,-19.041988372802734,111,0.3678406774997711,-11.783003807067871,0.00075,1334,30000,0.0,269
48,500.0,,,111,,,,,30000,0.0,269
52,500.0,,,111,,,,,30000,0.0,269
56,500.0,,,111,,,,,30000,0.0,269
60,500.0,,,111,,,,,30000,0.0,269
64,500.0,0.023343410342931747,-20.60116195678711,143,0.25282859802246094,-16.202987670898438,0.00075,1834,40000,0.0,278
68,500.0,,,143,,,,,40000,0.0,278
72,500.0,,,143,,,,,40000,0.0,278
76,500.0,,,143,,,,,40000,0.0,278
80,500.0,,,143,,,,,40000,0.0,278
84,500.0,0.033174820244312286,-21.608495712280273,176,0.173824742436409,-20.653491973876953,0.00075,2334,50000,0.0,283
88,500.0,,,176,,,,,50000,0.0,283
92,500.0,,,176,,,,,50000,0.0,283
96,500.0,,,176,,,,,50000,0.0,283
100,500.0,,,176,,,,,50000,0.0,283
104,500.0,0.06749506294727325,-22.10512924194336,209,0.11960933357477188,-24.765094757080078,0.00075,2834,60000,0.0,286
108,500.0,,,209,,,,,60000,0.0,286
112,500.0,,,209,,,,,60000,0.0,286
116,500.0,,,209,,,,,60000,0.0,286
120,500.0,,,209,,,,,60000,0.0,286
124,500.0,3.504260301589966,-22.076797485351562,242,0.08234631270170212,-29.102445602416992,0.00075,3334,70000,0.0,288
128,500.0,,,242,,,,,70000,0.0,288
132,500.0,,,242,,,,,70000,0.0,288
136,500.0,,,242,,,,,70000,0.0,288
140,500.0,,,242,,,,,70000,0.0,288
144,500.0,0.06757184863090515,-22.00931167602539,275,0.05678195506334305,-32.696834564208984,0.00075,3834,80000,0.0,289
148,500.0,,,275,,,,,80000,0.0,289
152,500.0,,,275,,,,,80000,0.0,289
156,500.0,,,275,,,,,80000,0.0,289
160,500.0,,,275,,,,,80000,0.0,289
164,500.0,0.11243849992752075,-21.26706314086914,309,0.03929560258984566,-34.637367248535156,0.00075,4334,90000,0.0,290
168,500.0,,,309,,,,,90000,0.0,290
172,500.0,,,309,,,,,90000,0.0,290
176,500.0,,,309,,,,,90000,0.0,290
180,500.0,,,309,,,,,90000,0.0,290
184,500.0,3.3188636302948,-20.80164337158203,343,0.02734912559390068,-40.102195739746094,0.00075,4834,100000,0.0,291
188,500.0,,,343,,,,,100000,0.0,291
192,500.0,,,343,,,,,100000,0.0,291
196,500.0,,,343,,,,,100000,0.0,291
200,500.0,,,343,,,,,100000,0.0,291
204,500.0,0.04007592052221298,-20.77915382385254,377,0.01926136203110218,-39.884437561035156,0.00075,5334,110000,0.0,291
208,500.0,,,377,,,,,110000,0.0,291
212,500.0,,,377,,,,,110000,0.0,291
216,500.0,,,377,,,,,110000,0.0,291
220,500.0,,,377,,,,,110000,0.0,291
224,500.0,0.04834592342376709,-20.02016830444336,410,0.013980584219098091,-39.33686065673828,0.00075,5834,120000,0.0,292
228,500.0,,,410,,,,,120000,0.0,292
232,500.0,,,410,,,,,120000,0.0,292
236,500.0,,,410,,,,,120000,0.0,292
240,500.0,,,410,,,,,120000,0.0,292
244,500.0,0.06835613399744034,-19.60879135131836,443,0.010452699847519398,-32.538143157958984,0.00075,6334,130000,0.0,293
248,500.0,,,443,,,,,130000,0.0,293
252,500.0,,,443,,,,,130000,0.0,293
256,500.0,,,443,,,,,130000,0.0,293
260,500.0,,,443,,,,,130000,0.0,293
264,500.0,0.06538870185613632,-19.31982421875,477,0.007854918949306011,-36.35429000854492,0.00075,6834,140000,0.0,292
268,500.0,,,477,,,,,140000,0.0,292
272,500.0,,,477,,,,,140000,0.0,292
276,500.0,,,477,,,,,140000,0.0,292
280,500.0,,,477,,,,,140000,0.0,292
284,500.0,0.0455777533352375,-18.66522979736328,512,0.006065757479518652,-26.48790740966797,0.00075,7334,150000,0.3,292
288,500.0,,,512,,,,,150000,0.3,292
292,500.0,,,512,,,,,150000,0.3,292
296,500.0,,,512,,,,,150000,0.3,292
300,500.0,,,512,,,,,150000,0.3,292
304,500.0,0.03859492391347885,-18.03856658935547,546,0.0048743123188614845,-29.011526107788086,0.00075,7834,160000,2.45,292
308,500.0,,,546,,,,,160000,2.45,292
312,500.0,,,546,,,,,160000,2.45,292
316,500.0,,,546,,,,,160000,2.45,292
320,500.0,,,546,,,,,160000,2.45,292
324,500.0,0.021267347037792206,-17.20953941345215,581,0.00399981252849102,-18.877071380615234,0.00075,8334,170000,2.45,292
328,500.0,,,581,,,,,170000,2.45,292
332,500.0,,,581,,,,,170000,2.45,292
336,500.0,,,581,,,,,170000,2.45,292
340,500.0,,,581,,,,,170000,2.45,292
344,500.0,0.027665618807077408,-17.040433883666992,616,0.003247761633247137,-20.353818893432617,0.00075,8834,180000,2.45,291
348,500.0,,,616,,,,,180000,2.45,291
352,500.0,,,616,,,,,180000,2.45,291
356,500.0,,,616,,,,,180000,2.45,291
360,500.0,,,616,,,,,180000,2.45,291
364,500.0,0.1428484469652176,-16.51801109313965,653,0.002710611093789339,-0.5061049461364746,0.00075,9334,190000,5.21,290
368,500.0,,,653,,,,,190000,5.21,290
372,500.0,,,653,,,,,190000,5.21,290
376,500.0,,,653,,,,,190000,5.21,290
380,500.0,,,653,,,,,190000,5.21,290
384,500.0,0.02230210416018963,-16.04279327392578,686,0.002493790816515684,-6.447476387023926,0.00075,9834,200000,4.91,291
388,500.0,,,686,,,,,200000,4.91,291
392,500.0,,,686,,,,,200000,4.91,291
396,500.0,,,686,,,,,200000,4.91,291
400,500.0,,,686,,,,,200000,4.91,291
