train/n_updates,train/ent_coef,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/ent_coef_loss,train/critic_loss,time/time_elapsed,time/episodes,train/actor_loss
334,0.7788782119750977,0.45497485,500.0,469,10000,0.00075,-2.9409966468811035,0.06312081217765808,21,4,-12.142045021057129
,,0.45497485,500.0,469,10000,,,,21,8,
,,0.45497485,500.0,469,10000,,,,21,12,
,,0.45497485,500.0,469,10000,,,,21,16,
,,0.45497485,500.0,469,10000,,,,21,20,
834,0.5352173447608948,0.61219005,500.0,439,20000,0.00075,-7.34642219543457,1.508333444595337,45,24,-16.106578826904297
,,0.61219005,500.0,439,20000,,,,45,28,
,,0.61219005,500.0,439,20000,,,,45,32,
,,0.61219005,500.0,439,20000,,,,45,36,
,,0.61219005,500.0,439,20000,,,,45,40,
1334,0.36786821484565735,0.6009452333333333,500.0,429,30000,0.00075,-11.797698020935059,0.02543795108795166,69,44,-19.252853393554688
,,0.6009452333333333,500.0,429,30000,,,,69,48,
,,0.6009452333333333,500.0,429,30000,,,,69,52,
,,0.6009452333333333,500.0,429,30000,,,,69,56,
,,0.6009452333333333,500.0,429,30000,,,,69,60,
1834,0.25287288427352905,0.552494375,500.0,426,40000,0.00075,-16.1793212890625,0.06389300525188446,93,64,-21.01174545288086
,,0.552494375,500.0,426,40000,,,,93,68,
,,0.552494375,500.0,426,40000,,,,93,72,
,,0.552494375,500.0,426,40000,,,,93,76,
,,0.552494375,500.0,426,40000,,,,93,80,
2334,0.173858642578125,0.56917663,500.0,423,50000,0.00075,-20.46575355529785,3.4382665157318115,117,84,-21.880373001098633
,,0.56917663,500.0,423,50000,,,,117,88,
,,0.56917663,500.0,423,50000,,,,117,92,
,,0.56917663,500.0,423,50000,,,,117,96,
,,0.56917663,500.0,423,50000,,,,117,100,
2834,0.11959675699472427,0.55286546,500.0,420,60000,0.00075,-24.78006362915039,0.012619582004845142,142,104,-22.436853408813477
,,0.55286546,500.0,420,60000,,,,142,108,
,,0.55286546,500.0,420,60000,,,,142,112,
,,0.55286546,500.0,420,60000,,,,142,116,
,,0.55286546,500.0,420,60000,,,,142,120,
3334,0.08241896331310272,0.5033305100000001,500.0,418,70000,0.00075,-28.777246475219727,0.026980753988027573,167,124,-22.42007064819336
,,0.5033305100000001,500.0,418,70000,,,,167,128,
,,0.5033305100000001,500.0,418,70000,,,,167,132,
,,0.5033305100000001,500.0,418,70000,,,,167,136,
,,0.5033305100000001,500.0,418,70000,,,,167,140,
3834,0.056815240532159805,0.5675695599999999,500.0,416,80000,0.00075,-33.246829986572266,0.020719144493341446,192,144,-22.555339813232422
,,0.5675695599999999,500.0,416,80000,,,,192,148,
,,0.5675695599999999,500.0,416,80000,,,,192,152,
,,0.5675695599999999,500.0,416,80000,,,,192,156,
,,0.5675695599999999,500.0,416,80000,,,,192,160,
4334,0.03919973224401474,0.51767783,500.0,415,90000,0.00075,-36.783180236816406,7.245955467224121,216,164,-21.850645065307617
,,0.51767783,500.0,415,90000,,,,216,168,
,,0.51767783,500.0,415,90000,,,,216,172,
,,0.51767783,500.0,415,90000,,,,216,176,
,,0.51767783,500.0,415,90000,,,,216,180,
4834,0.027280140668153763,0.79677555,500.0,414,100000,0.00075,-41.56937026977539,0.0942336916923523,241,184,-21.419330596923828
,,0.79677555,500.0,414,100000,,,,241,188,
,,0.79677555,500.0,414,100000,,,,241,192,
,,0.79677555,500.0,414,100000,,,,241,196,
,,0.79677555,500.0,414,100000,,,,241,200,
5334,0.019095860421657562,0.7810058,500.0,412,110000,0.00075,-40.58528518676758,0.018161414191126823,266,204,-21.180564880371094
,,0.7810058,500.0,412,110000,,,,266,208,
,,0.7810058,500.0,412,110000,,,,266,212,
,,0.7810058,500.0,412,110000,,,,266,216,
