train/n_updates,time/fps,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/learning_rate,train/ent_coef,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,train/ent_coef_loss,time/episodes
334,488,0.4296025,0.07618235051631927,10000,0.00075,0.7788561582565308,20,500.0,-11.903661727905273,-2.936509132385254,4
,488,0.4296025,,10000,,,20,500.0,,,8
,488,0.4296025,,10000,,,20,500.0,,,12
,488,0.4296025,,10000,,,20,500.0,,,16
,488,0.4296025,,10000,,,20,500.0,,,20
834,449,0.4125368750000001,1.3329126834869385,20000,0.00075,0.5352067351341248,44,500.0,-15.931833267211914,-7.349115371704102,24
,449,0.4125368750000001,,20000,,,44,500.0,,,28
,449,0.4125368750000001,,20000,,,44,500.0,,,32
,449,0.4125368750000001,,20000,,,44,500.0,,,36
,449,0.4125368750000001,,20000,,,44,500.0,,,40
1334,435,0.4297529166666667,0.03465397655963898,30000,0.00075,0.3678678274154663,68,500.0,-18.920364379882812,-11.811010360717773,44
,435,0.4297529166666667,,30000,,,68,500.0,,,48
,435,0.4297529166666667,,30000,,,68,500.0,,,52
,435,0.4297529166666667,,30000,,,68,500.0,,,56
,435,0.4297529166666667,,30000,,,68,500.0,,,60
1834,429,0.4488136625,0.04929805546998978,40000,0.00075,0.2528679072856903,93,500.0,-20.863332748413086,-16.221893310546875,64
,429,0.4488136625,,40000,,,93,500.0,,,68
,429,0.4488136625,,40000,,,93,500.0,,,72
,429,0.4488136625,,40000,,,93,500.0,,,76
,429,0.4488136625,,40000,,,93,500.0,,,80
2334,425,0.49583063000000005,3.053001880645752,50000,0.00075,0.17388089001178741,117,500.0,-21.471263885498047,-20.353313446044922,84
,425,0.49583063000000005,,50000,,,117,500.0,,,88
,425,0.49583063000000005,,50000,,,117,500.0,,,92
,425,0.49583063000000005,,50000,,,117,500.0,,,96
,425,0.49583063000000005,,50000,,,117,500.0,,,100
2834,423,0.51389913,0.045221470296382904,60000,0.00075,0.11973963677883148,141,500.0,-22.204395294189453,-24.703548431396484,104
,423,0.51389913,,60000,,,141,500.0,,,108
,423,0.51389913,,60000,,,141,500.0,,,112
,423,0.51389913,,60000,,,141,500.0,,,116
,422,0.51389913,,60000,,,141,500.0,,,120
3334,422,0.54896202,0.03091353550553322,70000,0.00075,0.08264461904764175,165,500.0,-22.247329711914062,-28.65180015563965,124
,422,0.54896202,,70000,,,165,500.0,,,128
,422,0.54896202,,70000,,,165,500.0,,,132
,422,0.54896202,,70000,,,165,500.0,,,136
,422,0.54896202,,70000,,,165,500.0,,,140
3834,419,0.8433211899999999,0.050035662949085236,80000,0.00075,0.05718154460191727,190,500.0,-22.333431243896484,-33.23163604736328,144
,419,0.8433211899999999,,80000,,,190,500.0,,,148
,419,0.8433211899999999,,80000,,,190,500.0,,,152
,419,0.8433211899999999,,80000,,,190,500.0,,,156
,419,0.8433211899999999,,80000,,,190,500.0,,,160
4334,418,1.1649288899999999,5.498155117034912,90000,0.00075,0.03981059789657593,214,500.0,-21.54175567626953,-36.058563232421875,164
,418,1.1649288899999999,,90000,,,214,500.0,,,168
,418,1.1649288899999999,,90000,,,214,500.0,,,172
,418,1.1649288899999999,,90000,,,214,500.0,,,176
,418,1.1649288899999999,,90000,,,214,500.0,,,180
4834,416,2.2733509300000003,0.1535857915878296,100000,0.00075,0.027966588735580444,239,500.0,-21.250865936279297,-39.63201904296875,184
,416,2.2733509300000003,,100000,,,239,500.0,,,188
,416,2.2733509300000003,,100000,,,239,500.0,,,192
,416,2.2733509300000003,,100000,,,239,500.0,,,196
,416,2.2733509300000003,,100000,,,239,500.0,,,200
5334,415,2.20532149,0.026834826916456223,110000,0.00075,0.01976550742983818,264,500.0,-20.77734375,-34.980072021484375,204
,415,2.20532149,,110000,,,264,500.0,,,208
,415,2.20532149,,110000,,,264,500.0,,,212
,415,2.20532149,,110000,,,264,500.0,,,216
,415,2.20532149,,110000,,,264,500.0,,,220
5834,414,2.3317084700000006,0.10345861315727234,120000,0.00075,0.014193367213010788,289,500.0,-20.289138793945312,-30.969755172729492,224
,414,2.3317084700000006,,120000,,,289,500.0,,,228
,414,2.3317084700000006,,120000,,,289,500.0,,,232
,414,2.3317084700000006,,120000,,,289,500.0,,,236
,414,2.3317084700000006,,120000,,,289,500.0,,,240
