time/fps,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,train/learning_rate,train/critic_loss,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,time/episodes,train/actor_loss
480,334,0.44649079999999997,-1.1744954586029053,0.0003,0.10802699625492096,20,10000,500.0,0.9048672318458557,4,-12.964984893798828
480,,0.44649079999999997,,,,20,10000,500.0,,8,
480,,0.44649079999999997,,,,20,10000,500.0,,12,
480,,0.44649079999999997,,,,20,10000,500.0,,16,
480,,0.44649079999999997,,,,20,10000,500.0,,20,
446,834,0.371380975,-2.938276767730713,0.0003,2.0124168395996094,44,20000,500.0,0.7787749171257019,24,-19.597076416015625
446,,0.371380975,,,,44,20000,500.0,,28,
446,,0.371380975,,,,44,20000,500.0,,32,
446,,0.371380975,,,,44,20000,500.0,,36,
446,,0.371380975,,,,44,20000,500.0,,40,
439,1334,0.3986263166666666,-4.723265647888184,0.0003,0.07069958746433258,68,30000,500.0,0.6703113913536072,44,-26.107820510864258
439,,0.3986263166666666,,,,68,30000,500.0,,48,
439,,0.3986263166666666,,,,68,30000,500.0,,52,
439,,0.3986263166666666,,,,68,30000,500.0,,56,
439,,0.3986263166666666,,,,68,30000,500.0,,60,
430,1834,0.3988082,-6.485622882843018,0.0003,0.07794490456581116,92,40000,500.0,0.5769563317298889,64,-31.36652183532715
430,,0.3988082,,,,92,40000,500.0,,68,
430,,0.3988082,,,,92,40000,500.0,,72,
430,,0.3988082,,,,92,40000,500.0,,76,
430,,0.3988082,,,,92,40000,500.0,,80,
429,2334,0.4563600899999999,-8.202937126159668,0.0003,8.56538200378418,116,50000,500.0,0.4966042637825012,84,-36.12900161743164
429,,0.4563600899999999,,,,116,50000,500.0,,88,
429,,0.4563600899999999,,,,116,50000,500.0,,92,
429,,0.4563600899999999,,,,116,50000,500.0,,96,
429,,0.4563600899999999,,,,116,50000,500.0,,100,
426,2834,0.48164233,-9.990821838378906,0.0003,0.051096104085445404,140,60000,500.0,0.4274788498878479,104,-39.41185760498047
426,,0.48164233,,,,140,60000,500.0,,108,
426,,0.48164233,,,,140,60000,500.0,,112,
426,,0.48164233,,,,140,60000,500.0,,116,
426,,0.48164233,,,,140,60000,500.0,,120,
428,3334,0.5264720700000001,-11.690853118896484,0.0003,0.05687539279460907,163,70000,500.0,0.367998868227005,124,-42.11294174194336
428,,0.5264720700000001,,,,163,70000,500.0,,128,
428,,0.5264720700000001,,,,163,70000,500.0,,132,
428,,0.5264720700000001,,,,163,70000,500.0,,136,
428,,0.5264720700000001,,,,163,70000,500.0,,140,
427,3834,0.62365976,-13.541742324829102,0.0003,0.11143048107624054,187,80000,500.0,0.31680819392204285,144,-44.302734375
427,,0.62365976,,,,187,80000,500.0,,148,
427,,0.62365976,,,,187,80000,500.0,,152,
427,,0.62365976,,,,187,80000,500.0,,156,
427,,0.62365976,,,,187,80000,500.0,,160,
426,4334,0.5918576499999999,-15.274063110351562,0.0003,28.74081039428711,210,90000,500.0,0.27273592352867126,164,-45.59607696533203
426,,0.5918576499999999,,,,210,90000,500.0,,168,
426,,0.5918576499999999,,,,210,90000,500.0,,172,
426,,0.5918576499999999,,,,210,90000,500.0,,176,
426,,0.5918576499999999,,,,210,90000,500.0,,180,
425,4834,0.7198268100000002,-16.995410919189453,0.0003,0.149409219622612,235,100000,500.0,0.23481447994709015,184,-46.641578674316406
425,,0.7198268100000002,,,,235,100000,500.0,,188,
425,,0.7198268100000002,,,,235,100000,500.0,,192,
425,,0.7198268100000002,,,,235,100000,500.0,,196,
425,,0.7198268100000002,,,,235,100000,500.0,,200,
425,5334,0.6645767,-18.40479278564453,0.0003,0.08953483402729034,258,110000,500.0,0.20223776996135712,204,-47.833152770996094
425,,0.6645767,,,,258,110000,500.0,,208,
425,,0.6645767,,,,258,110000,500.0,,212,
425,,0.6645767,,,,258,110000,500.0,,216,
425,,0.6645767,,,,258,110000,500.0,,220,
423,5834,0.6482255299999999,-20.340782165527344,0.0003,0.4654847979545593,283,120000,500.0,0.17421641945838928,224,-47.94382095336914
423,,0.6482255299999999,,,,283,120000,500.0,,228,
423,,0.6482255299999999,,,,283,120000,500.0,,232,
423,,0.6482255299999999,,,,283,120000,500.0,,236,
423,,0.6482255299999999,,,,283,120000,500.0,,240,
421,6334,0.6017235400000001,-21.687313079833984,0.0003,32.66506576538086,308,130000,500.0,0.15011830627918243,244,-48.22112274169922
421,,0.6017235400000001,,,,308,130000,500.0,,248,
421,,0.6017235400000001,,,,308,130000,500.0,,252,
421,,0.6017235400000001,,,,308,130000,500.0,,256,
421,,0.6017235400000001,,,,308,130000,500.0,,260,
419,6834,0.7819336599999999,-23.58199691772461,0.0003,0.0932498574256897,333,140000,500.0,0.12936179339885712,264,-47.76378631591797
419,,0.7819336599999999,,,,333,140000,500.0,,268,
419,,0.7819336599999999,,,,333,140000,500.0,,272,
419,,0.7819336599999999,,,,333,140000,500.0,,276,
419,,0.7819336599999999,,,,333,140000,500.0,,280,
419,7334,0.8266925699999998,-24.437742233276367,0.0003,0.3092637062072754,357,150000,500.0,0.11148634552955627,284,-47.404327392578125
419,,0.8266925699999998,,,,357,150000,500.0,,288,
419,,0.8266925699999998,,,,357,150000,500.0,,292,
419,,0.8266925699999998,,,,357,150000,500.0,,296,
419,,0.8266925699999998,,,,357,150000,500.0,,300,
418,7834,1.0012146999999998,-26.80685806274414,0.0003,0.10473494231700897,382,160000,500.0,0.09610068798065186,304,-47.384307861328125
418,,1.0012146999999998,,,,382,160000,500.0,,308,
418,,1.0012146999999998,,,,382,160000,500.0,,312,
418,,1.0012146999999998,,,,382,160000,500.0,,316,
418,,1.0012146999999998,,,,382,160000,500.0,,320,
418,8334,0.9532598800000001,-28.113603591918945,0.0003,0.15914008021354675,406,170000,500.0,0.08295182138681412,324,-46.244163513183594
418,,0.9532598800000001,,,,406,170000,500.0,,328,
418,,0.9532598800000001,,,,406,170000,500.0,,332,
418,,0.9532598800000001,,,,406,170000,500.0,,336,
418,,0.9532598800000001,,,,406,170000,500.0,,340,
417,8834,0.88488955,-28.888378143310547,0.0003,0.04689083248376846,431,180000,500.0,0.07159115374088287,344,-46.254432678222656
416,,0.88488955,,,,431,180000,500.0,,348,
416,,0.88488955,,,,431,180000,500.0,,352,
416,,0.88488955,,,,431,180000,500.0,,356,
416,,0.88488955,,,,431,180000,500.0,,360,
416,9334,0.72488799,-28.693593978881836,0.0003,0.09678255766630173,456,190000,500.0,0.06188856437802315,364,-45.26751708984375
416,,0.72488799,,,,456,190000,500.0,,368,
416,,0.72488799,,,,456,190000,500.0,,372,
416,,0.72488799,,,,456,190000,500.0,,376,
416,,0.72488799,,,,456,190000,500.0,,380,
415,9834,0.81154729,-30.756128311157227,0.0003,11.146858215332031,481,200000,500.0,0.05353105813264847,384,-43.57280349731445
415,,0.81154729,,,,481,200000,500.0,,388,
415,,0.81154729,,,,481,200000,500.0,,392,
415,,0.81154729,,,,481,200000,500.0,,396,
415,,0.81154729,,,,481,200000,500.0,,400,
415,10334,0.63831618,-31.24871253967285,0.0003,0.11843408644199371,505,210000,500.0,0.046420514583587646,404,-43.20677185058594
415,,0.63831618,,,,505,210000,500.0,,408,
415,,0.63831618,,,,505,210000,500.0,,412,
415,,0.63831618,,,,505,210000,500.0,,416,
415,,0.63831618,,,,505,210000,500.0,,420,
414,10834,0.94284437,-31.767839431762695,0.0003,0.09544311463832855,530,220000,500.0,0.04024403169751167,424,-42.844024658203125
414,,0.94284437,,,,530,220000,500.0,,428,
414,,0.94284437,,,,530,220000,500.0,,432,
414,,0.94284437,,,,530,220000,500.0,,436,
414,,0.94284437,,,,530,220000,500.0,,440,
414,11334,0.9220472700000002,-32.39607620239258,0.0003,0.06671341508626938,554,230000,500.0,0.03499026224017143,444,-41.51219177246094
414,,0.9220472700000002,,,,554,230000,500.0,,448,
414,,0.9220472700000002,,,,554,230000,500.0,,452,
414,,0.9220472700000002,,,,554,230000,500.0,,456,
414,,0.9220472700000002,,,,554,230000,500.0,,460,
415,11834,1.0864793300000002,-29.280996322631836,0.0003,0.08713510632514954,578,240000,500.0,0.03048175945878029,464,-40.40357971191406
415,,1.0864793300000002,,,,578,240000,500.0,,468,
415,,1.0864793300000002,,,,578,240000,500.0,,472,
415,,1.0864793300000002,,,,578,240000,500.0,,476,
415,,1.0864793300000002,,,,578,240000,500.0,,480,
415,12334,0.7193783100000002,-31.513362884521484,0.0003,0.2147139012813568,601,250000,500.0,0.02666354924440384,484,-39.14495086669922
415,,0.7193783100000002,,,,601,250000,500.0,,488,
415,,0.7193783100000002,,,,601,250000,500.0,,492,
415,,0.7193783100000002,,,,601,250000,500.0,,496,
415,,0.7193783100000002,,,,601,250000,500.0,,500,
415,12834,0.7791062000000001,-22.756460189819336,0.0003,0.19036564230918884,626,260000,500.0,0.02331624925136566,504,-38.5572509765625
415,,0.7791062000000001,,,,626,260000,500.0,,508,
415,,0.7791062000000001,,,,626,260000,500.0,,512,
415,,0.7791062000000001,,,,626,260000,500.0,,516,
415,,0.7791062000000001,,,,626,260000,500.0,,520,
415,13334,0.63185381,-21.622455596923828,0.0003,0.12193115055561066,650,270000,500.0,0.020454011857509613,524,-37.971435546875
415,,0.63185381,,,,650,270000,500.0,,528,
415,,0.63185381,,,,650,270000,500.0,,532,
415,,0.63185381,,,,650,270000,500.0,,536,
415,,0.63185381,,,,650,270000,500.0,,540,
414,13834,0.6447290799999998,-23.46502113342285,0.0003,0.05855993181467056,674,280000,500.0,0.01795336790382862,544,-37.983314514160156
414,,0.6447290799999998,,,,674,280000,500.0,,548,
414,,0.6447290799999998,,,,674,280000,500.0,,552,
414,,0.6447290799999998,,,,674,280000,500.0,,556,
414,,0.6447290799999998,,,,674,280000,500.0,,560,
414,14334,2.7459968899999994,-23.938278198242188,0.0003,9.104209899902344,699,290000,500.0,0.01579844392836094,564,-36.76195526123047
414,,2.7459968899999994,,,,699,290000,500.0,,568,
414,,2.7459968899999994,,,,699,290000,500.0,,572,
414,,2.7459968899999994,,,,699,290000,500.0,,576,
414,,2.7459968899999994,,,,699,290000,500.0,,580,
414,14834,2.77766455,-20.644765853881836,0.0003,0.0914735347032547,724,300000,500.0,0.013951734639704227,584,-35.802066802978516
414,,2.77766455,,,,724,300000,500.0,,588,
414,,2.77766455,,,,724,300000,500.0,,592,
414,,2.77766455,,,,724,300000,500.0,,596,
414,,2.77766455,,,,724,300000,500.0,,600,
414,15334,5.3034578,-22.157054901123047,0.0003,0.0890667736530304,748,310000,500.0,0.012383447028696537,604,-34.95684051513672
414,,5.3034578,,,,748,310000,500.0,,608,
414,,5.3034578,,,,748,310000,500.0,,612,
414,,5.3034578,,,,748,310000,500.0,,616,
414,,5.3034578,,,,748,310000,500.0,,620,
413,15834,5.21157549,-22.111093521118164,0.0003,0.05681341886520386,773,320000,500.0,0.011070610955357552,624,-34.26395797729492
413,,5.21157549,,,,773,320000,500.0,,628,
413,,5.21157549,,,,773,320000,500.0,,632,
413,,5.21157549,,,,773,320000,500.0,,636,
413,,5.21157549,,,,773,320000,500.0,,640,
414,16334,8.18542148,-18.478382110595703,0.0003,0.06330573558807373,797,330000,500.0,0.010039320215582848,644,-33.371185302734375
414,,8.18542148,,,,797,330000,500.0,,648,
414,,8.18542148,,,,797,330000,500.0,,652,
414,,8.18542148,,,,797,330000,500.0,,656,
414,,8.18542148,,,,797,330000,500.0,,660,
414,16834,7.22561997,-5.843264102935791,0.0003,0.044939130544662476,820,340000,500.0,0.00903862901031971,664,-33.5340461730957
414,,7.22561997,,,,820,340000,500.0,,668,
414,,7.22561997,,,,820,340000,500.0,,672,
414,,7.22561997,,,,820,340000,500.0,,676,
414,,7.22561997,,,,820,340000,500.0,,680,
414,17334,7.188584770000001,-9.79629898071289,0.0003,0.05043664574623108,844,350000,500.0,0.00830590445548296,684,-32.53510284423828
414,,7.188584770000001,,,,844,350000,500.0,,688,
414,,7.188584770000001,,,,844,350000,500.0,,692,
414,,7.188584770000001,,,,844,350000,500.0,,696,
414,,7.188584770000001,,,,844,350000,500.0,,700,
414,17834,4.5924615399999995,-6.471635341644287,0.0003,0.05926480144262314,868,360000,500.0,0.007712006568908691,704,-32.19525146484375
414,,4.5924615399999995,,,,868,360000,500.0,,708,
414,,4.5924615399999995,,,,868,360000,500.0,,712,
414,,4.5924615399999995,,,,868,360000,500.0,,716,
414,,4.5924615399999995,,,,868,360000,500.0,,720,
414,18334,4.79259965,-16.75168800354004,0.0003,6.664292812347412,893,370000,500.0,0.007061240263283253,724,-31.34518051147461
414,,4.79259965,,,,893,370000,500.0,,728,
414,,4.79259965,,,,893,370000,500.0,,732,
414,,4.79259965,,,,893,370000,500.0,,736,
414,,4.79259965,,,,893,370000,500.0,,740,
414,18834,1.8900485700000003,-6.121232032775879,0.0003,0.08585156500339508,916,380000,500.0,0.006634896155446768,744,-30.864078521728516
414,,1.8900485700000003,,,,916,380000,500.0,,748,
414,,1.8900485700000003,,,,916,380000,500.0,,752,
414,,1.8900485700000003,,,,916,380000,500.0,,756,
414,,1.8900485700000003,,,,916,380000,500.0,,760,
414,19334,0.5828589500000001,-1.8941011428833008,0.0003,0.056155577301979065,940,390000,500.0,0.006440043915063143,764,-29.86690902709961
414,,0.5828589500000001,,,,940,390000,500.0,,768,
