train/critic_loss,time/episodes,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/fps,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,train/ent_coef,train/learning_rate
0.0657934695482254,4,500.0,334,2.6634368999999998,-12.0398530960083,343,10000,-2.9350485801696777,29,0.7788369655609131,0.00075
,8,500.0,,2.6634368999999998,,343,10000,,29,,
,12,500.0,,2.6634368999999998,,343,10000,,29,,
,16,500.0,,2.6634368999999998,,343,10000,,29,,
,20,500.0,,2.6634368999999998,,343,10000,,29,,
0.04494497925043106,24,500.0,834,2.133758825,-16.0906982421875,325,20000,-7.34025239944458,61,0.5352022051811218,0.00075
,28,500.0,,2.133758825,,324,20000,,61,,
,32,500.0,,2.133758825,,324,20000,,61,,
,36,500.0,,2.133758825,,324,20000,,61,,
,40,500.0,,2.133758825,,324,20000,,61,,
0.022386787459254265,44,500.0,1334,2.0069743333333334,-18.979427337646484,320,30000,-11.811701774597168,93,0.36784905195236206,0.00075
,48,500.0,,2.0069743333333334,,320,30000,,93,,
,52,500.0,,2.0069743333333334,,320,30000,,93,,
,56,500.0,,2.0069743333333334,,320,30000,,93,,
,60,500.0,,2.0069743333333334,,320,30000,,93,,
0.042731914669275284,64,500.0,1834,1.9485176125000003,-20.810768127441406,317,40000,-16.25958251953125,126,0.2528318762779236,0.00075
,68,500.0,,1.9485176125000003,,317,40000,,126,,
,72,500.0,,1.9485176125000003,,317,40000,,126,,
,76,500.0,,1.9485176125000003,,317,40000,,126,,
,80,500.0,,1.9485176125000003,,317,40000,,126,,
0.025500189512968063,84,500.0,2334,1.7592404700000004,-21.728452682495117,315,50000,-20.632394790649414,158,0.17382314801216125,0.00075
,88,500.0,,1.7592404700000004,,315,50000,,158,,
,92,500.0,,1.7592404700000004,,315,50000,,158,,
,96,500.0,,1.7592404700000004,,315,50000,,158,,
,100,500.0,,1.7592404700000004,,315,50000,,158,,
0.04036790877580643,104,500.0,2834,1.7202308099999999,-22.141597747802734,314,60000,-24.763046264648438,190,0.11955798417329788,0.00075
,108,500.0,,1.7202308099999999,,314,60000,,190,,
,112,500.0,,1.7202308099999999,,314,60000,,190,,
,116,500.0,,1.7202308099999999,,314,60000,,190,,
,120,500.0,,1.7202308099999999,,314,60000,,190,,
0.03273129463195801,124,500.0,3334,1.6483535499999997,-22.390993118286133,312,70000,-29.587690353393555,223,0.08231653273105621,0.00075
,128,500.0,,1.6483535499999997,,312,70000,,223,,
,132,500.0,,1.6483535499999997,,312,70000,,223,,
,136,500.0,,1.6483535499999997,,312,70000,,223,,
,140,500.0,,1.6483535499999997,,312,70000,,223,,
0.033428192138671875,144,500.0,3834,1.9188735600000002,-22.273574829101562,312,80000,-33.36225128173828,256,0.05680155009031296,0.00075
,148,500.0,,1.9188735600000002,,312,80000,,256,,
,152,500.0,,1.9188735600000002,,312,80000,,256,,
,156,500.0,,1.9188735600000002,,312,80000,,256,,
,160,500.0,,1.9188735600000002,,312,80000,,256,,
3.422846794128418,164,500.0,4334,1.90017637,-21.881662368774414,312,90000,-36.0908317565918,288,0.03928470239043236,0.00075
,168,500.0,,1.90017637,,312,90000,,288,,
,172,500.0,,1.90017637,,312,90000,,288,,
,176,500.0,,1.90017637,,312,90000,,288,,
,180,500.0,,1.90017637,,312,90000,,288,,
0.16001105308532715,184,500.0,4834,1.9023901,-21.77237892150879,312,100000,-36.791595458984375,319,0.027495115995407104,0.00075
,188,500.0,,1.9023901,,312,100000,,319,,
,192,500.0,,1.9023901,,312,100000,,319,,
,196,500.0,,1.9023901,,312,100000,,319,,
,200,500.0,,1.9023901,,312,100000,,319,,
