time/episodes,train/ent_coef_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,time/time_elapsed,time/total_timesteps
4,-2.9346861839294434,500.0,2.4813361,334,0.00075,-12.304591178894043,334,0.07135976105928421,0.7788689136505127,29,10000
8,,500.0,2.4813361,334,,,,,,29,10000
12,,500.0,2.4813361,334,,,,,,29,10000
16,,500.0,2.4813361,334,,,,,,29,10000
20,,500.0,2.4813361,334,,,,,,29,10000
24,-7.339944839477539,500.0,1.837431625,320,0.00075,-16.299711227416992,834,0.04401598125696182,0.5352395176887512,62,20000
28,,500.0,1.837431625,320,,,,,,62,20000
32,,500.0,1.837431625,320,,,,,,62,20000
36,,500.0,1.837431625,320,,,,,,62,20000
40,,500.0,1.837431625,320,,,,,,62,20000
44,-11.812047958374023,500.0,1.816972466666667,315,0.00075,-19.22335433959961,1334,0.02180314064025879,0.367880642414093,95,30000
48,,500.0,1.816972466666667,315,,,,,,95,30000
52,,500.0,1.816972466666667,315,,,,,,95,30000
56,,500.0,1.816972466666667,315,,,,,,95,30000
60,,500.0,1.816972466666667,315,,,,,,95,30000
64,-16.250289916992188,500.0,1.8385886874999997,313,0.00075,-21.076709747314453,1834,0.04213777184486389,0.25285211205482483,127,40000
68,,500.0,1.8385886874999997,313,,,,,,127,40000
72,,500.0,1.8385886874999997,313,,,,,,127,40000
76,,500.0,1.8385886874999997,313,,,,,,127,40000
80,,500.0,1.8385886874999997,313,,,,,,127,40000
84,-20.65361785888672,500.0,1.6421830999999998,312,0.00075,-21.928050994873047,2334,0.026447556912899017,0.17381928861141205,159,50000
88,,500.0,1.6421830999999998,312,,,,,,159,50000
92,,500.0,1.6421830999999998,312,,,,,,159,50000
96,,500.0,1.6421830999999998,312,,,,,,159,50000
100,,500.0,1.6421830999999998,312,,,,,,159,50000
104,-24.881189346313477,500.0,1.54464011,313,0.00075,-22.341796875,2834,0.04669824242591858,0.11955960094928741,191,60000
108,,500.0,1.54464011,313,,,,,,191,60000
112,,500.0,1.54464011,313,,,,,,191,60000
116,,500.0,1.54464011,313,,,,,,191,60000
120,,500.0,1.54464011,313,,,,,,191,60000
124,-29.486835479736328,500.0,1.5005495400000002,314,0.00075,-22.46050262451172,3334,0.030389098450541496,0.08232084661722183,222,70000
128,,500.0,1.5005495400000002,314,,,,,,222,70000
132,,500.0,1.5005495400000002,314,,,,,,222,70000
136,,500.0,1.5005495400000002,314,,,,,,222,70000
