time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/ent_coef,time/fps,train/learning_rate
4,1.88506715,500.0,10000,32,334,-12.064873695373535,-2.9353411197662354,0.04625058174133301,0.7789086699485779,310,0.00075
8,1.88506715,500.0,10000,32,,,,,,310,
12,1.88506715,500.0,10000,32,,,,,,310,
16,1.88506715,500.0,10000,32,,,,,,310,
20,1.88506715,500.0,10000,32,,,,,,310,
24,1.67562235,500.0,20000,64,834,-16.373855590820312,-7.350902080535889,0.05585608258843422,0.5352432131767273,308,0.00075
28,1.67562235,500.0,20000,64,,,,,,308,
32,1.67562235,500.0,20000,64,,,,,,308,
36,1.67562235,500.0,20000,64,,,,,,308,
40,1.67562235,500.0,20000,64,,,,,,308,
44,1.54461125,500.0,30000,97,1334,-19.108028411865234,-11.751642227172852,0.05519190803170204,0.3678281605243683,306,0.00075
48,1.54461125,500.0,30000,97,,,,,,306,
52,1.54461125,500.0,30000,97,,,,,,306,
56,1.54461125,500.0,30000,97,,,,,,306,
60,1.54461125,500.0,30000,98,,,,,,306,
64,1.4831266125,500.0,40000,130,1834,-20.699481964111328,-16.192657470703125,0.15992318093776703,0.25282150506973267,305,0.00075
68,1.4831266125,500.0,40000,130,,,,,,305,
72,1.4831266125,500.0,40000,130,,,,,,305,
76,1.4831266125,500.0,40000,130,,,,,,305,
80,1.4831266125,500.0,40000,130,,,,,,305,
84,1.3580315099999998,500.0,50000,164,2334,-22.001726150512695,-20.426715850830078,0.030503761023283005,0.17382752895355225,304,0.00075
88,1.3580315099999998,500.0,50000,164,,,,,,304,
92,1.3580315099999998,500.0,50000,164,,,,,,304,
96,1.3580315099999998,500.0,50000,164,,,,,,304,
100,1.3580315099999998,500.0,50000,164,,,,,,304,
104,1.27593631,500.0,60000,197,2834,-22.514713287353516,-24.83625602722168,0.04767071083188057,0.11956892907619476,303,0.00075
108,1.27593631,500.0,60000,197,,,,,,303,
112,1.27593631,500.0,60000,197,,,,,,303,
116,1.27593631,500.0,60000,197,,,,,,303,
120,1.27593631,500.0,60000,197,,,,,,303,
124,1.27828121,500.0,70000,231,3334,-22.568256378173828,-28.86969566345215,0.03247911483049393,0.08229608088731766,302,0.00075
128,1.27828121,500.0,70000,231,,,,,,302,
132,1.27828121,500.0,70000,231,,,,,,302,
136,1.27828121,500.0,70000,231,,,,,,302,
140,1.27828121,500.0,70000,231,,,,,,302,
144,1.26637402,500.0,80000,264,3834,-22.45427703857422,-31.55453109741211,0.03731893002986908,0.056767769157886505,302,0.00075
148,1.26637402,500.0,80000,264,,,,,,302,
152,1.26637402,500.0,80000,264,,,,,,302,
156,1.26637402,500.0,80000,264,,,,,,302,
160,1.26637402,500.0,80000,264,,,,,,302,
