train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,train/actor_loss
-2.9509692192077637,0.7788438200950623,0.00075,0.0879444032907486,1.1488096,500.0,334,327,4,10000,30,-12.05679988861084
,,,,1.1488096,500.0,,327,8,10000,30,
,,,,1.1488096,500.0,,326,12,10000,30,
,,,,1.1488096,500.0,,326,16,10000,30,
,,,,1.1488096,500.0,,326,20,10000,30,
-7.369531154632568,0.5352008938789368,0.00075,0.04263243451714516,1.512863875,500.0,834,313,24,20000,63,-15.929686546325684
,,,,1.512863875,500.0,,313,28,20000,63,
,,,,1.512863875,500.0,,313,32,20000,63,
,,,,1.512863875,500.0,,313,36,20000,63,
,,,,1.512863875,500.0,,313,40,20000,63,
-11.722529411315918,0.3678085505962372,0.00075,0.0491008535027504,1.7588655833333329,500.0,1334,311,44,30000,96,-19.099872589111328
,,,,1.7588655833333329,500.0,,310,48,30000,96,
,,,,1.7588655833333329,500.0,,310,52,30000,96,
,,,,1.7588655833333329,500.0,,310,56,30000,96,
,,,,1.7588655833333329,500.0,,310,60,30000,96,
-16.235557556152344,0.2528219521045685,0.00075,0.09705869853496552,1.6485979,500.0,1834,308,64,40000,129,-20.56815528869629
,,,,1.6485979,500.0,,308,68,40000,129,
,,,,1.6485979,500.0,,308,72,40000,129,
,,,,1.6485979,500.0,,308,76,40000,129,
,,,,1.6485979,500.0,,308,80,40000,129,
-20.4232177734375,0.1738092303276062,0.00075,0.07726017385721207,1.6391454700000003,500.0,2334,306,84,50000,162,-21.93456268310547
,,,,1.6391454700000003,500.0,,306,88,50000,162,
,,,,1.6391454700000003,500.0,,306,92,50000,162,
,,,,1.6391454700000003,500.0,,306,96,50000,162,
,,,,1.6391454700000003,500.0,,306,100,50000,162,
-24.98243522644043,0.11955755949020386,0.00075,0.027654841542243958,1.7154633000000001,500.0,2834,305,104,60000,196,-22.460674285888672
,,,,1.7154633000000001,500.0,,305,108,60000,196,
,,,,1.7154633000000001,500.0,,305,112,60000,196,
,,,,1.7154633000000001,500.0,,305,116,60000,196,
,,,,1.7154633000000001,500.0,,305,120,60000,196,
-29.32242202758789,0.08226926624774933,0.00075,0.24206483364105225,1.77087097,500.0,3334,305,124,70000,228,-22.057300567626953
,,,,1.77087097,500.0,,305,128,70000,228,
,,,,1.77087097,500.0,,305,132,70000,228,
,,,,1.77087097,500.0,,305,136,70000,228,
,,,,1.77087097,500.0,,305,140,70000,228,
-33.18293762207031,0.05673583596944809,0.00075,0.021816842257976532,1.8940165299999998,500.0,3834,304,144,80000,262,-22.243614196777344
,,,,1.8940165299999998,500.0,,304,148,80000,262,
,,,,1.8940165299999998,500.0,,304,152,80000,262,
,,,,1.8940165299999998,500.0,,304,156,80000,262,
,,,,1.8940165299999998,500.0,,304,160,80000,262,
-37.57804870605469,0.03925082087516785,0.00075,0.03592510521411896,1.99978634,500.0,4334,301,164,90000,298,-21.852073669433594
,,,,1.99978634,500.0,,301,168,90000,298,
,,,,1.99978634,500.0,,301,172,90000,298,
,,,,1.99978634,500.0,,301,176,90000,298,
,,,,1.99978634,500.0,,301,180,90000,298,
