time/episodes,time/time_elapsed,time/fps,train/actor_loss,train/ent_coef_loss,train/ent_coef,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/critic_loss,train/learning_rate
4,29,344,-12.182516098022461,-2.954334259033203,0.7788034677505493,2.7109825499999998,500.0,10000,334,0.08573347330093384,0.00075
8,29,344,,,,2.7109825499999998,500.0,10000,,,
12,29,344,,,,2.7109825499999998,500.0,10000,,,
16,29,344,,,,2.7109825499999998,500.0,10000,,,
20,29,344,,,,2.7109825499999998,500.0,10000,,,
24,61,326,-15.963796615600586,-7.356245517730713,0.535231351852417,2.2417694249999998,500.0,20000,834,0.03018280304968357,0.00075
28,61,326,,,,2.2417694249999998,500.0,20000,,,
32,61,326,,,,2.2417694249999998,500.0,20000,,,
36,61,326,,,,2.2417694249999998,500.0,20000,,,
40,61,326,,,,2.2417694249999998,500.0,20000,,,
44,92,322,-19.053775787353516,-11.790385246276855,0.36782610416412354,2.032677666666667,500.0,30000,1334,0.113776296377182,0.00075
48,92,322,,,,2.032677666666667,500.0,30000,,,
52,92,322,,,,2.032677666666667,500.0,30000,,,
56,92,322,,,,2.032677666666667,500.0,30000,,,
60,92,322,,,,2.032677666666667,500.0,30000,,,
64,124,320,-20.619651794433594,-16.208478927612305,0.252816379070282,2.0007335250000002,500.0,40000,1834,0.022195985540747643,0.00075
68,124,320,,,,2.0007335250000002,500.0,40000,,,
72,124,320,,,,2.0007335250000002,500.0,40000,,,
76,125,319,,,,2.0007335250000002,500.0,40000,,,
80,125,319,,,,2.0007335250000002,500.0,40000,,,
84,157,317,-21.722248077392578,-20.631811141967773,0.17383697628974915,2.1849191099999996,500.0,50000,2334,0.0302167609333992,0.00075
88,157,317,,,,2.1849191099999996,500.0,50000,,,
92,157,317,,,,2.1849191099999996,500.0,50000,,,
96,157,317,,,,2.1849191099999996,500.0,50000,,,
100,157,317,,,,2.1849191099999996,500.0,50000,,,
104,189,316,-22.173641204833984,-24.76741600036621,0.11960670351982117,1.8372753899999998,500.0,60000,2834,0.06316334754228592,0.00075
108,189,316,,,,1.8372753899999998,500.0,60000,,,
112,189,316,,,,1.8372753899999998,500.0,60000,,,
116,189,316,,,,1.8372753899999998,500.0,60000,,,
120,189,316,,,,1.8372753899999998,500.0,60000,,,
124,221,316,-22.18859100341797,-29.20175552368164,0.08236461132764816,1.74009666,500.0,70000,3334,3.5501019954681396,0.00075
128,221,316,,,,1.74009666,500.0,70000,,,
132,221,316,,,,1.74009666,500.0,70000,,,
136,221,316,,,,1.74009666,500.0,70000,,,
140,221,316,,,,1.74009666,500.0,70000,,,
144,253,315,-22.017959594726562,-33.00917053222656,0.056899476796388626,1.6333630299999995,500.0,80000,3834,0.0873786136507988,0.00075
148,253,315,,,,1.6333630299999995,500.0,80000,,,
152,253,315,,,,1.6333630299999995,500.0,80000,,,
156,253,315,,,,1.6333630299999995,500.0,80000,,,
160,253,315,,,,1.6333630299999995,500.0,80000,,,
164,285,314,-21.296113967895508,-35.14549255371094,0.039532024413347244,1.4549161800000001,500.0,90000,4334,0.09467440098524094,0.00075
168,285,314,,,,1.4549161800000001,500.0,90000,,,
172,285,314,,,,1.4549161800000001,500.0,90000,,,
176,285,314,,,,1.4549161800000001,500.0,90000,,,
180,285,314,,,,1.4549161800000001,500.0,90000,,,
184,318,314,-20.771467208862305,-38.928958892822266,0.027546223253011703,1.10965278,500.0,100000,4834,3.6054086685180664,0.00075
188,318,314,,,,1.10965278,500.0,100000,,,
192,318,314,,,,1.10965278,500.0,100000,,,
196,318,314,,,,1.10965278,500.0,100000,,,
200,318,314,,,,1.10965278,500.0,100000,,,
204,349,314,-20.607135772705078,-37.04381561279297,0.019462786614894867,1.2063940100000001,500.0,110000,5334,0.034206323325634,0.00075
208,349,314,,,,1.2063940100000001,500.0,110000,,,
212,349,314,,,,1.2063940100000001,500.0,110000,,,
216,349,314,,,,1.2063940100000001,500.0,110000,,,
220,349,314,,,,1.2063940100000001,500.0,110000,,,
224,382,313,-19.968353271484375,-41.01555633544922,0.01395389623939991,1.13016409,500.0,120000,5834,0.04497552663087845,0.00075
228,382,313,,,,1.13016409,500.0,120000,,,
232,382,313,,,,1.13016409,500.0,120000,,,
236,382,313,,,,1.13016409,500.0,120000,,,
240,382,313,,,,1.13016409,500.0,120000,,,
244,414,313,-19.55581283569336,-36.44343948364258,0.010248332284390926,1.19746351,500.0,130000,6334,0.06402283906936646,0.00075
248,414,313,,,,1.19746351,500.0,130000,,,
252,414,313,,,,1.19746351,500.0,130000,,,
256,414,313,,,,1.19746351,500.0,130000,,,
260,414,313,,,,1.19746351,500.0,130000,,,
264,445,313,-19.216829299926758,-38.701995849609375,0.00753356609493494,1.50847926,500.0,140000,6834,0.08874550461769104,0.00075
268,445,313,,,,1.50847926,500.0,140000,,,
272,445,313,,,,1.50847926,500.0,140000,,,
276,445,313,,,,1.50847926,500.0,140000,,,
280,445,313,,,,1.50847926,500.0,140000,,,
284,477,314,-18.549072265625,-22.392446517944336,0.005701594986021519,2.7723121,500.0,150000,7334,0.03385007381439209,0.00075
288,477,314,,,,2.7723121,500.0,150000,,,
292,477,314,,,,2.7723121,500.0,150000,,,
296,477,314,,,,2.7723121,500.0,150000,,,
300,477,314,,,,2.7723121,500.0,150000,,,
304,509,314,-18.258859634399414,-20.440258026123047,0.004594821482896805,2.91901007,500.0,160000,7834,0.027203403413295746,0.00075
308,509,314,,,,2.91901007,500.0,160000,,,
312,509,314,,,,2.91901007,500.0,160000,,,
316,509,314,,,,2.91901007,500.0,160000,,,
320,509,314,,,,2.91901007,500.0,160000,,,
324,540,314,-17.418609619140625,-22.113964080810547,0.0037382503505796194,2.930762320000001,500.0,170000,8334,0.03847923129796982,0.00075
328,540,314,,,,2.930762320000001,500.0,170000,,,
332,540,314,,,,2.930762320000001,500.0,170000,,,
336,540,314,,,,2.930762320000001,500.0,170000,,,
340,540,314,,,,2.930762320000001,500.0,170000,,,
344,572,314,-17.19379425048828,-14.959436416625977,0.0031944226939231157,2.82733343,500.0,180000,8834,0.02280767261981964,0.00075
348,572,314,,,,2.82733343,500.0,180000,,,
352,572,314,,,,2.82733343,500.0,180000,,,
356,572,314,,,,2.82733343,500.0,180000,,,
360,572,314,,,,2.82733343,500.0,180000,,,
364,604,314,-16.67119598388672,-14.821783065795898,0.0027930079959332943,3.2830042300000004,500.0,190000,9334,0.13475802540779114,0.00075
368,604,314,,,,3.2830042300000004,500.0,190000,,,
372,604,314,,,,3.2830042300000004,500.0,190000,,,
376,604,314,,,,3.2830042300000004,500.0,190000,,,
380,604,314,,,,3.2830042300000004,500.0,190000,,,
384,636,314,-16.34058380126953,-1.8929588794708252,0.002545541152358055,2.5235903200000003,500.0,200000,9834,0.018750637769699097,0.00075
388,636,314,,,,2.5235903200000003,500.0,200000,,,
392,636,314,,,,2.5235903200000003,500.0,200000,,,
396,636,314,,,,2.5235903200000003,500.0,200000,,,
400,636,314,,,,2.5235903200000003,500.0,200000,,,
