time/time_elapsed,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss,time/episodes,train/ent_coef,rollout/ep_rew_mean,time/fps,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps
21,334,0.00075,-12.123176574707031,0.06356698274612427,4,0.7788242101669312,0.50136345,455,-2.942308187484741,500.0,10000
21,,,,,8,,0.50136345,455,,500.0,10000
21,,,,,12,,0.50136345,455,,500.0,10000
21,,,,,16,,0.50136345,454,,500.0,10000
21,,,,,20,,0.50136345,454,,500.0,10000
46,834,0.00075,-16.086227416992188,1.4886090755462646,24,0.5351681113243103,0.6090861999999999,431,-7.34547758102417,500.0,20000
46,,,,,28,,0.6090861999999999,431,,500.0,20000
46,,,,,32,,0.6090861999999999,431,,500.0,20000
46,,,,,36,,0.6090861999999999,431,,500.0,20000
46,,,,,40,,0.6090861999999999,431,,500.0,20000
70,1334,0.00075,-19.185264587402344,0.028665676712989807,44,0.36782997846603394,0.6219174166666667,425,-11.800494194030762,500.0,30000
70,,,,,48,,0.6219174166666667,425,,500.0,30000
70,,,,,52,,0.6219174166666667,425,,500.0,30000
70,,,,,56,,0.6219174166666667,425,,500.0,30000
70,,,,,60,,0.6219174166666667,425,,500.0,30000
95,1834,0.00075,-21.023727416992188,0.05850164219737053,64,0.2528354823589325,0.58282975,420,-16.219127655029297,500.0,40000
95,,,,,68,,0.58282975,420,,500.0,40000
95,,,,,72,,0.58282975,420,,500.0,40000
95,,,,,76,,0.58282975,420,,500.0,40000
95,,,,,80,,0.58282975,420,,500.0,40000
119,2334,0.00075,-21.839195251464844,3.4649014472961426,84,0.17382493615150452,0.61482336,418,-20.441797256469727,500.0,50000
119,,,,,88,,0.61482336,417,,500.0,50000
119,,,,,92,,0.61482336,417,,500.0,50000
119,,,,,96,,0.61482336,417,,500.0,50000
119,,,,,100,,0.61482336,417,,500.0,50000
144,2834,0.00075,-22.3037166595459,0.013531554490327835,104,0.11959578841924667,0.61669146,416,-24.90716552734375,500.0,60000
144,,,,,108,,0.61669146,416,,500.0,60000
144,,,,,112,,0.61669146,416,,500.0,60000
144,,,,,116,,0.61669146,416,,500.0,60000
144,,,,,120,,0.61669146,416,,500.0,60000
169,3334,0.00075,-22.048097610473633,0.03289312124252319,124,0.08244730532169342,0.53929023,413,-28.745662689208984,500.0,70000
169,,,,,128,,0.53929023,413,,500.0,70000
169,,,,,132,,0.53929023,413,,500.0,70000
169,,,,,136,,0.53929023,413,,500.0,70000
169,,,,,140,,0.53929023,413,,500.0,70000
194,3834,0.00075,-22.44205093383789,0.039273593574762344,144,0.05689862370491028,0.5910864099999998,410,-33.37032699584961,500.0,80000
194,,,,,148,,0.5910864099999998,410,,500.0,80000
194,,,,,152,,0.5910864099999998,410,,500.0,80000
194,,,,,156,,0.5910864099999998,410,,500.0,80000
194,,,,,160,,0.5910864099999998,410,,500.0,80000
219,4334,0.00075,-21.732933044433594,6.500138282775879,164,0.039398834109306335,0.6902230199999999,409,-36.79160690307617,500.0,90000
219,,,,,168,,0.6902230199999999,409,,500.0,90000
219,,,,,172,,0.6902230199999999,409,,500.0,90000
219,,,,,176,,0.6902230199999999,409,,500.0,90000
219,,,,,180,,0.6902230199999999,409,,500.0,90000
244,4834,0.00075,-21.162738800048828,0.0781940147280693,184,0.02743992954492569,0.8367147500000001,408,-39.33978271484375,500.0,100000
244,,,,,188,,0.8367147500000001,408,,500.0,100000
244,,,,,192,,0.8367147500000001,408,,500.0,100000
244,,,,,196,,0.8367147500000001,408,,500.0,100000
244,,,,,200,,0.8367147500000001,408,,500.0,100000
269,5334,0.00075,-20.800844192504883,0.02151513658463955,204,0.01925172097980976,0.77536659,408,-39.276756286621094,500.0,110000
269,,,,,208,,0.77536659,408,,500.0,110000
269,,,,,212,,0.77536659,408,,500.0,110000
269,,,,,216,,0.77536659,408,,500.0,110000
269,,,,,220,,0.77536659,408,,500.0,110000
295,5834,0.00075,-20.44147491455078,0.12701724469661713,224,0.013696414418518543,0.8388739700000001,406,-44.0334587097168,500.0,120000
295,,,,,228,,0.8388739700000001,406,,500.0,120000
295,,,,,232,,0.8388739700000001,406,,500.0,120000
295,,,,,236,,0.8388739700000001,406,,500.0,120000
295,,,,,240,,0.8388739700000001,406,,500.0,120000
321,6334,0.00075,-19.311193466186523,3.859683036804199,244,0.009996809996664524,0.737753,404,-39.359886169433594,500.0,130000
321,,,,,248,,0.737753,404,,500.0,130000
321,,,,,252,,0.737753,404,,500.0,130000
321,,,,,256,,0.737753,404,,500.0,130000
321,,,,,260,,0.737753,404,,500.0,130000
347,6834,0.00075,-19.12557601928711,0.0233952384442091,264,0.007512086536735296,10.650894410000001,402,-34.556671142578125,500.0,140000
347,,,,,268,,10.650894410000001,402,,500.0,140000
347,,,,,272,,10.650894410000001,402,,500.0,140000
347,,,,,276,,10.650894410000001,402,,500.0,140000
347,,,,,280,,10.650894410000001,402,,500.0,140000
371,7334,0.00075,-18.824298858642578,0.0832354724407196,284,0.005755079444497824,10.442126910000002,403,-32.97599792480469,500.0,150000
371,,,,,288,,10.442126910000002,403,,500.0,150000
371,,,,,292,,10.442126910000002,403,,500.0,150000
371,,,,,296,,10.442126910000002,403,,500.0,150000
371,,,,,300,,10.442126910000002,403,,500.0,150000
396,7834,0.00075,-18.255998611450195,0.020136399194598198,304,0.004555721767246723,11.21070725,403,-30.41216468811035,500.0,160000
396,,,,,308,,11.21070725,403,,500.0,160000
396,,,,,312,,11.21070725,403,,500.0,160000
396,,,,,316,,11.21070725,403,,500.0,160000
396,,,,,320,,11.21070725,403,,500.0,160000
422,8334,0.00075,-18.00546646118164,0.029898496344685555,324,0.003607149701565504,16.374291140000004,402,-22.37816619873047,500.0,170000
422,,,,,328,,16.374291140000004,402,,500.0,170000
422,,,,,332,,16.374291140000004,402,,500.0,170000
422,,,,,336,,16.374291140000004,402,,500.0,170000
422,,,,,340,,16.374291140000004,402,,500.0,170000
