train/n_updates,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/learning_rate,time/total_timesteps,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_len_mean,train/critic_loss,train/ent_coef
334,0.0,31,-12.132771492004395,0.00075,10000,-2.9390077590942383,4,321,500.0,0.07779030501842499,0.7788341045379639
,0.0,31,,,10000,,8,321,500.0,,
,0.0,31,,,10000,,12,321,500.0,,
,0.0,31,,,10000,,16,321,500.0,,
,0.0,31,,,10000,,20,321,500.0,,
834,0.0,64,-16.13104248046875,0.00075,20000,-7.353023052215576,24,308,500.0,0.04324338957667351,0.5352397561073303
,0.0,64,,,20000,,28,308,500.0,,
,0.0,64,,,20000,,32,308,500.0,,
,0.0,64,,,20000,,36,308,500.0,,
,0.0,64,,,20000,,40,308,500.0,,
1334,0.0,97,-18.90258026123047,0.00075,30000,-11.697741508483887,44,309,500.0,0.02883525751531124,0.36788466572761536
,0.0,97,,,30000,,48,309,500.0,,
,0.0,97,,,30000,,52,309,500.0,,
,0.0,97,,,30000,,56,308,500.0,,
,0.0,97,,,30000,,60,308,500.0,,
1834,0.0,129,-20.854488372802734,0.00075,40000,-16.176237106323242,64,308,500.0,0.028760429471731186,0.2528400421142578
,0.0,129,,,40000,,68,308,500.0,,
,0.0,129,,,40000,,72,308,500.0,,
,0.0,129,,,40000,,76,308,500.0,,
,0.0,129,,,40000,,80,308,500.0,,
2334,0.0,161,-21.504417419433594,0.00075,50000,-20.546695709228516,84,309,500.0,3.234138011932373,0.17384368181228638
,0.0,161,,,50000,,88,309,500.0,,
,0.0,161,,,50000,,92,309,500.0,,
,0.0,161,,,50000,,96,309,500.0,,
,0.0,161,,,50000,,100,309,500.0,,
2834,0.0,193,-22.07419776916504,0.00075,60000,-24.791221618652344,104,309,500.0,0.021909818053245544,0.11956725269556046
,0.0,193,,,60000,,108,309,500.0,,
,0.0,193,,,60000,,112,309,500.0,,
,0.0,193,,,60000,,116,309,500.0,,
,0.0,193,,,60000,,120,309,500.0,,
3334,0.0,227,-22.370943069458008,0.00075,70000,-29.074722290039062,124,308,500.0,0.046878963708877563,0.08227361738681793
,0.0,227,,,70000,,128,308,500.0,,
,0.0,227,,,70000,,132,308,500.0,,
,0.0,227,,,70000,,136,308,500.0,,
,0.0,227,,,70000,,140,308,500.0,,
3834,0.0,260,-22.081867218017578,0.00075,80000,-33.10360336303711,144,307,500.0,0.04984767362475395,0.05687464401125908
,0.0,260,,,80000,,148,307,500.0,,
,0.0,260,,,80000,,152,307,500.0,,
,0.0,260,,,80000,,156,307,500.0,,
,0.0,260,,,80000,,160,307,500.0,,
4334,0.0,292,-21.314193725585938,0.00075,90000,-36.94331359863281,164,307,500.0,0.06953537464141846,0.03943159431219101
,0.0,292,,,90000,,168,307,500.0,,
,0.0,292,,,90000,,172,307,500.0,,
,0.0,292,,,90000,,176,307,500.0,,
,0.0,292,,,90000,,180,307,500.0,,
4834,0.0,325,-21.24475860595703,0.00075,100000,-39.1031494140625,184,307,500.0,2.8363893032073975,0.027517642825841904
,0.0,325,,,100000,,188,307,500.0,,
,0.0,325,,,100000,,192,307,500.0,,
,0.0,325,,,100000,,196,307,500.0,,
,0.0,325,,,100000,,200,307,500.0,,
5334,0.0,357,-20.950000762939453,0.00075,110000,-38.918052673339844,204,307,500.0,0.029272541403770447,0.0193285271525383
,0.0,357,,,110000,,208,307,500.0,,
,0.0,357,,,110000,,212,307,500.0,,
,0.0,358,,,110000,,216,307,500.0,,
,0.0,358,,,110000,,220,307,500.0,,
5834,0.0,392,-20.87603187561035,0.00075,120000,-38.20085906982422,224,306,500.0,0.12424018234014511,0.01399944256991148
,0.0,392,,,120000,,228,306,500.0,,
,0.0,392,,,120000,,232,306,500.0,,
,0.0,392,,,120000,,236,306,500.0,,
,0.0,392,,,120000,,240,305,500.0,,
6334,0.0,425,-19.994670867919922,0.00075,130000,-29.757465362548828,244,305,500.0,0.04861004650592804,0.01027759164571762
,0.0,425,,,130000,,248,305,500.0,,
,0.0,425,,,130000,,252,305,500.0,,
,0.0,425,,,130000,,256,305,500.0,,
,0.0,425,,,130000,,260,305,500.0,,
6834,0.0,459,-18.958744049072266,0.00075,140000,-22.206504821777344,264,304,500.0,0.028838299214839935,0.00789104588329792
,0.0,459,,,140000,,268,304,500.0,,
,0.0,459,,,140000,,272,304,500.0,,
,0.0,459,,,140000,,276,304,500.0,,
,0.0,459,,,140000,,280,304,500.0,,
7334,0.0,493,-18.807008743286133,0.00075,150000,-30.744230270385742,284,304,500.0,0.032771363854408264,0.006246981676667929
,0.0,493,,,150000,,288,304,500.0,,
,0.0,493,,,150000,,292,304,500.0,,
,0.0,493,,,150000,,296,304,500.0,,
,0.0,493,,,150000,,300,304,500.0,,
7834,0.0,526,-18.319456100463867,0.00075,160000,-17.55670166015625,304,303,500.0,0.038030222058296204,0.0050241765566170216
,0.0,526,,,160000,,308,303,500.0,,
,0.0,526,,,160000,,312,303,500.0,,
,0.0,526,,,160000,,316,303,500.0,,
,0.0,526,,,160000,,320,303,500.0,,
8334,0.0,558,-17.755794525146484,0.00075,170000,-4.760461330413818,324,304,500.0,0.020143011584877968,0.0043096463195979595
,0.0,558,,,170000,,328,304,500.0,,
,0.0,558,,,170000,,332,304,500.0,,
,0.0,558,,,170000,,336,304,500.0,,
,0.0,558,,,170000,,340,304,500.0,,
8834,0.0,592,-17.306514739990234,0.00075,180000,-23.668123245239258,344,303,500.0,0.02102334424853325,0.0037373097147792578
,0.0,592,,,180000,,348,303,500.0,,
,0.0,592,,,180000,,352,303,500.0,,
,0.0,592,,,180000,,356,303,500.0,,
,0.0,592,,,180000,,360,303,500.0,,
