train/learning_rate,time/fps,time/total_timesteps,train/ent_coef,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,train/actor_loss,train/n_updates,time/episodes,train/ent_coef_loss,rollout/ep_len_mean
0.00075,296,10000,0.778839647769928,33,0.05468527227640152,0.0,-12.176874160766602,334,4,-2.9479103088378906,500.0
,296,10000,,33,,0.0,,,8,,500.0
,296,10000,,33,,0.0,,,12,,500.0
,296,10000,,33,,0.0,,,16,,500.0
,296,10000,,33,,0.0,,,20,,500.0
0.00075,302,20000,0.5352274179458618,66,0.03755582869052887,0.0,-15.98887825012207,834,24,-7.383493423461914,500.0
,301,20000,,66,,0.0,,,28,,500.0
,301,20000,,66,,0.0,,,32,,500.0
,301,20000,,66,,0.0,,,36,,500.0
,301,20000,,66,,0.0,,,40,,500.0
0.00075,305,30000,0.3678339123725891,98,0.035207781940698624,0.0,-18.962812423706055,1334,44,-11.776987075805664,500.0
,304,30000,,98,,0.0,,,48,,500.0
,304,30000,,98,,0.0,,,52,,500.0
,304,30000,,98,,0.0,,,56,,500.0
,304,30000,,98,,0.0,,,60,,500.0
0.00075,304,40000,0.25283974409103394,131,0.06708047538995743,0.0,-20.89350128173828,1834,64,-16.133026123046875,500.0
,304,40000,,131,,0.0,,,68,,500.0
,304,40000,,131,,0.0,,,72,,500.0
,304,40000,,131,,0.0,,,76,,500.0
,304,40000,,131,,0.0,,,80,,500.0
0.00075,304,50000,0.17383965849876404,163,0.04165060073137283,0.0,-21.972501754760742,2334,84,-20.58859634399414,500.0
,304,50000,,163,,0.0,,,88,,500.0
,304,50000,,164,,0.0,,,92,,500.0
,304,50000,,164,,0.0,,,96,,500.0
,304,50000,,164,,0.0,,,100,,500.0
0.00075,304,60000,0.1195792704820633,197,0.03242234140634537,0.0,-22.22620391845703,2834,104,-25.024349212646484,500.0
,304,60000,,197,,0.0,,,108,,500.0
,304,60000,,197,,0.0,,,112,,500.0
,304,60000,,197,,0.0,,,116,,500.0
,304,60000,,197,,0.0,,,120,,500.0
0.00075,303,70000,0.0823187530040741,230,0.042422790080308914,0.0,-22.358631134033203,3334,124,-29.055877685546875,500.0
,303,70000,,230,,0.0,,,128,,500.0
,303,70000,,230,,0.0,,,132,,500.0
,303,70000,,230,,0.0,,,136,,500.0
,303,70000,,230,,0.0,,,140,,500.0
0.00075,303,80000,0.05678310617804527,263,0.03481210023164749,0.0,-22.0322322845459,3834,144,-32.92216491699219,500.0
,303,80000,,263,,0.0,,,148,,500.0
,303,80000,,263,,0.0,,,152,,500.0
,303,80000,,263,,0.0,,,156,,500.0
,303,80000,,263,,0.0,,,160,,500.0
0.00075,303,90000,0.03931558504700661,296,0.017609696835279465,0.0,-21.9649658203125,4334,164,-37.12779998779297,500.0
,303,90000,,296,,0.0,,,168,,500.0
,303,90000,,296,,0.0,,,172,,500.0
,303,90000,,296,,0.0,,,176,,500.0
,303,90000,,296,,0.0,,,180,,500.0
0.00075,303,100000,0.027420585975050926,329,0.03624877706170082,0.0,-21.42401123046875,4834,184,-36.73701858520508,500.0
,303,100000,,329,,0.0,,,188,,500.0
,303,100000,,329,,0.0,,,192,,500.0
,303,100000,,329,,0.0,,,196,,500.0
,303,100000,,329,,0.0,,,200,,500.0
0.00075,304,110000,0.019260885193943977,361,1.5111887454986572,0.0,-20.681913375854492,5334,204,-39.382102966308594,500.0
,304,110000,,361,,0.0,,,208,,500.0
,304,110000,,361,,0.0,,,212,,500.0
,304,110000,,361,,0.0,,,216,,500.0
,304,110000,,361,,0.0,,,220,,500.0
0.00075,303,120000,0.013763893395662308,395,0.042786337435245514,0.0,-20.845779418945312,5834,224,-44.01417541503906,500.0
,303,120000,,395,,0.0,,,228,,500.0
,303,120000,,395,,0.0,,,232,,500.0
,303,120000,,395,,0.0,,,236,,500.0
,303,120000,,395,,0.0,,,240,,500.0
0.00075,303,130000,0.010263687931001186,428,5.007491588592529,0.16,-19.82855224609375,6334,244,-36.09846496582031,500.0
,303,130000,,428,,0.16,,,248,,500.0
,303,130000,,428,,0.16,,,252,,500.0
,303,130000,,428,,0.16,,,256,,500.0
,303,130000,,428,,0.16,,,260,,500.0
0.00075,302,140000,0.0076634385623037815,462,2.228969097137451,0.16,-19.183673858642578,6834,264,-23.95806121826172,500.0
,302,140000,,462,,0.16,,,268,,500.0
,302,140000,,462,,0.16,,,272,,500.0
,302,140000,,462,,0.16,,,276,,500.0
,302,140000,,462,,0.16,,,280,,500.0
0.00075,302,150000,0.0059473090805113316,495,0.016834979876875877,5.67,-19.27444839477539,7334,284,-28.859968185424805,500.0
,302,150000,,495,,5.67,,,288,,500.0
,302,150000,,495,,5.67,,,292,,500.0
,302,150000,,495,,5.67,,,296,,500.0
,302,150000,,495,,5.67,,,300,,500.0
0.00075,302,160000,0.004899717401713133,528,0.0319095253944397,5.67,-18.660871505737305,7834,304,-18.545719146728516,500.0
,302,160000,,528,,5.67,,,308,,500.0
,302,160000,,528,,5.67,,,312,,500.0
,302,160000,,528,,5.67,,,316,,500.0
,302,160000,,528,,5.67,,,320,,500.0
0.00075,302,170000,0.004137925338000059,561,0.024204060435295105,5.67,-18.060823440551758,8334,324,-19.771644592285156,500.0
,302,170000,,561,,5.67,,,328,,500.0
,302,170000,,561,,5.67,,,332,,500.0
,302,170000,,561,,5.67,,,336,,500.0
,302,170000,,561,,5.67,,,340,,500.0
0.00075,302,180000,0.003773593110963702,595,0.05642884597182274,5.51,-17.755651473999023,8834,344,-16.96725082397461,500.0
,302,180000,,595,,5.51,,,348,,500.0
,302,180000,,595,,5.51,,,352,,500.0
,302,180000,,595,,5.51,,,356,,500.0
,302,180000,,595,,5.51,,,360,,500.0
0.00075,302,190000,0.003427950432524085,629,0.06440186500549316,5.51,-17.34259033203125,9334,364,-16.65521240234375,500.0
,302,190000,,629,,5.51,,,368,,500.0
,302,190000,,629,,5.51,,,372,,500.0
,302,190000,,629,,5.51,,,376,,500.0
,302,190000,,629,,5.51,,,380,,500.0
0.00075,302,200000,0.003230344271287322,662,0.026447314769029617,0.0,-16.873266220092773,9834,384,-13.66723918914795,500.0
,302,200000,,662,,0.0,,,388,,500.0
,302,200000,,662,,0.0,,,392,,500.0
,302,200000,,662,,0.0,,,396,,500.0
,302,200000,,662,,0.0,,,400,,500.0
0.00075,302,210000,0.00309663824737072,695,0.01538053434342146,0.0,-16.486644744873047,10334,404,-13.316615104675293,500.0
,302,210000,,695,,0.0,,,408,,500.0
,302,210000,,695,,0.0,,,412,,500.0
,302,210000,,695,,0.0,,,416,,500.0
,302,210000,,695,,0.0,,,420,,500.0
0.00075,301,220000,0.0028844415210187435,728,0.06304626911878586,0.66,-16.441211700439453,10834,424,-9.454697608947754,500.0
,301,220000,,728,,0.66,,,428,,500.0
,301,220000,,728,,0.66,,,432,,500.0
,301,220000,,728,,0.66,,,436,,500.0
,301,220000,,728,,0.66,,,440,,500.0
0.00075,301,230000,0.002753741107881069,762,0.008864060044288635,0.66,-15.633394241333008,11334,444,-11.77006721496582,500.0
,301,230000,,762,,0.66,,,448,,500.0
,301,230000,,762,,0.66,,,452,,500.0
,301,230000,,762,,0.66,,,456,,500.0
,301,230000,,762,,0.66,,,460,,500.0
0.00075,301,240000,0.0025519130285829306,795,0.030284307897090912,0.66,-14.984458923339844,11834,464,0.9359240531921387,500.0
,301,240000,,795,,0.66,,,468,,500.0
,301,240000,,795,,0.66,,,472,,500.0
,301,240000,,795,,0.66,,,476,,500.0
,301,240000,,795,,0.66,,,480,,500.0
0.00075,301,250000,0.002589901676401496,828,0.021167103201150894,2.25,-15.090498924255371,12334,484,-0.5657026767730713,500.0
,301,250000,,828,,2.25,,,488,,500.0
,301,250000,,828,,2.25,,,492,,500.0
,301,250000,,829,,2.25,,,496,,500.0
,301,250000,,829,,2.25,,,500,,500.0
0.00075,301,260000,0.002463290700688958,863,0.03879668936133385,2.25,-14.474933624267578,12834,504,2.969512462615967,500.0
,301,260000,,863,,2.25,,,508,,500.0
,301,260000,,863,,2.25,,,512,,500.0
,301,260000,,863,,2.25,,,516,,500.0
,301,260000,,863,,2.25,,,520,,500.0
0.00075,301,270000,0.0024531353265047073,896,1.0156071186065674,1.59,-13.902729034423828,13334,524,6.981158256530762,500.0
,301,270000,,896,,1.59,,,528,,500.0
,301,270000,,896,,1.59,,,532,,500.0
,301,270000,,896,,1.59,,,536,,500.0
,301,270000,,896,,1.59,,,540,,500.0
0.00075,301,280000,0.002418491058051586,930,0.03401971980929375,1.59,-13.809419631958008,13834,544,-1.218650221824646,500.0
,301,280000,,930,,1.59,,,548,,500.0
,301,280000,,930,,1.59,,,552,,500.0
,301,280000,,930,,1.59,,,556,,500.0
,301,280000,,930,,1.59,,,560,,500.0
0.00075,301,290000,0.002213016850873828,962,0.8426952362060547,1.59,-13.4325532913208,14334,564,-2.8083744049072266,500.0
,301,290000,,962,,1.59,,,568,,500.0
,301,290000,,962,,1.59,,,572,,500.0
,301,290000,,962,,1.59,,,576,,500.0
,301,290000,,962,,1.59,,,580,,500.0
0.00075,301,300000,0.002099363598972559,996,0.019474763423204422,0.0,-13.340517044067383,14834,584,-3.979377508163452,500.0
,301,300000,,996,,0.0,,,588,,500.0
,301,300000,,996,,0.0,,,592,,500.0
,301,300000,,996,,0.0,,,596,,500.0
,301,300000,,996,,0.0,,,600,,500.0
0.00075,301,310000,0.0020159552805125713,1029,1.2572946548461914,0.0,-12.826595306396484,15334,604,9.41515827178955,500.0
,301,310000,,1029,,0.0,,,608,,500.0
,301,310000,,1029,,0.0,,,612,,500.0
,301,310000,,1029,,0.0,,,616,,500.0
,301,310000,,1029,,0.0,,,620,,500.0
0.00075,301,320000,0.0021339801605790854,1062,1.2522084712982178,0.0,-12.751616477966309,15834,624,3.948089599609375,500.0
,301,320000,,1062,,0.0,,,628,,500.0
,301,320000,,1062,,0.0,,,632,,500.0
,301,320000,,1062,,0.0,,,636,,500.0
,301,320000,,1062,,0.0,,,640,,500.0
0.00075,301,330000,0.002001790562644601,1095,0.01859455741941929,0.0,-12.33822250366211,16334,644,-5.150664806365967,500.0
,301,330000,,1095,,0.0,,,648,,500.0
,301,330000,,1095,,0.0,,,652,,500.0
,301,330000,,1095,,0.0,,,656,,500.0
,301,330000,,1095,,0.0,,,660,,500.0
0.00075,301,340000,0.001871920539997518,1127,0.016130957752466202,0.0,-11.823843002319336,16834,664,1.4156866073608398,500.0
,301,340000,,1127,,0.0,,,668,,500.0
,301,340000,,1127,,0.0,,,672,,500.0
,301,340000,,1127,,0.0,,,676,,500.0
,301,340000,,1127,,0.0,,,680,,500.0
0.00075,301,350000,0.0019179098308086395,1161,0.01944233663380146,1.14,-11.70050048828125,17334,684,0.07338476181030273,500.0
,301,350000,,1161,,1.14,,,688,,500.0
,301,350000,,1161,,1.14,,,692,,500.0
,301,350000,,1161,,1.14,,,696,,500.0
,301,350000,,1161,,1.14,,,700,,500.0
0.00075,301,360000,0.0017963454592972994,1193,0.011773395352065563,1.14,-11.539267539978027,17834,704,-0.02087712287902832,500.0
,301,360000,,1193,,1.14,,,708,,500.0
,301,360000,,1193,,1.14,,,712,,500.0
,301,360000,,1193,,1.14,,,716,,500.0
,301,360000,,1193,,1.14,,,720,,500.0
0.00075,301,370000,0.0017090337350964546,1225,0.034687340259552,1.14,-11.434917449951172,18334,724,-2.6497244834899902,500.0
,301,370000,,1225,,1.14,,,728,,500.0
,301,370000,,1225,,1.14,,,732,,500.0
,301,370000,,1225,,1.14,,,736,,500.0
,301,370000,,1225,,1.14,,,740,,500.0
0.00075,301,380000,0.0017694556154310703,1258,1.1318321228027344,1.14,-10.912036895751953,18834,744,-6.097686767578125,500.0
,301,380000,,1258,,1.14,,,748,,500.0
,301,380000,,1258,,1.14,,,752,,500.0
,301,380000,,1258,,1.14,,,756,,500.0
,301,380000,,1258,,1.14,,,760,,500.0
0.00075,301,390000,0.0014195585390552878,1291,0.011663028970360756,1.14,-10.93165111541748,19334,764,10.159811019897461,500.0
,301,390000,,1291,,1.14,,,768,,500.0
,301,390000,,1291,,1.14,,,772,,500.0
,301,390000,,1291,,1.14,,,776,,500.0
,301,390000,,1291,,1.14,,,780,,500.0
0.00075,301,400000,0.0015493775717914104,1324,0.010584775358438492,0.0,-10.769003868103027,19834,784,-8.72353458404541,500.0
,301,400000,,1324,,0.0,,,788,,500.0
,301,400000,,1324,,0.0,,,792,,500.0
,301,400000,,1324,,0.0,,,796,,500.0
,301,400000,,1324,,0.0,,,800,,500.0
0.00075,301,410000,0.0014779252232983708,1357,0.012082530185580254,0.0,-10.271356582641602,20334,804,-0.3639177680015564,500.0
,301,410000,,1357,,0.0,,,808,,500.0
,301,410000,,1357,,0.0,,,812,,500.0
,301,410000,,1357,,0.0,,,816,,500.0
,301,410000,,1357,,0.0,,,820,,500.0
0.00075,301,420000,0.0015467791818082333,1390,0.019129356369376183,0.0,-10.269979476928711,20834,824,-1.7847142219543457,500.0
,301,420000,,1390,,0.0,,,828,,500.0
,301,420000,,1390,,0.0,,,832,,500.0
,301,420000,,1390,,0.0,,,836,,500.0
,301,420000,,1390,,0.0,,,840,,500.0
0.00075,302,430000,0.0015360049437731504,1422,0.014479011297225952,0.0,-9.814583778381348,21334,844,2.222383975982666,500.0
,302,430000,,1422,,0.0,,,848,,500.0
,302,430000,,1422,,0.0,,,852,,500.0
,302,430000,,1422,,0.0,,,856,,500.0
,302,430000,,1422,,0.0,,,860,,500.0
0.00075,302,440000,0.001518872450105846,1454,0.022121645510196686,1.87,-9.681467056274414,21834,864,8.505928993225098,500.0
,302,440000,,1454,,1.87,,,868,,500.0
,302,440000,,1454,,1.87,,,872,,500.0
,302,440000,,1454,,1.87,,,876,,500.0
,302,440000,,1454,,1.87,,,880,,500.0
0.00075,302,450000,0.0015936304116621614,1485,0.018339738249778748,1.87,-9.540237426757812,22334,884,6.983136177062988,500.0
,302,450000,,1485,,1.87,,,888,,500.0
,302,450000,,1485,,1.87,,,892,,500.0
,302,450000,,1485,,1.87,,,896,,500.0
,302,450000,,1485,,1.87,,,900,,500.0
0.00075,303,460000,0.0014545959420502186,1517,0.019622081890702248,1.87,-9.372087478637695,22834,904,-3.2218422889709473,500.0
,303,460000,,1517,,1.87,,,908,,500.0
,303,460000,,1517,,1.87,,,912,,500.0
,303,460000,,1517,,1.87,,,916,,500.0
,303,460000,,1517,,1.87,,,920,,500.0
0.00075,303,470000,0.0015143511118367314,1549,1.7346094846725464,1.87,-9.075546264648438,23334,924,-13.886497497558594,500.0
,303,470000,,1549,,1.87,,,928,,500.0
,303,470000,,1549,,1.87,,,932,,500.0
,303,470000,,1549,,1.87,,,936,,500.0
,303,470000,,1549,,1.87,,,940,,500.0
0.00075,303,480000,0.0012460412690415978,1580,0.008718379773199558,1.87,-9.106783866882324,23834,944,-1.9409472942352295,500.0
