time/episodes,time/total_timesteps,train/n_updates,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/ent_coef,time/fps
4,10000,334,-12.209964752197266,30,500.0,0.0,-2.9395980834960938,0.07047165930271149,0.00075,0.77881920337677,323
8,10000,,,30,500.0,0.0,,,,,323
12,10000,,,30,500.0,0.0,,,,,323
16,10000,,,30,500.0,0.0,,,,,323
20,10000,,,30,500.0,0.0,,,,,323
24,20000,834,-16.20261001586914,68,500.0,0.0,-7.344529151916504,1.4320580959320068,0.00075,0.5351618528366089,290
28,20000,,,68,500.0,0.0,,,,,290
32,20000,,,68,500.0,0.0,,,,,290
36,20000,,,68,500.0,0.0,,,,,290
40,20000,,,68,500.0,0.0,,,,,290
