time/episodes,time/time_elapsed,train/learning_rate,time/fps,train/critic_loss,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,train/ent_coef_loss,time/total_timesteps,train/actor_loss,train/ent_coef
4,21,0.00075,458,0.07638097554445267,0.0,334,500.0,-2.938566207885742,10000,-12.253393173217773,0.7788046002388
8,21,,458,,0.0,,500.0,,10000,,
12,21,,458,,0.0,,500.0,,10000,,
16,21,,457,,0.0,,500.0,,10000,,
20,21,,457,,0.0,,500.0,,10000,,
24,46,0.00075,429,0.04347880184650421,0.0,834,500.0,-7.3546037673950195,20000,-16.223228454589844,0.5352147221565247
28,46,,429,,0.0,,500.0,,20000,,
32,46,,429,,0.0,,500.0,,20000,,
36,46,,429,,0.0,,500.0,,20000,,
40,46,,429,,0.0,,500.0,,20000,,
44,71,0.00075,420,0.027388758957386017,0.0,1334,500.0,-11.702072143554688,30000,-18.962852478027344,0.36786583065986633
48,71,,420,,0.0,,500.0,,30000,,
52,71,,420,,0.0,,500.0,,30000,,
56,71,,420,,0.0,,500.0,,30000,,
60,71,,420,,0.0,,500.0,,30000,,
64,96,0.00075,414,0.03774559870362282,0.0,1834,500.0,-16.175817489624023,40000,-20.87761688232422,0.25282716751098633
68,96,,414,,0.0,,500.0,,40000,,
72,96,,414,,0.0,,500.0,,40000,,
76,96,,414,,0.0,,500.0,,40000,,
80,96,,414,,0.0,,500.0,,40000,,
84,121,0.00075,410,3.164062023162842,0.0,2334,500.0,-20.568973541259766,50000,-21.73041534423828,0.17380091547966003
88,121,,410,,0.0,,500.0,,50000,,
92,121,,410,,0.0,,500.0,,50000,,
96,121,,410,,0.0,,500.0,,50000,,
100,121,,410,,0.0,,500.0,,50000,,
104,147,0.00075,407,0.026045482605695724,0.0,2834,500.0,-24.952678680419922,60000,-22.23027801513672,0.11954592168331146
108,147,,407,,0.0,,500.0,,60000,,
112,147,,407,,0.0,,500.0,,60000,,
116,147,,407,,0.0,,500.0,,60000,,
120,147,,407,,0.0,,500.0,,60000,,
124,172,0.00075,406,0.04039900749921799,0.0,3334,500.0,-29.265018463134766,70000,-22.409561157226562,0.08230999857187271
128,172,,406,,0.0,,500.0,,70000,,
132,172,,406,,0.0,,500.0,,70000,,
136,172,,406,,0.0,,500.0,,70000,,
140,172,,406,,0.0,,500.0,,70000,,
144,197,0.00075,404,0.0528423935174942,0.0,3834,500.0,-33.33838653564453,80000,-22.17617416381836,0.05685792490839958
148,197,,404,,0.0,,500.0,,80000,,
152,197,,404,,0.0,,500.0,,80000,,
156,197,,404,,0.0,,500.0,,80000,,
160,197,,404,,0.0,,500.0,,80000,,
164,223,0.00075,402,0.03334442526102066,0.0,4334,500.0,-37.56926345825195,90000,-21.46745491027832,0.03941037133336067
168,223,,402,,0.0,,500.0,,90000,,
172,223,,402,,0.0,,500.0,,90000,,
176,223,,402,,0.0,,500.0,,90000,,
180,223,,402,,0.0,,500.0,,90000,,
184,249,0.00075,401,3.5334877967834473,0.0,4834,500.0,-38.03131103515625,100000,-21.46247673034668,0.027473224326968193
188,249,,401,,0.0,,500.0,,100000,,
