time/total_timesteps,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,train/learning_rate,time/time_elapsed,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates
10000,-2.9349026679992676,0.0,293,500.0,4,0.00075,34,-12.051668167114258,0.047021299600601196,0.7789101600646973,334
10000,,0.0,293,500.0,8,,34,,,,
10000,,0.0,293,500.0,12,,34,,,,
10000,,0.0,293,500.0,16,,34,,,,
10000,,0.0,293,500.0,20,,34,,,,
20000,-7.350430965423584,0.0,301,500.0,24,0.00075,66,-16.383193969726562,0.058645233511924744,0.5352448225021362,834
20000,,0.0,301,500.0,28,,66,,,,
20000,,0.0,301,500.0,32,,66,,,,
20000,,0.0,301,500.0,36,,66,,,,
20000,,0.0,301,500.0,40,,66,,,,
30000,-11.751462936401367,0.0,304,500.0,44,0.00075,98,-19.097938537597656,0.059571199119091034,0.3678285479545593,1334
30000,,0.0,304,500.0,48,,98,,,,
30000,,0.0,304,500.0,52,,98,,,,
30000,,0.0,304,500.0,56,,98,,,,
30000,,0.0,304,500.0,60,,98,,,,
40000,-16.176185607910156,0.0,303,500.0,64,0.00075,131,-20.664979934692383,0.12046991288661957,0.2528235912322998,1834
40000,,0.0,303,500.0,68,,131,,,,
40000,,0.0,303,500.0,72,,131,,,,
40000,,0.0,303,500.0,76,,131,,,,
40000,,0.0,303,500.0,80,,131,,,,
50000,-20.491989135742188,0.0,304,500.0,84,0.00075,164,-21.93520736694336,0.022518273442983627,0.173835888504982,2334
50000,,0.0,304,500.0,88,,164,,,,
50000,,0.0,304,500.0,92,,164,,,,
50000,,0.0,304,500.0,96,,164,,,,
50000,,0.0,304,500.0,100,,164,,,,
60000,-24.843029022216797,0.0,304,500.0,104,0.00075,196,-22.40195083618164,0.04178269952535629,0.11959359049797058,2834
60000,,0.0,304,500.0,108,,196,,,,
60000,,0.0,304,500.0,112,,196,,,,
60000,,0.0,304,500.0,116,,196,,,,
60000,,0.0,304,500.0,120,,196,,,,
70000,-28.81655502319336,0.0,305,500.0,124,0.00075,229,-22.4700870513916,0.031277358531951904,0.08234147727489471,3334
70000,,0.0,305,500.0,128,,229,,,,
70000,,0.0,305,500.0,132,,229,,,,
70000,,0.0,305,500.0,136,,229,,,,
70000,,0.0,305,500.0,140,,229,,,,
80000,-32.97136688232422,0.0,305,500.0,144,0.00075,261,-22.420223236083984,0.03395898640155792,0.056792814284563065,3834
80000,,0.0,305,500.0,148,,261,,,,
80000,,0.0,305,500.0,152,,261,,,,
80000,,0.0,305,500.0,156,,261,,,,
80000,,0.0,305,500.0,160,,261,,,,
90000,-36.66041946411133,0.0,306,500.0,164,0.00075,293,-22.079437255859375,0.03628065437078476,0.03934110701084137,4334
90000,,0.0,306,500.0,168,,293,,,,
90000,,0.0,306,500.0,172,,293,,,,
90000,,0.0,306,500.0,176,,293,,,,
90000,,0.0,306,500.0,180,,293,,,,
100000,-39.331886291503906,0.62,307,500.0,184,0.00075,325,-21.412689208984375,0.03837578743696213,0.027501974254846573,4834
100000,,0.62,307,500.0,188,,325,,,,
100000,,0.62,307,500.0,192,,325,,,,
100000,,0.62,307,500.0,196,,325,,,,
100000,,0.62,307,500.0,200,,325,,,,
110000,-39.915977478027344,0.62,306,500.0,204,0.00075,358,-20.961288452148438,3.1882576942443848,0.0191842932254076,5334
110000,,0.62,306,500.0,208,,358,,,,
110000,,0.62,306,500.0,212,,358,,,,
110000,,0.62,306,500.0,216,,358,,,,
110000,,0.62,306,500.0,220,,358,,,,
120000,-32.99723815917969,0.62,306,500.0,224,0.00075,391,-20.593109130859375,0.045941513031721115,0.013654881156980991,5834
120000,,0.62,306,500.0,228,,391,,,,
120000,,0.62,306,500.0,232,,391,,,,
120000,,0.62,306,500.0,236,,391,,,,
120000,,0.62,306,500.0,240,,391,,,,
130000,-39.0448112487793,0.62,306,500.0,244,0.00075,423,-20.33053970336914,0.03586549311876297,0.01017035823315382,6334
130000,,0.62,306,500.0,248,,423,,,,
130000,,0.62,306,500.0,252,,423,,,,
130000,,0.62,306,500.0,256,,423,,,,
130000,,0.62,306,500.0,260,,423,,,,
140000,-33.050106048583984,0.62,306,500.0,264,0.00075,456,-19.512182235717773,0.012748794630169868,0.007633448578417301,6834
140000,,0.62,306,500.0,268,,456,,,,
140000,,0.62,306,500.0,272,,456,,,,
140000,,0.62,306,500.0,276,,456,,,,
140000,,0.62,306,500.0,280,,456,,,,
150000,-30.384855270385742,0.0,306,500.0,284,0.00075,489,-19.13138198852539,0.027831196784973145,0.006110259797424078,7334
150000,,0.0,306,500.0,288,,489,,,,
150000,,0.0,306,500.0,292,,489,,,,
150000,,0.0,306,500.0,296,,489,,,,
150000,,0.0,306,500.0,300,,489,,,,
160000,-17.061304092407227,0.0,306,500.0,304,0.00075,522,-18.596805572509766,0.05359286069869995,0.004938987083733082,7834
160000,,0.0,306,500.0,308,,522,,,,
160000,,0.0,306,500.0,312,,522,,,,
160000,,0.0,306,500.0,316,,522,,,,
160000,,0.0,306,500.0,320,,522,,,,
170000,15.591407775878906,0.0,306,500.0,324,0.00075,555,-18.1339054107666,2.5857269763946533,0.004263751674443483,8334
170000,,0.0,306,500.0,328,,555,,,,
170000,,0.0,306,500.0,332,,555,,,,
170000,,0.0,306,500.0,336,,555,,,,
170000,,0.0,306,500.0,340,,555,,,,
180000,-21.618087768554688,0.0,306,500.0,344,0.00075,587,-17.901966094970703,1.5075063705444336,0.003712565405294299,8834
180000,,0.0,306,500.0,348,,587,,,,
180000,,0.0,306,500.0,352,,587,,,,
180000,,0.0,306,500.0,356,,587,,,,
180000,,0.0,306,500.0,360,,587,,,,
190000,3.3740639686584473,0.0,306,500.0,364,0.00075,619,-17.14957046508789,0.018321188166737556,0.0034104841761291027,9334
190000,,0.0,306,500.0,368,,619,,,,
190000,,0.0,306,500.0,372,,619,,,,
190000,,0.0,306,500.0,376,,619,,,,
190000,,0.0,306,500.0,380,,619,,,,
200000,-7.031098365783691,0.0,306,500.0,384,0.00075,651,-16.818679809570312,0.0426098108291626,0.003334625391289592,9834
200000,,0.0,306,500.0,388,,651,,,,
200000,,0.0,306,500.0,392,,651,,,,
200000,,0.0,306,500.0,396,,651,,,,
200000,,0.0,306,500.0,400,,651,,,,
210000,-1.639222502708435,0.0,306,500.0,404,0.00075,684,-16.40707015991211,0.0546521320939064,0.003020553383976221,10334
210000,,0.0,306,500.0,408,,684,,,,
210000,,0.0,306,500.0,412,,684,,,,
210000,,0.0,306,500.0,416,,684,,,,
210000,,0.0,306,500.0,420,,684,,,,
220000,19.609172821044922,0.0,306,500.0,424,0.00075,717,-15.99990463256836,0.0355805903673172,0.003056190675124526,10834
220000,,0.0,306,500.0,428,,717,,,,
220000,,0.0,306,500.0,432,,717,,,,
220000,,0.0,306,500.0,436,,717,,,,
220000,,0.0,306,500.0,440,,717,,,,
230000,27.010353088378906,0.0,306,500.0,444,0.00075,750,-15.466651916503906,0.05238538235425949,0.0027927306946367025,11334
230000,,0.0,306,500.0,448,,750,,,,
230000,,0.0,306,500.0,452,,750,,,,
230000,,0.0,306,500.0,456,,750,,,,
230000,,0.0,306,500.0,460,,750,,,,
240000,-3.436852216720581,0.0,306,500.0,464,0.00075,782,-14.78529167175293,1.6633012294769287,0.002842528047040105,11834
240000,,0.0,306,500.0,468,,782,,,,
240000,,0.0,306,500.0,472,,782,,,,
240000,,0.0,306,500.0,476,,782,,,,
240000,,0.0,306,500.0,480,,782,,,,
250000,-11.219261169433594,0.0,306,500.0,484,0.00075,815,-14.49648380279541,1.294463872909546,0.0027877800166606903,12334
250000,,0.0,306,500.0,488,,815,,,,
250000,,0.0,306,500.0,492,,815,,,,
250000,,0.0,306,500.0,496,,815,,,,
250000,,0.0,306,500.0,500,,815,,,,
260000,5.417213439941406,0.0,306,500.0,504,0.00075,847,-14.679765701293945,0.011253885924816132,0.002713057678192854,12834
260000,,0.0,306,500.0,508,,847,,,,
260000,,0.0,306,500.0,512,,847,,,,
260000,,0.0,306,500.0,516,,847,,,,
260000,,0.0,306,500.0,520,,847,,,,
270000,4.465532302856445,0.0,306,500.0,524,0.00075,880,-14.165565490722656,0.6972100734710693,0.002693538088351488,13334
270000,,0.0,306,500.0,528,,880,,,,
270000,,0.0,306,500.0,532,,880,,,,
270000,,0.0,306,500.0,536,,880,,,,
270000,,0.0,306,500.0,540,,880,,,,
280000,-7.789960861206055,0.0,306,500.0,544,0.00075,912,-13.942668914794922,0.8966504335403442,0.002328782109543681,13834
280000,,0.0,306,500.0,548,,912,,,,
280000,,0.0,306,500.0,552,,912,,,,
280000,,0.0,306,500.0,556,,912,,,,
280000,,0.0,306,500.0,560,,912,,,,
290000,-10.232501983642578,0.15,306,500.0,564,0.00075,945,-13.68310832977295,0.014206329360604286,0.0024445911403745413,14334
290000,,0.15,306,500.0,568,,945,,,,
290000,,0.15,306,500.0,572,,945,,,,
290000,,0.15,306,500.0,576,,945,,,,
290000,,0.15,306,500.0,580,,945,,,,
300000,-0.9447793960571289,0.15,306,500.0,584,0.00075,978,-13.12057876586914,0.020414946600794792,0.0023340771440416574,14834
300000,,0.15,306,500.0,588,,978,,,,
300000,,0.15,306,500.0,592,,978,,,,
300000,,0.15,306,500.0,596,,978,,,,
300000,,0.15,306,500.0,600,,978,,,,
310000,7.74476432800293,0.15,306,500.0,604,0.00075,1011,-12.957597732543945,1.523768424987793,0.002094981726258993,15334
310000,,0.15,306,500.0,608,,1011,,,,
310000,,0.15,306,500.0,612,,1011,,,,
310000,,0.15,306,500.0,616,,1011,,,,
310000,,0.15,306,500.0,620,,1011,,,,
320000,7.9263834953308105,0.15,306,500.0,624,0.00075,1044,-12.116314888000488,0.38728365302085876,0.0021192198619246483,15834
320000,,0.15,306,500.0,628,,1044,,,,
320000,,0.15,306,500.0,632,,1044,,,,
320000,,0.15,306,500.0,636,,1044,,,,
320000,,0.15,306,500.0,640,,1044,,,,
330000,0.7498641014099121,0.15,306,500.0,644,0.00075,1077,-12.166790008544922,0.012185676954686642,0.0020245856139808893,16334
330000,,0.15,306,500.0,648,,1077,,,,
330000,,0.15,306,500.0,652,,1077,,,,
330000,,0.15,306,500.0,656,,1077,,,,
330000,,0.15,306,500.0,660,,1077,,,,
340000,-1.407501220703125,0.0,306,500.0,664,0.00075,1111,-12.21434497833252,0.02106250822544098,0.002031993353739381,16834
340000,,0.0,306,500.0,668,,1111,,,,
340000,,0.0,306,500.0,672,,1111,,,,
340000,,0.0,306,500.0,676,,1111,,,,
340000,,0.0,306,500.0,680,,1111,,,,
350000,4.591846466064453,0.0,305,500.0,684,0.00075,1143,-11.897673606872559,0.011000127531588078,0.0017896663630381227,17334
350000,,0.0,305,500.0,688,,1143,,,,
350000,,0.0,305,500.0,692,,1143,,,,
350000,,0.0,305,500.0,696,,1143,,,,
350000,,0.0,305,500.0,700,,1143,,,,
360000,-7.770782470703125,0.0,305,500.0,704,0.00075,1176,-11.738600730895996,0.0156333576887846,0.0018214574083685875,17834
360000,,0.0,305,500.0,708,,1176,,,,
360000,,0.0,305,500.0,712,,1176,,,,
360000,,0.0,305,500.0,716,,1176,,,,
360000,,0.0,305,500.0,720,,1176,,,,
370000,-0.44442319869995117,0.0,305,500.0,724,0.00075,1209,-11.24091625213623,0.012201125733554363,0.0018405192531645298,18334
370000,,0.0,305,500.0,728,,1209,,,,
370000,,0.0,305,500.0,732,,1209,,,,
370000,,0.0,305,500.0,736,,1209,,,,
370000,,0.0,305,500.0,740,,1209,,,,
380000,-0.014230132102966309,0.15,305,500.0,744,0.00075,1242,-11.050047874450684,0.013721597380936146,0.0019429647363722324,18834
380000,,0.15,305,500.0,748,,1242,,,,
380000,,0.15,305,500.0,752,,1242,,,,
380000,,0.15,305,500.0,756,,1242,,,,
