time/time_elapsed,train/learning_rate,time/fps,time/total_timesteps,train/n_updates,time/episodes,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,train/ent_coef,rollout/ep_rew_mean
30,0.00075,326,10000,334,4,0.043047886341810226,-2.9363393783569336,500.0,-11.913469314575195,0.778874933719635,0.0
30,,326,10000,,8,,,500.0,,,0.0
30,,326,10000,,12,,,500.0,,,0.0
30,,325,10000,,16,,,500.0,,,0.0
30,,325,10000,,20,,,500.0,,,0.0
62,0.00075,319,20000,834,24,0.035635389387607574,-7.381294250488281,500.0,-16.004749298095703,0.5352280139923096,0.0
62,,319,20000,,28,,,500.0,,,0.0
62,,319,20000,,32,,,500.0,,,0.0
62,,319,20000,,36,,,500.0,,,0.0
62,,319,20000,,40,,,500.0,,,0.0
95,0.00075,314,30000,1334,44,0.09289854764938354,-11.799198150634766,500.0,-18.932201385498047,0.36785295605659485,0.0
95,,314,30000,,48,,,500.0,,,0.0
95,,314,30000,,52,,,500.0,,,0.0
95,,314,30000,,56,,,500.0,,,0.0
95,,314,30000,,60,,,500.0,,,0.0
128,0.00075,311,40000,1834,64,0.023785239085555077,-16.178558349609375,500.0,-20.662628173828125,0.25283458828926086,0.0
128,,311,40000,,68,,,500.0,,,0.0
128,,311,40000,,72,,,500.0,,,0.0
128,,311,40000,,76,,,500.0,,,0.0
128,,311,40000,,80,,,500.0,,,0.0
161,0.00075,309,50000,2334,84,0.05041981860995293,-20.616283416748047,500.0,-21.482135772705078,0.17381122708320618,0.0
161,,309,50000,,88,,,500.0,,,0.0
161,,309,50000,,92,,,500.0,,,0.0
161,,309,50000,,96,,,500.0,,,0.0
161,,309,50000,,100,,,500.0,,,0.0
193,0.00075,310,60000,2834,104,0.04522418975830078,-25.021879196166992,500.0,-22.312702178955078,0.11956579983234406,0.0
193,,310,60000,,108,,,500.0,,,0.0
193,,310,60000,,112,,,500.0,,,0.0
193,,310,60000,,116,,,500.0,,,0.0
193,,310,60000,,120,,,500.0,,,0.0
226,0.00075,309,70000,3334,124,0.022542625665664673,-29.254905700683594,500.0,-22.529285430908203,0.0823044627904892,0.0
226,,309,70000,,128,,,500.0,,,0.0
226,,309,70000,,132,,,500.0,,,0.0
226,,309,70000,,136,,,500.0,,,0.0
226,,309,70000,,140,,,500.0,,,0.0
258,0.00075,308,80000,3834,144,0.02159498631954193,-33.471710205078125,500.0,-22.124868392944336,0.05680575966835022,0.0
258,,308,80000,,148,,,500.0,,,0.0
258,,308,80000,,152,,,500.0,,,0.0
258,,308,80000,,156,,,500.0,,,0.0
258,,308,80000,,160,,,500.0,,,0.0
290,0.00075,309,90000,4334,164,0.01975124329328537,-34.61590576171875,500.0,-21.772380828857422,0.03922082856297493,0.0
291,,309,90000,,168,,,500.0,,,0.0
291,,309,90000,,172,,,500.0,,,0.0
291,,309,90000,,176,,,500.0,,,0.0
291,,309,90000,,180,,,500.0,,,0.0
323,0.00075,309,100000,4834,184,0.032104380428791046,-40.29701232910156,500.0,-21.422008514404297,0.02720668353140354,0.0
323,,309,100000,,188,,,500.0,,,0.0
323,,309,100000,,192,,,500.0,,,0.0
323,,308,100000,,196,,,500.0,,,0.0
323,,308,100000,,200,,,500.0,,,0.0
357,0.00075,307,110000,5334,204,0.061768319457769394,-36.275489807128906,500.0,-20.51177978515625,0.019035521894693375,0.0
357,,307,110000,,208,,,500.0,,,0.0
357,,307,110000,,212,,,500.0,,,0.0
357,,307,110000,,216,,,500.0,,,0.0
357,,307,110000,,220,,,500.0,,,0.0
390,0.00075,307,120000,5834,224,0.026630651205778122,-42.27886962890625,500.0,-20.343372344970703,0.013583173044025898,0.0
390,,307,120000,,228,,,500.0,,,0.0
390,,307,120000,,232,,,500.0,,,0.0
390,,307,120000,,236,,,500.0,,,0.0
390,,307,120000,,240,,,500.0,,,0.0
423,0.00075,306,130000,6334,244,0.05980857089161873,-41.52973175048828,500.0,-19.90553855895996,0.009698087349534035,0.0
423,,306,130000,,248,,,500.0,,,0.0
423,,306,130000,,252,,,500.0,,,0.0
423,,306,130000,,256,,,500.0,,,0.0
423,,306,130000,,260,,,500.0,,,0.0
456,0.00075,306,140000,6834,264,1.779280185699463,-35.8480339050293,500.0,-19.10114860534668,0.007098293863236904,0.0
456,,306,140000,,268,,,500.0,,,0.0
456,,306,140000,,272,,,500.0,,,0.0
456,,306,140000,,276,,,500.0,,,0.0
456,,306,140000,,280,,,500.0,,,0.0
488,0.00075,306,150000,7334,284,0.02896740846335888,-31.794132232666016,500.0,-18.73028564453125,0.005363686941564083,0.0
488,,306,150000,,288,,,500.0,,,0.0
