time/episodes,time/time_elapsed,train/learning_rate,train/n_updates,rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss
4,14,0.00075,169,500.0,-10.865976333618164,352,0.8814954161643982,0.09261839091777802,0.0,5000,-1.4840710163116455
8,14,,,500.0,,352,,,0.0,5000,
12,34,0.00075,669,500.0,-14.967021942138672,290,0.6057032942771912,0.03928031772375107,0.0,10000,-5.895676612854004
16,34,,,500.0,,290,,,0.0,10000,
20,34,,,500.0,,290,,,0.0,10000,
24,55,0.00075,1169,500.0,-18.34829330444336,271,0.41630297899246216,0.030374139547348022,0.0,15000,-10.335824966430664
28,55,,,500.0,,271,,,0.0,15000,
32,76,0.00075,1669,500.0,-20.472675323486328,262,0.2861441373825073,0.02650068700313568,0.0,20000,-14.704957962036133
36,76,,,500.0,,262,,,0.0,20000,
40,76,,,500.0,,262,,,0.0,20000,
44,97,0.00075,2169,500.0,-21.494699478149414,256,0.19673371315002441,2.8071281909942627,0.0,25000,-19.08815574645996
48,97,,,500.0,,256,,,0.0,25000,
52,117,0.00075,2669,500.0,-22.25235366821289,255,0.13528002798557281,0.030855681747198105,0.0,30000,-23.294963836669922
56,117,,,500.0,,255,,,0.0,30000,
60,117,,,500.0,,255,,,0.0,30000,
64,137,0.00075,3169,500.0,-22.741382598876953,253,0.09312059730291367,0.04770083725452423,0.0,35000,-27.75136947631836
68,137,,,500.0,,253,,,0.0,35000,
72,158,0.00075,3669,500.0,-22.608245849609375,251,0.0641920268535614,0.0282304584980011,0.0,40000,-31.631759643554688
76,158,,,500.0,,251,,,0.0,40000,
80,158,,,500.0,,251,,,0.0,40000,
84,179,0.00075,4169,500.0,-22.160980224609375,250,0.04441151022911072,3.8099281787872314,0.0,45000,-36.079898834228516
88,179,,,500.0,,250,,,0.0,45000,
92,200,0.00075,4669,500.0,-21.53231430053711,249,0.03083544410765171,0.041106872260570526,0.0,50000,-38.452476501464844
96,200,,,500.0,,249,,,0.0,50000,
100,200,,,500.0,,249,,,0.0,50000,
104,221,0.00075,5169,500.0,-21.36874771118164,248,0.021747035905718803,0.029142078012228012,0.0,55000,-38.849674224853516
108,221,,,500.0,,248,,,0.0,55000,
112,241,0.00075,5669,500.0,-20.724102020263672,248,0.01555151678621769,0.04462847113609314,1.44,60000,-38.00597381591797
116,241,,,500.0,,248,,,1.44,60000,
120,241,,,500.0,,248,,,1.44,60000,
124,261,0.00075,6169,500.0,-19.917964935302734,248,0.01143551804125309,0.08155995607376099,1.44,65000,-35.425899505615234
128,261,,,500.0,,248,,,1.44,65000,
132,283,0.00075,6669,500.0,-19.62546730041504,247,0.008584490045905113,0.07521599531173706,1.44,70000,-28.488868713378906
136,283,,,500.0,,247,,,1.44,70000,
140,283,,,500.0,,247,,,1.44,70000,
144,303,0.00075,7169,500.0,-19.110759735107422,247,0.0066228904761374,0.046429187059402466,1.87,75000,-27.039413452148438
148,303,,,500.0,,247,,,1.87,75000,
152,324,0.00075,7669,500.0,-18.444610595703125,246,0.005428633652627468,0.030532419681549072,1.87,80000,-23.965709686279297
156,324,,,500.0,,246,,,1.87,80000,
160,324,,,500.0,,246,,,1.87,80000,
164,345,0.00075,8169,500.0,-17.847394943237305,246,0.004934954456984997,2.8603503704071045,2.15,85000,-18.616920471191406
168,345,,,500.0,,246,,,2.15,85000,
172,366,0.00075,8669,500.0,-17.643890380859375,245,0.004455811344087124,0.0398128479719162,2.84,90000,-3.906161308288574
176,366,,,500.0,,245,,,2.84,90000,
180,366,,,500.0,,245,,,2.84,90000,
184,387,0.00075,9169,500.0,-17.176158905029297,245,0.004136946983635426,0.024587109684944153,2.84,95000,-0.583624005317688
188,387,,,500.0,,245,,,2.84,95000,
192,408,0.00075,9669,500.0,-16.91213607788086,244,0.00419016694650054,2.530860424041748,4.19,100000,1.7139339447021484
196,408,,,500.0,,244,,,4.19,100000,
200,408,,,500.0,,244,,,4.19,100000,
204,429,0.00075,10169,500.0,-16.78622817993164,244,0.004281727597117424,0.026680249720811844,5.83,105000,-0.710709810256958
208,429,,,500.0,,244,,,5.83,105000,
212,451,0.00075,10669,500.0,-16.197174072265625,243,0.004112666007131338,0.03712412714958191,5.03,110000,-1.4341542720794678
216,451,,,500.0,,243,,,5.03,110000,
220,451,,,500.0,,243,,,5.03,110000,
224,473,0.00075,11169,500.0,-15.921091079711914,242,0.004157208371907473,0.9374566078186035,8.07,115000,8.724390029907227
228,473,,,500.0,,242,,,8.07,115000,
232,493,0.00075,11669,500.0,-16.421314239501953,242,0.00384950521402061,0.04144160449504852,15.77,120000,-8.531888961791992
236,493,,,500.0,,242,,,15.77,120000,
240,493,,,500.0,,242,,,15.77,120000,
244,515,0.00075,12169,500.0,-16.127735137939453,242,0.004015262704342604,0.728087306022644,18.89,125000,-8.482532501220703
248,515,,,500.0,,242,,,18.89,125000,
252,537,0.00075,12669,500.0,-15.356534957885742,241,0.003805838292464614,1.9378058910369873,18.89,130000,1.8498871326446533
256,537,,,500.0,,241,,,18.89,130000,
260,537,,,500.0,,241,,,18.89,130000,
264,557,0.00075,13169,500.0,-14.931368827819824,241,0.0040703727863729,0.03968506306409836,18.61,135000,-1.8822022676467896
268,557,,,500.0,,241,,,18.61,135000,
272,578,0.00075,13669,500.0,-15.147263526916504,242,0.004552692640572786,0.057689689099788666,25.98,140000,-4.66628885269165
276,578,,,500.0,,242,,,25.98,140000,
