time/episodes,rollout/ep_rew_mean,train/n_updates,time/fps,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,time/total_timesteps
4,2.2461758000000005,334,550,-14.631401062011719,0.9048742651939392,-1.3401833772659302,0.09239952266216278,500.0,18,0.0003,10000
8,2.2461758000000005,,550,,,,,500.0,18,,10000
12,2.2461758000000005,,550,,,,,500.0,18,,10000
16,2.2461758000000005,,550,,,,,500.0,18,,10000
20,2.2461758000000005,,550,,,,,500.0,18,,10000
24,1.8734875500000001,834,489,-22.432064056396484,0.7788093686103821,-3.359092950820923,2.652611255645752,500.0,40,0.0003,20000
28,1.8734875500000001,,489,,,,,500.0,40,,20000
32,1.8734875500000001,,489,,,,,500.0,40,,20000
36,1.8734875500000001,,489,,,,,500.0,40,,20000
40,1.8734875500000001,,489,,,,,500.0,40,,20000
44,1.7304670333333334,1334,471,-29.86812973022461,0.6703276038169861,-5.388307571411133,0.05253405496478081,500.0,63,0.0003,30000
48,1.7304670333333334,,471,,,,,500.0,63,,30000
52,1.7304670333333334,,471,,,,,500.0,63,,30000
56,1.7304670333333334,,471,,,,,500.0,63,,30000
60,1.7304670333333334,,471,,,,,500.0,63,,30000
64,1.9246696374999999,1834,462,-36.04186248779297,0.5769575238227844,-7.441259860992432,0.10656242072582245,500.0,86,0.0003,40000
68,1.9246696374999999,,462,,,,,500.0,86,,40000
72,1.9246696374999999,,462,,,,,500.0,86,,40000
76,1.9246696374999999,,462,,,,,500.0,86,,40000
80,1.9246696374999999,,462,,,,,500.0,86,,40000
84,1.85800564,2334,452,-41.3306884765625,0.49659907817840576,-9.439138412475586,11.839773178100586,500.0,110,0.0003,50000
88,1.85800564,,452,,,,,500.0,110,,50000
92,1.85800564,,452,,,,,500.0,110,,50000
96,1.85800564,,452,,,,,500.0,110,,50000
100,1.85800564,,452,,,,,500.0,110,,50000
104,1.7090066099999996,2834,432,-45.5415153503418,0.4274371266365051,-11.43272590637207,0.025047071278095245,500.0,138,0.0003,60000
108,1.7090066099999996,,432,,,,,500.0,138,,60000
112,1.7090066099999996,,432,,,,,500.0,138,,60000
116,1.7090066099999996,,432,,,,,500.0,138,,60000
120,1.7090066099999996,,432,,,,,500.0,138,,60000
124,1.79655639,3334,430,-48.790138244628906,0.36792659759521484,-13.469144821166992,0.03324941545724869,500.0,162,0.0003,70000
128,1.79655639,,430,,,,,500.0,162,,70000
132,1.79655639,,430,,,,,500.0,162,,70000
136,1.79655639,,430,,,,,500.0,162,,70000
140,1.79655639,,430,,,,,500.0,162,,70000
144,1.7513517400000003,3834,418,-51.403812408447266,0.31667110323905945,-15.49847412109375,0.14372992515563965,500.0,191,0.0003,80000
148,1.7513517400000003,,418,,,,,500.0,191,,80000
152,1.7513517400000003,,418,,,,,500.0,191,,80000
156,1.7513517400000003,,418,,,,,500.0,191,,80000
160,1.7513517400000003,,418,,,,,500.0,191,,80000
164,1.62565349,4334,418,-53.10456848144531,0.27259498834609985,-17.490650177001953,41.074039459228516,500.0,214,0.0003,90000
168,1.62565349,,418,,,,,500.0,214,,90000
172,1.62565349,,418,,,,,500.0,214,,90000
176,1.62565349,,418,,,,,500.0,214,,90000
180,1.62565349,,418,,,,,500.0,214,,90000
184,1.5491669200000002,4834,412,-54.656734466552734,0.23466254770755768,-19.41309356689453,0.02774132415652275,500.0,242,0.0003,100000
188,1.5491669200000002,,412,,,,,500.0,242,,100000
192,1.5491669200000002,,412,,,,,500.0,242,,100000
196,1.5491669200000002,,412,,,,,500.0,242,,100000
200,1.5491669200000002,,412,,,,,500.0,242,,100000
204,1.5646322900000005,5334,412,-55.778526306152344,0.2020067423582077,-21.596813201904297,0.024431400001049042,500.0,266,0.0003,110000
208,1.5646322900000005,,412,,,,,500.0,266,,110000
212,1.5646322900000005,,412,,,,,500.0,266,,110000
216,1.5646322900000005,,412,,,,,500.0,266,,110000
220,1.5646322900000005,,412,,,,,500.0,266,,110000
224,1.58752784,5834,412,-55.86465835571289,0.17389866709709167,-23.624155044555664,0.17097356915473938,500.0,290,0.0003,120000
228,1.58752784,,412,,,,,500.0,290,,120000
232,1.58752784,,412,,,,,500.0,290,,120000
236,1.58752784,,412,,,,,500.0,290,,120000
240,1.58752784,,412,,,,,500.0,290,,120000
244,2.16870151,6334,413,-56.502864837646484,0.1497143656015396,-25.35160255432129,49.940452575683594,500.0,314,0.0003,130000
248,2.16870151,,413,,,,,500.0,314,,130000
252,2.16870151,,413,,,,,500.0,314,,130000
256,2.16870151,,413,,,,,500.0,314,,130000
260,2.16870151,,413,,,,,500.0,314,,130000
264,1.92709766,6834,413,-56.2104606628418,0.12899203598499298,-27.451189041137695,0.048248905688524246,500.0,338,0.0003,140000
268,1.92709766,,413,,,,,500.0,338,,140000
272,1.92709766,,413,,,,,500.0,338,,140000
276,1.92709766,,413,,,,,500.0,338,,140000
280,1.92709766,,413,,,,,500.0,338,,140000
284,2.20701302,7334,411,-55.74887466430664,0.11111067980527878,-29.447633743286133,0.19641952216625214,500.0,364,0.0003,150000
288,2.20701302,,411,,,,,500.0,364,,150000
292,2.20701302,,411,,,,,500.0,364,,150000
296,2.20701302,,411,,,,,500.0,364,,150000
300,2.20701302,,411,,,,,500.0,364,,150000
304,5.009793719999999,7834,409,-55.70665740966797,0.09568116813898087,-31.30254364013672,0.021225236356258392,500.0,390,0.0003,160000
308,5.009793719999999,,409,,,,,500.0,390,,160000
312,5.009793719999999,,409,,,,,500.0,390,,160000
316,5.009793719999999,,409,,,,,500.0,390,,160000
320,5.009793719999999,,409,,,,,500.0,390,,160000
