time/episodes,time/fps,train/critic_loss,train/n_updates,train/ent_coef,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/ent_coef_loss,train/actor_loss,time/total_timesteps
4,452,0.08284913003444672,334,0.9048883318901062,1.48794205,0.0003,500.0,22,-1.1766586303710938,-13.12341022491455,10000
8,452,,,,1.48794205,,500.0,22,,,10000
12,452,,,,1.48794205,,500.0,22,,,10000
16,452,,,,1.48794205,,500.0,22,,,10000
20,451,,,,1.48794205,,500.0,22,,,10000
24,436,2.1571033000946045,834,0.7788015604019165,1.8401745999999999,0.0003,500.0,45,-2.935993194580078,-19.991147994995117,20000
28,436,,,,1.8401745999999999,,500.0,45,,,20000
32,436,,,,1.8401745999999999,,500.0,45,,,20000
36,436,,,,1.8401745999999999,,500.0,45,,,20000
40,436,,,,1.8401745999999999,,500.0,45,,,20000
44,425,0.05212772265076637,1334,0.6703307628631592,1.7210434833333335,0.0003,500.0,70,-4.724514007568359,-26.652820587158203,30000
48,425,,,,1.7210434833333335,,500.0,70,,,30000
52,425,,,,1.7210434833333335,,500.0,70,,,30000
56,425,,,,1.7210434833333335,,500.0,70,,,30000
60,425,,,,1.7210434833333335,,500.0,70,,,30000
64,419,0.05529036372900009,1834,0.5769687294960022,1.9604331250000002,0.0003,500.0,95,-6.485285758972168,-32.020408630371094,40000
68,419,,,,1.9604331250000002,,500.0,95,,,40000
72,419,,,,1.9604331250000002,,500.0,95,,,40000
76,419,,,,1.9604331250000002,,500.0,95,,,40000
80,419,,,,1.9604331250000002,,500.0,95,,,40000
84,414,9.352357864379883,2334,0.496595174074173,1.9921653899999998,0.0003,500.0,120,-8.220640182495117,-36.674415588378906,50000
88,414,,,,1.9921653899999998,,500.0,120,,,50000
92,414,,,,1.9921653899999998,,500.0,120,,,50000
96,414,,,,1.9921653899999998,,500.0,120,,,50000
100,414,,,,1.9921653899999998,,500.0,120,,,50000
104,412,0.017369048669934273,2834,0.4274509847164154,3.1514040700000003,0.0003,500.0,145,-10.00605297088623,-40.25231170654297,60000
108,412,,,,3.1514040700000003,,500.0,145,,,60000
112,412,,,,3.1514040700000003,,500.0,145,,,60000
116,412,,,,3.1514040700000003,,500.0,145,,,60000
120,412,,,,3.1514040700000003,,500.0,145,,,60000
124,411,0.023751195520162582,3334,0.3679516911506653,4.19350799,0.0003,500.0,170,-11.685887336730957,-43.012229919433594,70000
128,411,,,,4.19350799,,500.0,170,,,70000
132,411,,,,4.19350799,,500.0,170,,,70000
136,411,,,,4.19350799,,500.0,170,,,70000
140,411,,,,4.19350799,,500.0,170,,,70000
144,409,0.03871246427297592,3834,0.31672462821006775,5.365080460000001,0.0003,500.0,195,-13.574211120605469,-45.45490264892578,80000
148,409,,,,5.365080460000001,,500.0,195,,,80000
152,409,,,,5.365080460000001,,500.0,195,,,80000
156,409,,,,5.365080460000001,,500.0,195,,,80000
160,409,,,,5.365080460000001,,500.0,195,,,80000
164,408,31.594074249267578,4334,0.2726301848888397,5.71203971,0.0003,500.0,220,-15.298633575439453,-46.79300308227539,90000
168,408,,,,5.71203971,,500.0,220,,,90000
172,408,,,,5.71203971,,500.0,220,,,90000
176,408,,,,5.71203971,,500.0,220,,,90000
180,408,,,,5.71203971,,500.0,220,,,90000
184,406,0.1144544780254364,4834,0.23468787968158722,7.9135751700000005,0.0003,500.0,245,-17.038320541381836,-48.00148010253906,100000
188,406,,,,7.9135751700000005,,500.0,245,,,100000
192,406,,,,7.9135751700000005,,500.0,245,,,100000
196,406,,,,7.9135751700000005,,500.0,245,,,100000
200,406,,,,7.9135751700000005,,500.0,245,,,100000
204,405,0.02910141460597515,5334,0.20208795368671417,8.06692952,0.0003,500.0,271,-18.932861328125,-49.251312255859375,110000
208,405,,,,8.06692952,,500.0,271,,,110000
212,405,,,,8.06692952,,500.0,271,,,110000
216,405,,,,8.06692952,,500.0,271,,,110000
220,405,,,,8.06692952,,500.0,271,,,110000
224,404,0.19221346080303192,5834,0.17400963604450226,7.765315029999998,0.0003,500.0,296,-20.570606231689453,-49.35628128051758,120000
228,404,,,,7.765315029999998,,500.0,296,,,120000
232,404,,,,7.765315029999998,,500.0,296,,,120000
236,404,,,,7.765315029999998,,500.0,296,,,120000
240,404,,,,7.765315029999998,,500.0,296,,,120000
244,403,36.809173583984375,6334,0.14981834590435028,7.856487059999999,0.0003,500.0,322,-21.944366455078125,-50.077171325683594,130000
248,403,,,,7.856487059999999,,500.0,322,,,130000
252,403,,,,7.856487059999999,,500.0,322,,,130000
256,403,,,,7.856487059999999,,500.0,322,,,130000
