train/n_updates,train/ent_coef,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,time/episodes,train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,time/fps
334,0.7788735032081604,25,0.12302379310131073,1.3220361500000002,10000,0.00075,4,-12.089545249938965,500.0,-2.9432568550109863,398
,,25,,1.3220361500000002,10000,,8,,500.0,,398
,,25,,1.3220361500000002,10000,,12,,500.0,,398
,,25,,1.3220361500000002,10000,,16,,500.0,,398
,,25,,1.3220361500000002,10000,,20,,500.0,,398
834,0.535218358039856,53,1.2491106986999512,6.14297075,20000,0.00075,24,-16.153759002685547,500.0,-7.342473983764648,376
,,53,,6.14297075,20000,,28,,500.0,,376
,,53,,6.14297075,20000,,32,,500.0,,376
,,53,,6.14297075,20000,,36,,500.0,,376
,,53,,6.14297075,20000,,40,,500.0,,376
1334,0.3678787648677826,81,0.05328226834535599,4.918498633333333,30000,0.00075,44,-19.357345581054688,500.0,-11.794235229492188,367
,,81,,4.918498633333333,30000,,48,,500.0,,367
,,81,,4.918498633333333,30000,,52,,500.0,,367
,,81,,4.918498633333333,30000,,56,,500.0,,367
,,81,,4.918498633333333,30000,,60,,500.0,,367
1834,0.2529032528400421,109,0.08034542202949524,4.4396957875,40000,0.00075,64,-21.056921005249023,500.0,-16.19073486328125,363
,,109,,4.4396957875,40000,,68,,500.0,,363
,,109,,4.4396957875,40000,,72,,500.0,,363
,,109,,4.4396957875,40000,,76,,500.0,,363
,,109,,4.4396957875,40000,,80,,500.0,,363
2334,0.17393723130226135,138,2.655595064163208,4.0330457,50000,0.00075,84,-21.56172752380371,500.0,-20.401748657226562,360
,,138,,4.0330457,50000,,88,,500.0,,360
,,138,,4.0330457,50000,,92,,500.0,,360
,,138,,4.0330457,50000,,96,,500.0,,360
,,138,,4.0330457,50000,,100,,500.0,,360
2834,0.11985211819410324,167,0.040580011904239655,4.11354265,60000,0.00075,104,-22.286849975585938,500.0,-24.709121704101562,357
,,167,,4.11354265,60000,,108,,500.0,,357
,,167,,4.11354265,60000,,112,,500.0,,357
,,167,,4.11354265,60000,,116,,500.0,,357
,,167,,4.11354265,60000,,120,,500.0,,357
3334,0.08269692957401276,197,0.060446493327617645,1.9958112600000002,70000,0.00075,124,-22.09613800048828,500.0,-28.087478637695312,354
,,197,,1.9958112600000002,70000,,128,,500.0,,354
,,197,,1.9958112600000002,70000,,132,,500.0,,354
,,197,,1.9958112600000002,70000,,136,,500.0,,354
,,197,,1.9958112600000002,70000,,140,,500.0,,354
3834,0.05729856714606285,227,0.076050765812397,1.6509904499999997,80000,0.00075,144,-22.15420913696289,500.0,-32.18678665161133,352
,,227,,1.6509904499999997,80000,,148,,500.0,,352
,,227,,1.6509904499999997,80000,,152,,500.0,,352
,,227,,1.6509904499999997,80000,,156,,500.0,,352
,,227,,1.6509904499999997,80000,,160,,500.0,,352
4334,0.03990405797958374,256,7.021063804626465,1.17951894,90000,0.00075,164,-21.83989143371582,500.0,-35.527557373046875,350
,,256,,1.17951894,90000,,168,,500.0,,350
,,256,,1.17951894,90000,,172,,500.0,,350
,,256,,1.17951894,90000,,176,,500.0,,350
,,256,,1.17951894,90000,,180,,500.0,,350
4834,0.027876626700162888,287,0.15140625834465027,0.83092176,100000,0.00075,184,-21.118824005126953,500.0,-38.08710479736328,348
,,287,,0.83092176,100000,,188,,500.0,,348
,,287,,0.83092176,100000,,192,,500.0,,348
,,287,,0.83092176,100000,,196,,500.0,,348
,,287,,0.83092176,100000,,200,,500.0,,348
5334,0.019741106778383255,317,0.15579767525196075,0.6330510599999999,110000,0.00075,204,-20.005081176757812,500.0,-38.15332794189453,346
,,317,,0.6330510599999999,110000,,208,,500.0,,346
,,317,,0.6330510599999999,110000,,212,,500.0,,346
,,317,,0.6330510599999999,110000,,216,,500.0,,346
,,317,,0.6330510599999999,110000,,220,,500.0,,346
5834,0.014105710200965405,346,0.09001566469669342,1.74539515,120000,0.00075,224,-19.51622200012207,500.0,-40.894927978515625,346
,,346,,1.74539515,120000,,228,,500.0,,346
,,346,,1.74539515,120000,,232,,500.0,,346
,,346,,1.74539515,120000,,236,,500.0,,346
,,346,,1.74539515,120000,,240,,500.0,,346
6334,0.010359854437410831,376,4.4235968589782715,7.63286319,130000,0.00075,244,-18.753841400146484,500.0,-36.61774444580078,344
,,376,,7.63286319,130000,,248,,500.0,,344
,,376,,7.63286319,130000,,252,,500.0,,344
,,376,,7.63286319,130000,,256,,500.0,,344
,,376,,7.63286319,130000,,260,,500.0,,344
6834,0.0077837747521698475,406,0.03568810224533081,8.88873745,140000,0.00075,264,-18.357349395751953,500.0,-37.34681701660156,344
,,406,,8.88873745,140000,,268,,500.0,,344
,,406,,8.88873745,140000,,272,,500.0,,344
,,406,,8.88873745,140000,,276,,500.0,,344
,,406,,8.88873745,140000,,280,,500.0,,344
7334,0.00596069497987628,436,0.0990423634648323,8.823828399999998,150000,0.00075,284,-17.484760284423828,500.0,-18.020687103271484,343
,,436,,8.823828399999998,150000,,288,,500.0,,343
,,436,,8.823828399999998,150000,,292,,500.0,,343
,,436,,8.823828399999998,150000,,296,,500.0,,343
,,436,,8.823828399999998,150000,,300,,500.0,,343
7834,0.004843269009143114,466,0.13594523072242737,9.27147997,160000,0.00075,304,-16.433631896972656,500.0,-4.602044582366943,342
,,466,,9.27147997,160000,,308,,500.0,,342
,,466,,9.27147997,160000,,312,,500.0,,342
,,466,,9.27147997,160000,,316,,500.0,,342
,,466,,9.27147997,160000,,320,,500.0,,342
8334,0.004771624691784382,496,2877.35693359375,9.508137219999998,170000,0.00075,324,-17.160667419433594,500.0,-22.813282012939453,342
,,496,,9.508137219999998,170000,,328,,500.0,,342
,,496,,9.508137219999998,170000,,332,,500.0,,342
,,496,,9.508137219999998,170000,,336,,500.0,,342
,,496,,9.508137219999998,170000,,340,,500.0,,342
8834,0.004615511279553175,527,0.3980487585067749,3.5485148899999994,180000,0.00075,344,-11.213492393493652,500.0,-7.714874267578125,341
,,527,,3.5485148899999994,180000,,348,,500.0,,341
,,527,,3.5485148899999994,180000,,352,,500.0,,341
,,527,,3.5485148899999994,180000,,356,,500.0,,341
,,527,,3.5485148899999994,180000,,360,,500.0,,341
9334,0.004300989210605621,557,0.4084310233592987,15.077639379999999,190000,0.00075,364,-10.079092979431152,500.0,-2.999037027359009,341
,,557,,15.077639379999999,190000,,368,,500.0,,341
,,557,,15.077639379999999,190000,,372,,500.0,,341
,,557,,15.077639379999999,190000,,376,,500.0,,341
,,557,,15.077639379999999,190000,,380,,500.0,,341
9834,0.004054654855281115,586,1.15950608253479,15.012369990000002,200000,0.00075,384,-8.968637466430664,500.0,-17.081680297851562,341
,,586,,15.012369990000002,200000,,388,,500.0,,341
,,586,,15.012369990000002,200000,,392,,500.0,,341
,,586,,15.012369990000002,200000,,396,,500.0,,341
,,586,,15.012369990000002,200000,,400,,500.0,,341
10334,0.004555730614811182,614,0.14132380485534668,14.43017256,210000,0.00075,404,-9.370294570922852,500.0,-5.904468536376953,341
,,614,,14.43017256,210000,,408,,500.0,,341
,,614,,14.43017256,210000,,412,,500.0,,341
,,614,,14.43017256,210000,,416,,500.0,,341
,,614,,14.43017256,210000,,420,,500.0,,341
10834,0.004774221684783697,644,0.10882917046546936,13.014260470000002,220000,0.00075,424,-6.6726226806640625,500.0,5.541625022888184,341
,,644,,13.014260470000002,220000,,428,,500.0,,341
,,644,,13.014260470000002,220000,,432,,500.0,,341
,,644,,13.014260470000002,220000,,436,,500.0,,341
,,644,,13.014260470000002,220000,,440,,500.0,,341
11334,0.007119619287550449,674,0.731460690498352,14.260681300000002,230000,0.00075,444,-6.029209613800049,500.0,0.822248101234436,341
,,674,,14.260681300000002,230000,,448,,500.0,,341
,,674,,14.260681300000002,230000,,452,,500.0,,341
,,674,,14.260681300000002,230000,,456,,500.0,,341
,,674,,14.260681300000002,230000,,460,,500.0,,341
11834,0.006547045893967152,705,1.1081569194793701,8.53189842,240000,0.00075,464,-5.467404842376709,500.0,1.6906213760375977,340
,,705,,8.53189842,240000,,468,,500.0,,340
,,705,,8.53189842,240000,,472,,500.0,,340
,,705,,8.53189842,240000,,476,,500.0,,340
,,705,,8.53189842,240000,,480,,500.0,,340
12334,0.0053711142390966415,734,6.538252830505371,8.610305770000002,250000,0.00075,484,-6.591639518737793,500.0,6.733112812042236,340
,,734,,8.610305770000002,250000,,488,,500.0,,340
,,734,,8.610305770000002,250000,,492,,500.0,,340
,,734,,8.610305770000002,250000,,496,,500.0,,340
,,734,,8.610305770000002,250000,,500,,500.0,,340
12834,0.005876106675714254,763,4.772002220153809,8.608670689999999,260000,0.00075,504,-5.896141052246094,500.0,3.7015082836151123,340
,,763,,8.608670689999999,260000,,508,,500.0,,340
,,763,,8.608670689999999,260000,,512,,500.0,,340
,,763,,8.608670689999999,260000,,516,,500.0,,340
,,763,,8.608670689999999,260000,,520,,500.0,,340
13334,0.004647939931601286,793,11.235852241516113,10.375585270000002,270000,0.00075,524,-5.343898773193359,500.0,1.1415703296661377,340
,,793,,10.375585270000002,270000,,528,,500.0,,340
,,793,,10.375585270000002,270000,,532,,500.0,,340
,,793,,10.375585270000002,270000,,536,,500.0,,340
,,793,,10.375585270000002,270000,,540,,500.0,,340
13834,0.004553813021630049,822,1.4211841821670532,9.781526780000002,280000,0.00075,544,-5.443160057067871,500.0,38.28438186645508,340
,,822,,9.781526780000002,280000,,548,,500.0,,340
,,822,,9.781526780000002,280000,,552,,500.0,,340
,,822,,9.781526780000002,280000,,556,,500.0,,340
,,822,,9.781526780000002,280000,,560,,500.0,,340
14334,0.004834321327507496,850,0.9277371168136597,2.5975881700000003,290000,0.00075,564,-5.233046054840088,500.0,4.089143753051758,340
,,851,,2.5975881700000003,290000,,568,,500.0,,340
,,851,,2.5975881700000003,290000,,572,,500.0,,340
,,851,,2.5975881700000003,290000,,576,,500.0,,340
,,851,,2.5975881700000003,290000,,580,,500.0,,340
14834,0.004562008660286665,880,0.5580204129219055,2.5271272099999997,300000,0.00075,584,-4.408699989318848,500.0,-15.543689727783203,340
,,880,,2.5271272099999997,300000,,588,,500.0,,340
,,880,,2.5271272099999997,300000,,592,,500.0,,340
,,880,,2.5271272099999997,300000,,596,,500.0,,340
,,880,,2.5271272099999997,300000,,600,,500.0,,340
15334,0.004800674971193075,910,21.416885375976562,3.025984459999999,310000,0.00075,604,-4.9217634201049805,500.0,8.50865364074707,340
,,910,,3.025984459999999,310000,,608,,500.0,,340
,,910,,3.025984459999999,310000,,612,,500.0,,340
,,910,,3.025984459999999,310000,,616,,500.0,,340
,,910,,3.025984459999999,310000,,620,,500.0,,340
15834,0.005271325819194317,941,0.23828941583633423,1.28723567,320000,0.00075,624,-5.475218772888184,500.0,-6.316868782043457,340
,,941,,1.28723567,320000,,628,,500.0,,340
,,941,,1.28723567,320000,,632,,500.0,,340
,,941,,1.28723567,320000,,636,,500.0,,340
,,941,,1.28723567,320000,,640,,500.0,,340
16334,0.006242577452212572,973,1.1401269435882568,0.79073149,330000,0.00075,644,-2.6490066051483154,500.0,9.392733573913574,339
,,973,,0.79073149,330000,,648,,500.0,,339
,,973,,0.79073149,330000,,652,,500.0,,339
,,973,,0.79073149,330000,,656,,500.0,,339
,,973,,0.79073149,330000,,660,,500.0,,339
16834,0.006767796818166971,1002,2.0348172187805176,0.7913812099999998,340000,0.00075,664,-3.341921329498291,500.0,-5.305926322937012,339
,,1002,,0.7913812099999998,340000,,668,,500.0,,339
,,1002,,0.7913812099999998,340000,,672,,500.0,,339
,,1002,,0.7913812099999998,340000,,676,,500.0,,339
,,1002,,0.7913812099999998,340000,,680,,500.0,,339
17334,0.006368017289787531,1032,0.7894976139068604,0.80087474,350000,0.00075,684,-3.6260323524475098,500.0,-0.7309690713882446,339
,,1032,,0.80087474,350000,,688,,500.0,,339
,,1032,,0.80087474,350000,,692,,500.0,,339
,,1032,,0.80087474,350000,,696,,500.0,,339
,,1032,,0.80087474,350000,,700,,500.0,,339
17834,0.006009136326611042,1060,0.3205673396587372,0.29724212,360000,0.00075,704,-3.1142263412475586,500.0,-1.5387438535690308,339
,,1060,,0.29724212,360000,,708,,500.0,,339
,,1060,,0.29724212,360000,,712,,500.0,,339
,,1060,,0.29724212,360000,,716,,500.0,,339
,,1060,,0.29724212,360000,,720,,500.0,,339
18334,0.006296316161751747,1091,0.5908562541007996,0.27212347,370000,0.00075,724,-3.130669593811035,500.0,3.3220736980438232,338
,,1091,,0.27212347,370000,,728,,500.0,,338
,,1091,,0.27212347,370000,,732,,500.0,,338
,,1091,,0.27212347,370000,,736,,500.0,,338
,,1091,,0.27212347,370000,,740,,500.0,,338
18834,0.00875218864530325,1121,0.7865790128707886,0.048339209999999994,380000,0.00075,744,-4.162933826446533,500.0,3.80633282661438,338
,,1121,,0.048339209999999994,380000,,748,,500.0,,338
,,1121,,0.048339209999999994,380000,,752,,500.0,,338
,,1121,,0.048339209999999994,380000,,756,,500.0,,338
,,1121,,0.048339209999999994,380000,,760,,500.0,,338
19334,0.00907466746866703,1150,168.7838897705078,1.8493623400000008,390000,0.00075,764,-10.090639114379883,500.0,7.186854362487793,339
,,1150,,1.8493623400000008,390000,,768,,500.0,,339
,,1150,,1.8493623400000008,390000,,772,,500.0,,339
,,1150,,1.8493623400000008,390000,,776,,500.0,,339
,,1150,,1.8493623400000008,390000,,780,,500.0,,339
19834,0.010149051435291767,1178,3.623486042022705,1.83881124,400000,0.00075,784,-5.533170223236084,500.0,2.555741786956787,339
,,1178,,1.83881124,400000,,788,,500.0,,339
,,1178,,1.83881124,400000,,792,,500.0,,339
,,1178,,1.83881124,400000,,796,,500.0,,339
,,1179,,1.83881124,400000,,800,,500.0,,339
20334,0.009191466495394707,1208,0.7219334840774536,7.5093711999999995,410000,0.00075,804,-4.479290962219238,500.0,-9.201194763183594,339
,,1208,,7.5093711999999995,410000,,808,,500.0,,339
,,1208,,7.5093711999999995,410000,,812,,500.0,,339
,,1208,,7.5093711999999995,410000,,816,,500.0,,339
,,1208,,7.5093711999999995,410000,,820,,500.0,,339
20834,0.007671928498893976,1241,0.4964224696159363,9.74052635,420000,0.00075,824,-5.911073207855225,500.0,-5.900655746459961,338
,,1241,,9.74052635,420000,,828,,500.0,,338
,,1241,,9.74052635,420000,,832,,500.0,,338
,,1241,,9.74052635,420000,,836,,500.0,,338
,,1241,,9.74052635,420000,,840,,500.0,,338
21334,0.006892320699989796,1273,0.44224756956100464,16.432365520000005,430000,0.00075,844,-5.79074764251709,500.0,0.6429200172424316,337
,,1273,,16.432365520000005,430000,,848,,500.0,,337
,,1273,,16.432365520000005,430000,,852,,500.0,,337
,,1273,,16.432365520000005,430000,,856,,500.0,,337
,,1273,,16.432365520000005,430000,,860,,500.0,,337
21834,0.00816250964999199,1303,3.309229850769043,15.38674762,440000,0.00075,864,-4.841618537902832,500.0,-1.149024248123169,337
,,1303,,15.38674762,440000,,868,,500.0,,337
,,1303,,15.38674762,440000,,872,,500.0,,337
,,1303,,15.38674762,440000,,876,,500.0,,337
,,1303,,15.38674762,440000,,880,,500.0,,337
22334,0.008199850097298622,1331,0.6227561235427856,17.31040139,450000,0.00075,884,-5.769684791564941,500.0,0.7986969947814941,338
,,1331,,17.31040139,450000,,888,,500.0,,338
,,1331,,17.31040139,450000,,892,,500.0,,338
,,1331,,17.31040139,450000,,896,,500.0,,338
,,1331,,17.31040139,450000,,900,,500.0,,338
22834,0.008286003023386002,1360,0.7728776931762695,11.70206103,460000,0.00075,904,-5.6989850997924805,500.0,5.038782119750977,338
,,1360,,11.70206103,460000,,908,,500.0,,338
,,1360,,11.70206103,460000,,912,,500.0,,338
,,1360,,11.70206103,460000,,916,,500.0,,338
,,1360,,11.70206103,460000,,920,,500.0,,338
23334,0.0066044447012245655,1391,0.33438730239868164,9.49781842,470000,0.00075,924,-5.67069149017334,500.0,-4.543571949005127,337
,,1391,,9.49781842,470000,,928,,500.0,,337
,,1391,,9.49781842,470000,,932,,500.0,,337
,,1391,,9.49781842,470000,,936,,500.0,,337
,,1391,,9.49781842,470000,,940,,500.0,,337
23834,0.006574638653546572,1420,0.5669789910316467,2.8030302000000002,480000,0.00075,944,-4.9015984535217285,500.0,-0.6399893164634705,337
,,1420,,2.8030302000000002,480000,,948,,500.0,,337
,,1420,,2.8030302000000002,480000,,952,,500.0,,337
,,1420,,2.8030302000000002,480000,,956,,500.0,,337
,,1420,,2.8030302000000002,480000,,960,,500.0,,337
24334,0.008008327335119247,1449,0.9702813625335693,2.05013558,490000,0.00075,964,-6.256292343139648,500.0,-0.08437693119049072,338
,,1449,,2.05013558,490000,,968,,500.0,,338
,,1449,,2.05013558,490000,,972,,500.0,,338
,,1449,,2.05013558,490000,,976,,500.0,,338
,,1449,,2.05013558,490000,,980,,500.0,,338
24834,0.012140635401010513,1477,5.795085906982422,1.9699374600000001,500000,0.00075,984,-8.527185440063477,500.0,11.0355806350708,338
,,1477,,1.9699374600000001,500000,,988,,500.0,,338
,,1477,,1.9699374600000001,500000,,992,,500.0,,338
,,1477,,1.9699374600000001,500000,,996,,500.0,,338
,,1477,,1.9699374600000001,500000,,1000,,500.0,,338
25334,0.012761853635311127,1506,1.968856930732727,1.9059933699999996,510000,0.00075,1004,-4.4872260093688965,500.0,-1.1113440990447998,338
,,1506,,1.9059933699999996,510000,,1008,,500.0,,338
,,1506,,1.9059933699999996,510000,,1012,,500.0,,338
,,1506,,1.9059933699999996,510000,,1016,,500.0,,338
,,1506,,1.9059933699999996,510000,,1020,,500.0,,338
25834,0.01038229651749134,1536,0.643380880355835,1.9453584000000002,520000,0.00075,1024,-5.08040714263916,500.0,-10.18482494354248,338
,,1536,,1.9453584000000002,520000,,1028,,500.0,,338
,,1536,,1.9453584000000002,520000,,1032,,500.0,,338
,,1536,,1.9453584000000002,520000,,1036,,500.0,,338
,,1536,,1.9453584000000002,520000,,1040,,500.0,,338
26334,0.008339788764715195,1565,0.7261568307876587,1.9458406899999998,530000,0.00075,1044,-5.226567268371582,500.0,-6.382625579833984,338
,,1565,,1.9458406899999998,530000,,1048,,500.0,,338
,,1565,,1.9458406899999998,530000,,1052,,500.0,,338
,,1565,,1.9458406899999998,530000,,1056,,500.0,,338
,,1565,,1.9458406899999998,530000,,1060,,500.0,,338
26834,0.007068665232509375,1594,0.7783947587013245,1.9531171,540000,0.00075,1064,-5.1733222007751465,500.0,-3.04986834526062,338
,,1594,,1.9531171,540000,,1068,,500.0,,338
,,1594,,1.9531171,540000,,1072,,500.0,,338
,,1594,,1.9531171,540000,,1076,,500.0,,338
,,1594,,1.9531171,540000,,1080,,500.0,,338
27334,0.006222691852599382,1623,0.24721579253673553,0.10981435,550000,0.00075,1084,-5.139618873596191,500.0,-4.569889068603516,338
,,1623,,0.10981435,550000,,1088,,500.0,,338
,,1623,,0.10981435,550000,,1092,,500.0,,338
,,1623,,0.10981435,550000,,1096,,500.0,,338
,,1623,,0.10981435,550000,,1100,,500.0,,338
27834,0.006198680493980646,1653,0.30943799018859863,0.10696019999999999,560000,0.00075,1104,-5.197582721710205,500.0,-3.3910489082336426,338
,,1653,,0.10696019999999999,560000,,1108,,500.0,,338
,,1653,,0.10696019999999999,560000,,1112,,500.0,,338
,,1653,,0.10696019999999999,560000,,1116,,500.0,,338
,,1653,,0.10696019999999999,560000,,1120,,500.0,,338
28334,0.01094544306397438,1683,0.8746016025543213,0.034323330000000006,570000,0.00075,1124,-7.09194278717041,500.0,2.892707347869873,338
,,1683,,0.034323330000000006,570000,,1128,,500.0,,338
,,1683,,0.034323330000000006,570000,,1132,,500.0,,338
,,1683,,0.034323330000000006,570000,,1136,,500.0,,338
,,1683,,0.034323330000000006,570000,,1140,,500.0,,338
28834,0.009890992194414139,1716,1.5112395286560059,0.17271599999999998,580000,0.00075,1144,-5.0497283935546875,500.0,-9.020048141479492,337
,,1716,,0.17271599999999998,580000,,1148,,500.0,,337
,,1716,,0.17271599999999998,580000,,1152,,500.0,,337
,,1716,,0.17271599999999998,580000,,1156,,500.0,,337
,,1716,,0.17271599999999998,580000,,1160,,500.0,,337
29334,0.008226971141994,1745,0.5024213194847107,0.18191308,590000,0.00075,1164,-6.169914722442627,500.0,-11.06995964050293,337
,,1745,,0.18191308,590000,,1168,,500.0,,337
,,1745,,0.18191308,590000,,1172,,500.0,,337
,,1745,,0.18191308,590000,,1176,,500.0,,337
,,1745,,0.18191308,590000,,1180,,500.0,,337
29834,0.006792713887989521,1777,360.8553161621094,0.20489159,600000,0.00075,1184,-4.204319477081299,500.0,-11.169157028198242,337
,,1777,,0.20489159,600000,,1188,,500.0,,337
,,1777,,0.20489159,600000,,1192,,500.0,,337
,,1777,,0.20489159,600000,,1196,,500.0,,337
,,1777,,0.20489159,600000,,1200,,500.0,,337
30334,0.007366558071225882,1806,4.485718727111816,0.25730267999999995,610000,0.00075,1204,-5.927985191345215,500.0,5.643290042877197,337
,,1806,,0.25730267999999995,610000,,1208,,500.0,,337
,,1806,,0.25730267999999995,610000,,1212,,500.0,,337
,,1806,,0.25730267999999995,610000,,1216,,500.0,,337
,,1806,,0.25730267999999995,610000,,1220,,500.0,,337
30834,0.007763158064335585,1838,3.735405206680298,0.25945463,620000,0.00075,1224,-3.049548625946045,500.0,-12.890366554260254,337
,,1838,,0.25945463,620000,,1228,,500.0,,337
,,1838,,0.25945463,620000,,1232,,500.0,,337
,,1838,,0.25945463,620000,,1236,,500.0,,337
,,1838,,0.25945463,620000,,1240,,500.0,,337
31334,0.006295493803918362,1867,0.2312028706073761,0.14718351999999998,630000,0.00075,1244,-3.8131914138793945,500.0,-3.8914661407470703,337
,,1867,,0.14718351999999998,630000,,1248,,500.0,,337
,,1867,,0.14718351999999998,630000,,1252,,500.0,,337
,,1867,,0.14718351999999998,630000,,1256,,500.0,,337
,,1867,,0.14718351999999998,630000,,1260,,500.0,,337
31834,0.005360953509807587,1895,0.3541845679283142,0.14895165,640000,0.00075,1264,-3.8336234092712402,500.0,-2.650829315185547,337
,,1895,,0.14895165,640000,,1268,,500.0,,337
,,1895,,0.14895165,640000,,1272,,500.0,,337
,,1895,,0.14895165,640000,,1276,,500.0,,337
,,1895,,0.14895165,640000,,1280,,500.0,,337
32334,0.005208189599215984,1924,0.2660886347293854,0.13129868999999997,650000,0.00075,1284,-3.8107619285583496,500.0,-1.9180924892425537,337
,,1924,,0.13129868999999997,650000,,1288,,500.0,,337
,,1924,,0.13129868999999997,650000,,1292,,500.0,,337
,,1924,,0.13129868999999997,650000,,1296,,500.0,,337
,,1924,,0.13129868999999997,650000,,1300,,500.0,,337
32834,0.006449715234339237,1951,5.288704872131348,0.11197591,660000,0.00075,1304,-4.433134078979492,500.0,9.385685920715332,338
,,1951,,0.11197591,660000,,1308,,500.0,,338
,,1951,,0.11197591,660000,,1312,,500.0,,338
,,1951,,0.11197591,660000,,1316,,500.0,,338
,,1951,,0.11197591,660000,,1320,,500.0,,338
33334,0.007938976399600506,1981,0.590011477470398,0.20132103999999998,670000,0.00075,1324,-4.400440216064453,500.0,2.3901803493499756,338
,,1981,,0.20132103999999998,670000,,1328,,500.0,,338
,,1981,,0.20132103999999998,670000,,1332,,500.0,,338
,,1981,,0.20132103999999998,670000,,1336,,500.0,,338
,,1981,,0.20132103999999998,670000,,1340,,500.0,,338
33834,0.007080232724547386,2013,61.82594299316406,0.18278752999999998,680000,0.00075,1344,-1.428966760635376,500.0,-3.484865188598633,337
,,2013,,0.18278752999999998,680000,,1348,,500.0,,337
,,2013,,0.18278752999999998,680000,,1352,,500.0,,337
,,2013,,0.18278752999999998,680000,,1356,,500.0,,337
,,2013,,0.18278752999999998,680000,,1360,,500.0,,337
34334,0.007562871556729078,2043,1.9366490840911865,0.19796615000000006,690000,0.00075,1364,-3.517441749572754,500.0,7.597988128662109,337
,,2043,,0.19796615000000006,690000,,1368,,500.0,,337
