train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/n_updates
-13.082642555236816,1.66534775,500.0,26,375,4,10000,0.0003,0.13128386437892914,-1.1758081912994385,0.9048864245414734,334
,1.66534775,500.0,26,375,8,10000,,,,,
,1.66534775,500.0,26,375,12,10000,,,,,
,1.66534775,500.0,26,375,16,10000,,,,,
,1.66534775,500.0,26,375,20,10000,,,,,
-19.766700744628906,2.806537575,500.0,55,357,24,20000,0.0003,1.9911329746246338,-2.9350593090057373,0.7787922620773315,834
,2.806537575,500.0,55,357,28,20000,,,,,
,2.806537575,500.0,55,357,32,20000,,,,,
,2.806537575,500.0,55,357,36,20000,,,,,
,2.806537575,500.0,55,357,40,20000,,,,,
-26.2857666015625,3.0737823166666667,500.0,84,355,44,30000,0.0003,0.09934185445308685,-4.720452308654785,0.6703267097473145,1334
,3.0737823166666667,500.0,84,354,48,30000,,,,,
,3.0737823166666667,500.0,84,354,52,30000,,,,,
,3.0737823166666667,500.0,84,354,56,30000,,,,,
,3.0737823166666667,500.0,84,354,60,30000,,,,,
-31.51946258544922,2.8867460125,500.0,112,354,64,40000,0.0003,0.16833218932151794,-6.482343673706055,0.5769615769386292,1834
,2.8867460125,500.0,112,354,68,40000,,,,,
,2.8867460125,500.0,112,354,72,40000,,,,,
,2.8867460125,500.0,112,354,76,40000,,,,,
,2.8867460125,500.0,112,354,80,40000,,,,,
-35.848567962646484,3.1644485600000003,500.0,141,353,84,50000,0.0003,8.261744499206543,-8.223962783813477,0.496594101190567,2334
,3.1644485600000003,500.0,141,353,88,50000,,,,,
,3.1644485600000003,500.0,141,353,92,50000,,,,,
,3.1644485600000003,500.0,141,353,96,50000,,,,,
,3.1644485600000003,500.0,141,353,100,50000,,,,,
-39.40126037597656,3.6106067199999994,500.0,170,352,104,60000,0.0003,0.0777197778224945,-9.984492301940918,0.427459180355072,2834
,3.6106067199999994,500.0,170,352,108,60000,,,,,
,3.6106067199999994,500.0,170,352,112,60000,,,,,
,3.6106067199999994,500.0,170,352,116,60000,,,,,
,3.6106067199999994,500.0,170,352,120,60000,,,,,
-42.068607330322266,3.02099659,500.0,199,351,124,70000,0.0003,0.0961216390132904,-11.705034255981445,0.3679646849632263,3334
,3.02099659,500.0,199,351,128,70000,,,,,
,3.02099659,500.0,199,351,132,70000,,,,,
,3.02099659,500.0,199,351,136,70000,,,,,
,3.02099659,500.0,199,351,140,70000,,,,,
-44.44831085205078,2.6868219300000002,500.0,228,350,144,80000,0.0003,0.10527132451534271,-13.538719177246094,0.3167560398578644,3834
,2.6868219300000002,500.0,228,350,148,80000,,,,,
,2.6868219300000002,500.0,228,350,152,80000,,,,,
,2.6868219300000002,500.0,228,350,156,80000,,,,,
,2.6868219300000002,500.0,228,350,160,80000,,,,,
-45.34387969970703,2.6895350000000002,500.0,258,348,164,90000,0.0003,27.544036865234375,-15.263313293457031,0.2726949453353882,4334
,2.6895350000000002,500.0,258,348,168,90000,,,,,
,2.6895350000000002,500.0,258,348,172,90000,,,,,
,2.6895350000000002,500.0,258,348,176,90000,,,,,
,2.6895350000000002,500.0,258,348,180,90000,,,,,
-46.1495246887207,2.6906542400000006,500.0,286,348,184,100000,0.0003,0.17703548073768616,-16.97580337524414,0.23479300737380981,4834
,2.6906542400000006,500.0,286,348,188,100000,,,,,
,2.6906542400000006,500.0,286,348,192,100000,,,,,
,2.6906542400000006,500.0,286,348,196,100000,,,,,
,2.6906542400000006,500.0,286,348,200,100000,,,,,
-47.47929382324219,2.20578291,500.0,316,347,204,110000,0.0003,0.13044928014278412,-18.655807495117188,0.2021821290254593,5334
,2.20578291,500.0,316,347,208,110000,,,,,
,2.20578291,500.0,316,347,212,110000,,,,,
,2.20578291,500.0,316,347,216,110000,,,,,
,2.20578291,500.0,316,347,220,110000,,,,,
-47.668704986572266,2.39318192,500.0,346,346,224,120000,0.0003,0.28877079486846924,-20.468856811523438,0.17411477863788605,5834
,2.39318192,500.0,346,346,228,120000,,,,,
,2.39318192,500.0,346,346,232,120000,,,,,
,2.39318192,500.0,346,346,236,120000,,,,,
,2.39318192,500.0,346,346,240,120000,,,,,
-47.71060562133789,2.55265592,500.0,376,344,244,130000,0.0003,25.74595832824707,-21.93581199645996,0.14995138347148895,6334
,2.55265592,500.0,376,344,248,130000,,,,,
,2.55265592,500.0,376,344,252,130000,,,,,
,2.55265592,500.0,376,344,256,130000,,,,,
,2.55265592,500.0,376,344,260,130000,,,,,
-47.057334899902344,2.31668374,500.0,406,344,264,140000,0.0003,0.17729297280311584,-23.82467269897461,0.12918786704540253,6834
,2.31668374,500.0,406,344,268,140000,,,,,
,2.31668374,500.0,406,344,272,140000,,,,,
,2.31668374,500.0,406,344,276,140000,,,,,
,2.31668374,500.0,406,344,280,140000,,,,,
-46.50447463989258,1.6370304000000002,500.0,437,343,284,150000,0.0003,0.34089958667755127,-24.610977172851562,0.11134001612663269,7334
,1.6370304000000002,500.0,437,343,288,150000,,,,,
,1.6370304000000002,500.0,437,343,292,150000,,,,,
,1.6370304000000002,500.0,437,343,296,150000,,,,,
,1.6370304000000002,500.0,437,343,300,150000,,,,,
-46.97893524169922,1.67698996,500.0,466,343,304,160000,0.0003,0.1570000946521759,-26.876949310302734,0.09595242142677307,7834
,1.67698996,500.0,466,343,308,160000,,,,,
,1.67698996,500.0,466,343,312,160000,,,,,
,1.67698996,500.0,466,343,316,160000,,,,,
,1.67698996,500.0,466,343,320,160000,,,,,
-45.249855041503906,1.6333338800000001,500.0,497,341,324,170000,0.0003,0.23784345388412476,-28.055789947509766,0.08291895687580109,8334
,1.6333338800000001,500.0,497,341,328,170000,,,,,
,1.6333338800000001,500.0,497,341,332,170000,,,,,
,1.6333338800000001,500.0,497,341,336,170000,,,,,
,1.6333338800000001,500.0,497,341,340,170000,,,,,
-44.547645568847656,1.58237339,500.0,529,340,344,180000,0.0003,0.16155463457107544,-28.5437068939209,0.07206562161445618,8834
,1.58237339,500.0,529,340,348,180000,,,,,
,1.58237339,500.0,529,340,352,180000,,,,,
,1.58237339,500.0,529,340,356,180000,,,,,
,1.58237339,500.0,529,340,360,180000,,,,,
-42.68834686279297,2.780378329999999,500.0,561,338,364,190000,0.0003,0.20251986384391785,-30.37863540649414,0.06218523532152176,9334
,2.780378329999999,500.0,561,338,368,190000,,,,,
,2.780378329999999,500.0,561,338,372,190000,,,,,
,2.780378329999999,500.0,561,338,376,190000,,,,,
,2.780378329999999,500.0,561,338,380,190000,,,,,
-41.9862060546875,3.24589935,500.0,590,338,384,200000,0.0003,14.48267936706543,-30.535049438476562,0.05371123552322388,9834
,3.24589935,500.0,590,338,388,200000,,,,,
,3.24589935,500.0,590,338,392,200000,,,,,
,3.24589935,500.0,590,338,396,200000,,,,,
,3.24589935,500.0,590,338,400,200000,,,,,
-40.93037796020508,3.2242713500000004,500.0,620,338,404,210000,0.0003,0.2656387984752655,-30.819438934326172,0.046407103538513184,10334
,3.2242713500000004,500.0,620,338,408,210000,,,,,
,3.2242713500000004,500.0,620,338,412,210000,,,,,
,3.2242713500000004,500.0,620,338,416,210000,,,,,
,3.2242713500000004,500.0,620,338,420,210000,,,,,
-41.033348083496094,3.10266852,500.0,649,338,424,220000,0.0003,0.15399503707885742,-29.66620635986328,0.04040168598294258,10834
,3.10266852,500.0,649,338,428,220000,,,,,
,3.10266852,500.0,649,338,432,220000,,,,,
