rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef_loss,time/time_elapsed,time/episodes,train/ent_coef,train/learning_rate
500.0,461,0.0,10000,-12.099987983703613,334,0.08263516426086426,-2.947631359100342,21,4,0.7788696885108948,0.00075
500.0,461,0.0,10000,,,,,21,8,,
500.0,461,0.0,10000,,,,,21,12,,
500.0,461,0.0,10000,,,,,21,16,,
500.0,461,0.0,10000,,,,,21,20,,
500.0,421,0.0,20000,-15.997323989868164,834,0.0462363138794899,-7.350155353546143,47,24,0.5352386832237244,0.00075
500.0,421,0.0,20000,,,,,47,28,,
500.0,421,0.0,20000,,,,,47,32,,
500.0,421,0.0,20000,,,,,47,36,,
500.0,420,0.0,20000,,,,,47,40,,
500.0,412,0.0,30000,-18.795326232910156,1334,2.3748779296875,-11.819442749023438,72,44,0.3678578734397888,0.00075
500.0,412,0.0,30000,,,,,72,48,,
500.0,412,0.0,30000,,,,,72,52,,
500.0,412,0.0,30000,,,,,72,56,,
500.0,412,0.0,30000,,,,,72,60,,
500.0,408,0.0,40000,-20.71893310546875,1834,0.021552715450525284,-16.16514778137207,97,64,0.25281962752342224,0.00075
500.0,408,0.0,40000,,,,,97,68,,
500.0,408,0.0,40000,,,,,97,72,,
500.0,408,0.0,40000,,,,,97,76,,
500.0,408,0.0,40000,,,,,97,80,,
500.0,407,0.0,50000,-21.83021354675293,2334,0.014911090023815632,-20.443641662597656,122,84,0.17379452288150787,0.00075
500.0,407,0.0,50000,,,,,122,88,,
500.0,407,0.0,50000,,,,,122,92,,
500.0,407,0.0,50000,,,,,122,96,,
500.0,407,0.0,50000,,,,,122,100,,
500.0,406,0.0,60000,-22.421005249023438,2834,0.01740529015660286,-24.94670867919922,147,104,0.11953181773424149,0.00075
500.0,406,0.0,60000,,,,,147,108,,
500.0,406,0.0,60000,,,,,147,112,,
500.0,406,0.0,60000,,,,,147,116,,
500.0,406,0.0,60000,,,,,147,120,,
500.0,405,0.0,70000,-22.252973556518555,3334,3.4978976249694824,-29.3652286529541,172,124,0.08228795975446701,0.00075
500.0,405,0.0,70000,,,,,172,128,,
500.0,405,0.0,70000,,,,,172,132,,
500.0,405,0.0,70000,,,,,172,136,,
500.0,405,0.0,70000,,,,,172,140,,
500.0,403,0.0,80000,-22.08987808227539,3834,0.041272152215242386,-33.10540008544922,198,144,0.056757304817438126,0.00075
500.0,403,0.0,80000,,,,,198,148,,
500.0,403,0.0,80000,,,,,198,152,,
500.0,403,0.0,80000,,,,,198,156,,
500.0,403,0.0,80000,,,,,198,160,,
500.0,403,0.0,90000,-21.895923614501953,4334,0.029978133738040924,-36.842185974121094,223,164,0.03930387645959854,0.00075
500.0,403,0.0,90000,,,,,223,168,,
500.0,403,0.0,90000,,,,,223,172,,
500.0,403,0.0,90000,,,,,223,176,,
500.0,403,0.0,90000,,,,,223,180,,
500.0,401,0.0,100000,-21.325454711914062,4834,0.06824352592229843,-35.95488739013672,248,184,0.02741108648478985,0.00075
500.0,401,0.0,100000,,,,,248,188,,
500.0,401,0.0,100000,,,,,248,192,,
500.0,401,0.0,100000,,,,,248,196,,
500.0,401,0.0,100000,,,,,248,200,,
500.0,400,0.65,110000,-20.589229583740234,5334,0.08347272872924805,-38.70085906982422,274,204,0.019300421699881554,0.00075
500.0,400,0.65,110000,,,,,274,208,,
500.0,400,0.65,110000,,,,,274,212,,
500.0,400,0.65,110000,,,,,274,216,,
500.0,400,0.65,110000,,,,,274,220,,
500.0,399,0.65,120000,-20.503467559814453,5834,2.4383761882781982,-29.369644165039062,300,224,0.013803604990243912,0.00075
500.0,399,0.65,120000,,,,,300,228,,
500.0,399,0.65,120000,,,,,300,232,,
500.0,399,0.65,120000,,,,,300,236,,
500.0,399,0.65,120000,,,,,300,240,,
500.0,398,0.65,130000,-20.05624771118164,6334,0.04384999722242355,-39.512062072753906,325,244,0.01009327732026577,0.00075
500.0,398,0.65,130000,,,,,325,248,,
500.0,398,0.65,130000,,,,,325,252,,
500.0,398,0.65,130000,,,,,325,256,,
500.0,398,0.65,130000,,,,,325,260,,
500.0,396,3.71,140000,-19.613792419433594,6834,0.03167801722884178,-26.56411361694336,353,264,0.007603554520756006,0.00075
500.0,396,3.71,140000,,,,,353,268,,
500.0,396,3.71,140000,,,,,353,272,,
500.0,396,3.71,140000,,,,,353,276,,
500.0,396,3.71,140000,,,,,353,280,,
500.0,396,4.08,150000,-18.846664428710938,7334,0.02948603965342045,-22.70583724975586,378,284,0.005852031521499157,0.00075
500.0,396,4.08,150000,,,,,378,288,,
500.0,396,4.08,150000,,,,,378,292,,
500.0,396,4.08,150000,,,,,378,296,,
500.0,396,4.08,150000,,,,,378,300,,
500.0,394,3.43,160000,-18.499486923217773,7834,0.04185521602630615,-19.307048797607422,405,304,0.004625739064067602,0.00075
500.0,394,3.43,160000,,,,,405,308,,
500.0,394,3.43,160000,,,,,405,312,,
500.0,394,3.43,160000,,,,,405,316,,
500.0,394,3.43,160000,,,,,405,320,,
500.0,393,3.43,170000,-17.927906036376953,8334,0.040050748735666275,-13.188004493713379,431,324,0.0038729654625058174,0.00075
500.0,393,3.43,170000,,,,,431,328,,
500.0,393,3.43,170000,,,,,431,332,,
500.0,393,3.43,170000,,,,,431,336,,
500.0,393,3.43,170000,,,,,431,340,,
