rollout/ep_rew_mean,train/critic_loss,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,time/time_elapsed,time/fps,train/n_updates,train/actor_loss,train/ent_coef
0.0,0.07390877604484558,4,10000,500.0,0.00075,-2.9324841499328613,21,458,334,-12.330504417419434,0.7788358926773071
0.0,,8,10000,500.0,,,21,458,,,
0.0,,12,10000,500.0,,,21,458,,,
0.0,,16,10000,500.0,,,21,458,,,
0.0,,20,10000,500.0,,,21,458,,,
0.0,0.044615454971790314,24,20000,500.0,0.00075,-7.343942165374756,46,430,834,-16.320301055908203,0.53520667552948
0.0,,28,20000,500.0,,,46,430,,,
0.0,,32,20000,500.0,,,46,430,,,
0.0,,36,20000,500.0,,,46,430,,,
0.0,,40,20000,500.0,,,46,429,,,
0.0,0.024382036179304123,44,30000,500.0,0.00075,-11.80420970916748,71,419,1334,-19.2344913482666,0.3678547739982605
0.0,,48,30000,500.0,,,71,419,,,
0.0,,52,30000,500.0,,,71,418,,,
0.0,,56,30000,500.0,,,71,418,,,
0.0,,60,30000,500.0,,,71,418,,,
0.0,0.04625830054283142,64,40000,500.0,0.00075,-16.2226619720459,97,412,1834,-21.10714340209961,0.2528393268585205
0.0,,68,40000,500.0,,,97,412,,,
0.0,,72,40000,500.0,,,97,412,,,
0.0,,76,40000,500.0,,,97,412,,,
0.0,,80,40000,500.0,,,97,412,,,
0.0,0.027668438851833344,84,50000,500.0,0.00075,-20.659992218017578,121,412,2334,-21.944522857666016,0.17380394041538239
0.0,,88,50000,500.0,,,121,412,,,
0.0,,92,50000,500.0,,,121,412,,,
0.0,,96,50000,500.0,,,121,412,,,
0.0,,100,50000,500.0,,,121,412,,,
0.0,0.04337356984615326,104,60000,500.0,0.00075,-24.81265640258789,146,409,2834,-22.438617706298828,0.11954914033412933
0.0,,108,60000,500.0,,,146,409,,,
0.0,,112,60000,500.0,,,146,409,,,
0.0,,116,60000,500.0,,,146,409,,,
0.0,,120,60000,500.0,,,146,409,,,
0.0,0.02993392013013363,124,70000,500.0,0.00075,-29.469120025634766,171,407,3334,-22.65729522705078,0.08232197165489197
0.0,,128,70000,500.0,,,171,407,,,
0.0,,132,70000,500.0,,,171,407,,,
0.0,,136,70000,500.0,,,171,407,,,
0.0,,140,70000,500.0,,,171,407,,,
0.0,0.030993077903985977,144,80000,500.0,0.00075,-33.3066520690918,197,405,3834,-22.248409271240234,0.05684419348835945
0.0,,148,80000,500.0,,,197,405,,,
0.0,,152,80000,500.0,,,197,405,,,
0.0,,156,80000,500.0,,,197,405,,,
0.0,,160,80000,500.0,,,197,405,,,
0.0,3.555361032485962,164,90000,500.0,0.00075,-35.77996063232422,222,404,4334,-21.828636169433594,0.039357881993055344
0.0,,168,90000,500.0,,,222,404,,,
0.0,,172,90000,500.0,,,222,404,,,
0.0,,176,90000,500.0,,,222,404,,,
0.0,,180,90000,500.0,,,222,404,,,
0.0,0.19235891103744507,184,100000,500.0,0.00075,-38.32511520385742,248,402,4834,-21.808902740478516,0.027485081925988197
0.0,,188,100000,500.0,,,248,402,,,
0.0,,192,100000,500.0,,,248,402,,,
0.0,,196,100000,500.0,,,248,402,,,
0.0,,200,100000,500.0,,,248,402,,,
0.0,0.04535257816314697,204,110000,500.0,0.00075,-41.44548797607422,274,400,5334,-21.27203941345215,0.019375234842300415
0.0,,208,110000,500.0,,,274,400,,,
0.0,,212,110000,500.0,,,274,400,,,
0.0,,216,110000,500.0,,,274,400,,,
0.0,,220,110000,500.0,,,274,400,,,
0.0,0.03903578221797943,224,120000,500.0,0.00075,-35.49290466308594,300,399,5834,-20.70908546447754,0.014072964899241924
0.0,,228,120000,500.0,,,300,399,,,
0.0,,232,120000,500.0,,,300,399,,,
0.0,,236,120000,500.0,,,300,399,,,
0.0,,240,120000,500.0,,,300,399,,,
0.0,0.07056384533643723,244,130000,500.0,0.00075,-24.787845611572266,326,397,6334,-20.212383270263672,0.010326342657208443
0.0,,248,130000,500.0,,,326,397,,,
0.0,,252,130000,500.0,,,326,397,,,
0.0,,256,130000,500.0,,,326,397,,,
0.0,,260,130000,500.0,,,326,397,,,
0.0,2.548552989959717,264,140000,500.0,0.00075,-15.889684677124023,352,397,6834,-19.36797332763672,0.00782527681440115
0.0,,268,140000,500.0,,,352,397,,,
0.0,,272,140000,500.0,,,352,397,,,
0.0,,276,140000,500.0,,,352,397,,,
0.0,,280,140000,500.0,,,352,397,,,
1.05,0.0473359115421772,284,150000,500.0,0.00075,-20.07048797607422,377,397,7334,-18.9608211517334,0.0060127414762973785
1.05,,288,150000,500.0,,,377,397,,,
1.05,,292,150000,500.0,,,377,397,,,
1.05,,296,150000,500.0,,,377,397,,,
1.05,,300,150000,500.0,,,377,397,,,
1.05,3.1825239658355713,304,160000,500.0,0.00075,-12.882899284362793,402,397,7834,-18.212696075439453,0.004875925835222006
1.05,,308,160000,500.0,,,402,397,,,
1.05,,312,160000,500.0,,,402,397,,,
1.05,,316,160000,500.0,,,402,397,,,
1.05,,320,160000,500.0,,,402,397,,,
1.05,1.9569246768951416,324,170000,500.0,0.00075,-20.963729858398438,428,396,8334,-17.741931915283203,0.004055588506162167
1.05,,328,170000,500.0,,,428,396,,,
1.05,,332,170000,500.0,,,428,396,,,
