rollout/ep_len_mean,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef,train/critic_loss,time/time_elapsed,train/actor_loss,time/episodes,rollout/ep_rew_mean,train/n_updates,train/learning_rate
500.0,468,10000,-2.947808265686035,0.7788099050521851,0.06684606522321701,21,-12.164201736450195,4,0.0,334,0.00075
500.0,468,10000,,,,21,,8,0.0,,
500.0,468,10000,,,,21,,12,0.0,,
500.0,467,10000,,,,21,,16,0.0,,
500.0,467,10000,,,,21,,20,0.0,,
500.0,447,20000,-7.363898277282715,0.5351722240447998,0.0453641340136528,44,-16.04035186767578,24,0.0,834,0.00075
500.0,447,20000,,,,44,,28,0.0,,
500.0,447,20000,,,,44,,32,0.0,,
500.0,447,20000,,,,44,,36,0.0,,
500.0,447,20000,,,,44,,40,0.0,,
500.0,438,30000,-11.74987506866455,0.36780983209609985,0.051377978175878525,68,-18.95021629333496,44,0.0,1334,0.00075
500.0,438,30000,,,,68,,48,0.0,,
500.0,438,30000,,,,68,,52,0.0,,
500.0,438,30000,,,,68,,56,0.0,,
500.0,438,30000,,,,68,,60,0.0,,
500.0,429,40000,-16.192859649658203,0.25280117988586426,0.028751034289598465,93,-20.745494842529297,64,0.0,1834,0.00075
500.0,429,40000,,,,93,,68,0.0,,
500.0,429,40000,,,,93,,72,0.0,,
500.0,429,40000,,,,93,,76,0.0,,
500.0,429,40000,,,,93,,80,0.0,,
500.0,424,50000,-20.551116943359375,0.17379434406757355,0.03286132961511612,117,-21.722087860107422,84,0.0,2334,0.00075
500.0,423,50000,,,,117,,88,0.0,,
500.0,423,50000,,,,117,,92,0.0,,
500.0,423,50000,,,,117,,96,0.0,,
500.0,423,50000,,,,117,,100,0.0,,
500.0,423,60000,-24.897628784179688,0.11957531422376633,3.8067967891693115,141,-22.004915237426758,104,0.0,2834,0.00075
500.0,423,60000,,,,141,,108,0.0,,
500.0,423,60000,,,,141,,112,0.0,,
500.0,423,60000,,,,141,,116,0.0,,
500.0,423,60000,,,,141,,120,0.0,,
500.0,422,70000,-29.273094177246094,0.08230002969503403,0.036604538559913635,165,-22.149337768554688,124,0.0,3334,0.00075
500.0,422,70000,,,,165,,128,0.0,,
500.0,422,70000,,,,165,,132,0.0,,
500.0,422,70000,,,,165,,136,0.0,,
500.0,422,70000,,,,165,,140,0.0,,
500.0,421,80000,-32.7493896484375,0.05673937872052193,0.11826355010271072,189,-22.055883407592773,144,0.0,3834,0.00075
500.0,421,80000,,,,189,,148,0.0,,
500.0,421,80000,,,,189,,152,0.0,,
500.0,421,80000,,,,189,,156,0.0,,
500.0,421,80000,,,,189,,160,0.0,,
500.0,418,90000,-36.343902587890625,0.03942205384373665,0.05074664205312729,214,-21.54698944091797,164,0.0,4334,0.00075
500.0,418,90000,,,,214,,168,0.0,,
500.0,418,90000,,,,214,,172,0.0,,
500.0,418,90000,,,,214,,176,0.0,,
500.0,418,90000,,,,214,,180,0.0,,
500.0,416,100000,-38.88972091674805,0.027542565017938614,2.3932859897613525,240,-21.709571838378906,184,0.55,4834,0.00075
