train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/n_updates,time/fps,train/critic_loss,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,time/episodes,train/learning_rate
-12.347822189331055,-2.938037157058716,10000,334,471,0.0765075832605362,21,500.0,0.7788076996803284,0.0,4,0.00075
,,10000,,471,,21,500.0,,0.0,8,
,,10000,,471,,21,500.0,,0.0,12,
,,10000,,471,,21,500.0,,0.0,16,
,,10000,,471,,21,500.0,,0.0,20,
-16.298744201660156,-7.355544090270996,20000,834,444,0.035527460277080536,45,500.0,0.535213828086853,0.0,24,0.00075
,,20000,,444,,45,500.0,,0.0,28,
,,20000,,444,,45,500.0,,0.0,32,
,,20000,,444,,45,500.0,,0.0,36,
,,20000,,444,,45,500.0,,0.0,40,
-19.083717346191406,-11.702926635742188,30000,1334,432,0.029256537556648254,69,500.0,0.36787107586860657,0.0,44,0.00075
,,30000,,432,,69,500.0,,0.0,48,
,,30000,,432,,69,500.0,,0.0,52,
,,30000,,432,,69,500.0,,0.0,56,
,,30000,,432,,69,500.0,,0.0,60,
-21.070629119873047,-16.17040252685547,40000,1834,427,0.021631451323628426,93,500.0,0.2528260350227356,0.0,64,0.00075
,,40000,,427,,93,500.0,,0.0,68,
,,40000,,427,,93,500.0,,0.0,72,
,,40000,,426,,93,500.0,,0.0,76,
,,40000,,426,,93,500.0,,0.0,80,
-21.762128829956055,-20.51075553894043,50000,2334,424,3.2681937217712402,117,500.0,0.17381885647773743,0.0,84,0.00075
,,50000,,424,,117,500.0,,0.0,88,
,,50000,,424,,117,500.0,,0.0,92,
,,50000,,424,,117,500.0,,0.0,96,
,,50000,,424,,117,500.0,,0.0,100,
-22.244068145751953,-24.750225067138672,60000,2834,420,0.02884344756603241,142,500.0,0.11956750601530075,0.0,104,0.00075
,,60000,,420,,142,500.0,,0.0,108,
,,60000,,420,,142,500.0,,0.0,112,
,,60000,,420,,142,500.0,,0.0,116,
,,60000,,420,,142,500.0,,0.0,120,
-22.41680335998535,-29.063831329345703,70000,3334,416,0.03827735781669617,168,500.0,0.08237887173891068,0.0,124,0.00075
,,70000,,416,,168,500.0,,0.0,128,
,,70000,,416,,168,500.0,,0.0,132,
,,70000,,416,,168,500.0,,0.0,136,
,,70000,,416,,168,500.0,,0.0,140,
-22.323047637939453,-33.008460998535156,80000,3834,414,0.06570088118314743,193,500.0,0.0568530298769474,0.0,144,0.00075
,,80000,,414,,193,500.0,,0.0,148,
,,80000,,414,,193,500.0,,0.0,152,
,,80000,,414,,193,500.0,,0.0,156,
,,80000,,414,,193,500.0,,0.0,160,
-21.615184783935547,-37.41923522949219,90000,4334,413,0.040876150131225586,217,500.0,0.039322156459093094,0.0,164,0.00075
,,90000,,413,,217,500.0,,0.0,168,
,,90000,,413,,217,500.0,,0.0,172,
,,90000,,413,,217,500.0,,0.0,176,
,,90000,,413,,217,500.0,,0.0,180,
-21.61600112915039,-38.15373611450195,100000,4834,413,3.678638458251953,241,500.0,0.02735672891139984,0.0,184,0.00075
,,100000,,413,,241,500.0,,0.0,188,
,,100000,,413,,241,500.0,,0.0,192,
,,100000,,413,,241,500.0,,0.0,196,
,,100000,,413,,241,500.0,,0.0,200,
-20.968582153320312,-41.38574981689453,110000,5334,411,0.02356431819498539,267,500.0,0.01918499916791916,0.0,204,0.00075
,,110000,,411,,267,500.0,,0.0,208,
,,110000,,411,,267,500.0,,0.0,212,
,,110000,,411,,267,500.0,,0.0,216,
,,110000,,411,,267,500.0,,0.0,220,
-20.56485366821289,-42.78446960449219,120000,5834,410,0.07832615822553635,292,500.0,0.013699033297598362,0.0,224,0.00075
,,120000,,410,,292,500.0,,0.0,228,
,,120000,,410,,292,500.0,,0.0,232,
,,120000,,410,,292,500.0,,0.0,236,
,,120000,,410,,292,500.0,,0.0,240,
-19.955873489379883,-31.807090759277344,130000,6334,409,0.08717375248670578,317,500.0,0.010019277222454548,0.0,244,0.00075
,,130000,,409,,317,500.0,,0.0,248,
,,130000,,409,,317,500.0,,0.0,252,
,,130000,,409,,317,500.0,,0.0,256,
,,130000,,409,,317,500.0,,0.0,260,
-19.3933048248291,-38.2369384765625,140000,6834,406,0.02953784354031086,344,500.0,0.007471287157386541,0.51,264,0.00075
,,140000,,406,,344,500.0,,0.51,268,
,,140000,,406,,344,500.0,,0.51,272,
,,140000,,406,,344,500.0,,0.51,276,
,,140000,,406,,344,500.0,,0.51,280,
-19.179136276245117,-35.42608642578125,150000,7334,405,0.039118606597185135,369,500.0,0.005731929559260607,4.4,284,0.00075
,,150000,,405,,369,500.0,,4.4,288,
,,150000,,405,,369,500.0,,4.4,292,
,,150000,,405,,369,500.0,,4.4,296,
,,150000,,405,,369,500.0,,4.4,300,
