train/actor_loss,train/ent_coef_loss,train/ent_coef,time/episodes,train/critic_loss,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,rollout/ep_len_mean
-7.495992183685303,-11.74720573425293,0.36783191561698914,4,0.012680424377322197,339,10000,0.0,29,0.003,334,500.0
,,,8,,339,10000,0.0,29,,,500.0
,,,12,,338,10000,0.0,29,,,500.0
,,,16,,338,10000,0.0,29,,,500.0
,,,20,,338,10000,0.0,29,,,500.0
-6.7132110595703125,-29.344396591186523,0.0820649191737175,24,0.0071449121460318565,323,20000,0.0,61,0.003,834,500.0
,,,28,,323,20000,0.0,61,,,500.0
,,,32,,323,20000,0.0,61,,,500.0
,,,36,,322,20000,0.0,61,,,500.0
,,,40,,322,20000,0.0,61,,,500.0
-6.40328311920166,-46.622745513916016,0.01853366382420063,44,0.00831946637481451,316,30000,0.0,94,0.003,1334,500.0
,,,48,,316,30000,0.0,94,,,500.0
,,,52,,316,30000,0.0,94,,,500.0
,,,56,,316,30000,0.0,94,,,500.0
,,,60,,316,30000,0.0,94,,,500.0
-6.102581024169922,-52.69108200073242,0.004647162277251482,64,0.0033788802102208138,313,40000,0.0,127,0.003,1834,500.0
,,,68,,313,40000,0.0,127,,,500.0
,,,72,,313,40000,0.0,127,,,500.0
,,,76,,313,40000,0.0,127,,,500.0
,,,80,,313,40000,0.0,127,,,500.0
-5.948198318481445,-30.143646240234375,0.0018455390818417072,84,0.00567977037280798,311,50000,0.0,160,0.003,2334,500.0
,,,88,,311,50000,0.0,160,,,500.0
,,,92,,311,50000,0.0,160,,,500.0
,,,96,,311,50000,0.0,160,,,500.0
,,,100,,311,50000,0.0,160,,,500.0
-5.890603065490723,-7.707131385803223,0.001279950956813991,104,0.012776143848896027,308,60000,0.42,194,0.003,2834,500.0
,,,108,,308,60000,0.42,194,,,500.0
,,,112,,308,60000,0.42,194,,,500.0
,,,116,,308,60000,0.42,194,,,500.0
,,,120,,308,60000,0.42,194,,,500.0
-5.726574897766113,-17.80687713623047,0.001089416560716927,124,0.0037570742424577475,306,70000,0.42,228,0.003,3334,500.0
,,,128,,306,70000,0.42,228,,,500.0
,,,132,,306,70000,0.42,228,,,500.0
,,,136,,306,70000,0.42,228,,,500.0
,,,140,,306,70000,0.42,228,,,500.0
-5.513157844543457,-16.097814559936523,0.001082230475731194,144,0.004523330368101597,304,80000,0.42,262,0.003,3834,500.0
,,,148,,304,80000,0.42,262,,,500.0
,,,152,,304,80000,0.42,262,,,500.0
,,,156,,304,80000,0.42,262,,,500.0
,,,160,,304,80000,0.42,262,,,500.0
-5.170195579528809,-21.316619873046875,0.001133155426941812,164,0.15851426124572754,304,90000,0.42,295,0.003,4334,500.0
,,,168,,304,90000,0.42,295,,,500.0
,,,172,,304,90000,0.42,295,,,500.0
,,,176,,304,90000,0.42,295,,,500.0
,,,180,,304,90000,0.42,295,,,500.0
-5.084980010986328,53.90093994140625,0.0009953102562576532,184,0.03396441787481308,302,100000,1.96,330,0.003,4834,500.0
,,,188,,302,100000,1.96,330,,,500.0
,,,192,,302,100000,1.96,330,,,500.0
,,,196,,302,100000,1.96,330,,,500.0
,,,200,,302,100000,1.96,330,,,500.0
-4.937600135803223,-19.23625373840332,0.0008495436049997807,204,0.003885718062520027,302,110000,2.63,364,0.003,5334,500.0
,,,208,,302,110000,2.63,364,,,500.0
,,,212,,302,110000,2.63,364,,,500.0
,,,216,,302,110000,2.63,364,,,500.0
,,,220,,302,110000,2.63,364,,,500.0
-4.902726173400879,-9.21390151977539,0.0010160489473491907,224,0.02451717108488083,301,120000,3.1,398,0.003,5834,500.0
,,,228,,301,120000,3.1,398,,,500.0
,,,232,,301,120000,3.1,398,,,500.0
,,,236,,301,120000,3.1,398,,,500.0
,,,240,,301,120000,3.1,398,,,500.0
-4.680934429168701,-3.0104126930236816,0.0008755485760048032,244,0.015936940908432007,301,130000,4.23,431,0.003,6334,500.0
,,,248,,301,130000,4.23,431,,,500.0
,,,252,,301,130000,4.23,431,,,500.0
,,,256,,301,130000,4.23,431,,,500.0
,,,260,,301,130000,4.23,431,,,500.0
-4.608649253845215,17.339828491210938,0.0009517681319266558,264,0.15651269257068634,301,140000,5.51,464,0.003,6834,500.0
,,,268,,301,140000,5.51,464,,,500.0
,,,272,,301,140000,5.51,464,,,500.0
,,,276,,301,140000,5.51,464,,,500.0
,,,280,,301,140000,5.51,464,,,500.0
-4.391579627990723,39.77079772949219,0.0009941353928297758,284,0.017347224056720734,300,150000,4.14,499,0.003,7334,500.0
,,,288,,300,150000,4.14,499,,,500.0
,,,292,,300,150000,4.14,499,,,500.0
,,,296,,300,150000,4.14,499,,,500.0
,,,300,,300,150000,4.14,499,,,500.0
-4.40424108505249,-11.197185516357422,0.0008501450065523386,304,0.09145403653383255,300,160000,3.05,532,0.003,7834,500.0
,,,308,,300,160000,3.05,532,,,500.0
,,,312,,300,160000,3.05,532,,,500.0
,,,316,,300,160000,3.05,532,,,500.0
,,,320,,300,160000,3.05,532,,,500.0
-4.150785446166992,-8.029101371765137,0.0007546995766460896,324,0.15053892135620117,300,170000,3.82,566,0.003,8334,500.0
,,,328,,300,170000,3.82,566,,,500.0
,,,332,,300,170000,3.82,566,,,500.0
,,,336,,300,170000,3.82,566,,,500.0
,,,340,,300,170000,3.82,566,,,500.0
-4.00595235824585,-11.801799774169922,0.0008049702155403793,344,0.01015988364815712,299,180000,2.69,600,0.003,8834,500.0
,,,348,,299,180000,2.69,600,,,500.0
,,,352,,299,180000,2.69,600,,,500.0
,,,356,,299,180000,2.69,600,,,500.0
,,,360,,299,180000,2.69,600,,,500.0
-3.8361425399780273,5.083678245544434,0.0008548779878765345,364,0.013892770744860172,299,190000,6.01,633,0.003,9334,500.0
,,,368,,299,190000,6.01,633,,,500.0
,,,372,,299,190000,6.01,633,,,500.0
,,,376,,299,190000,6.01,633,,,500.0
,,,380,,299,190000,6.01,633,,,500.0
-3.9145758152008057,-10.074769973754883,0.0008334199083037674,384,0.02803839184343815,299,200000,8.99,666,0.003,9834,500.0
,,,388,,299,200000,8.99,666,,,500.0
,,,392,,299,200000,8.99,666,,,500.0
,,,396,,299,200000,8.99,666,,,500.0
,,,400,,299,200000,8.99,666,,,500.0
-3.865285873413086,19.885839462280273,0.001231399946846068,404,0.021452028304338455,299,210000,36.85,700,0.003,10334,500.0
,,,408,,299,210000,36.85,700,,,500.0
,,,412,,299,210000,36.85,700,,,500.0
,,,416,,299,210000,36.85,700,,,500.0
,,,420,,299,210000,36.85,700,,,500.0
-3.681049346923828,-18.33031463623047,0.0013136167544871569,424,0.04760146886110306,299,220000,40.16,733,0.003,10834,500.0
,,,428,,299,220000,40.16,733,,,500.0
,,,432,,299,220000,40.16,733,,,500.0
,,,436,,299,220000,40.16,733,,,500.0
,,,440,,299,220000,40.16,733,,,500.0
-3.71401047706604,-16.938718795776367,0.001270039938390255,444,0.0401042103767395,299,230000,42.58,766,0.003,11334,500.0
,,,448,,299,230000,42.58,766,,,500.0
,,,452,,299,230000,42.58,766,,,500.0
,,,456,,299,230000,42.58,766,,,500.0
,,,460,,299,230000,42.58,766,,,500.0
-3.549549102783203,7.692795276641846,0.0013408750528469682,464,0.13762733340263367,300,240000,44.15,799,0.003,11834,500.0
,,,468,,300,240000,44.15,799,,,500.0
,,,472,,300,240000,44.15,799,,,500.0
,,,476,,300,240000,44.15,799,,,500.0
,,,480,,300,240000,44.15,799,,,500.0
-3.7456445693969727,-5.4275898933410645,0.0012950522359460592,484,0.05733753368258476,300,250000,48.75,832,0.003,12334,500.0
,,,488,,300,250000,48.75,832,,,500.0
,,,492,,300,250000,48.75,832,,,500.0
,,,496,,300,250000,48.75,832,,,500.0
,,,500,,300,250000,48.75,832,,,500.0
-3.7143213748931885,18.89072608947754,0.0013053190195932984,504,0.14519718289375305,300,260000,22.21,864,0.003,12834,500.0
,,,508,,300,260000,22.21,864,,,500.0
,,,512,,300,260000,22.21,864,,,500.0
,,,516,,300,260000,22.21,864,,,500.0
,,,520,,300,260000,22.21,865,,,500.0
-3.8088250160217285,-4.583208084106445,0.0014241765020415187,524,0.08349744230508804,300,270000,28.69,899,0.003,13334,500.0
,,,528,,300,270000,28.69,899,,,500.0
,,,532,,300,270000,28.69,899,,,500.0
,,,536,,300,270000,28.69,899,,,500.0
,,,540,,300,270000,28.69,899,,,500.0
-4.0481462478637695,-6.7321624755859375,0.00141715572681278,544,0.06244847923517227,300,280000,32.95,932,0.003,13834,500.0
,,,548,,300,280000,32.95,932,,,500.0
,,,552,,300,280000,32.95,932,,,500.0
,,,556,,300,280000,32.95,932,,,500.0
,,,560,,300,280000,32.95,932,,,500.0
-3.851792573928833,-5.970268249511719,0.0017449641600251198,564,0.40847256779670715,300,290000,39.16,966,0.003,14334,500.0
,,,568,,300,290000,39.16,966,,,500.0
,,,572,,300,290000,39.16,966,,,500.0
,,,576,,300,290000,39.16,966,,,500.0
,,,580,,300,290000,39.16,966,,,500.0
-4.119913101196289,-7.096184730529785,0.0019457497401162982,584,0.07539752870798111,300,300000,39.29,999,0.003,14834,500.0
,,,588,,300,300000,39.29,999,,,500.0
,,,592,,300,300000,39.29,999,,,500.0
,,,596,,300,300000,39.29,999,,,500.0
,,,600,,300,300000,39.29,999,,,500.0
-3.9221105575561523,-14.281949043273926,0.0019446404185146093,604,0.04901942238211632,299,310000,37.97,1033,0.003,15334,500.0
,,,608,,299,310000,37.97,1033,,,500.0
,,,612,,299,310000,37.97,1033,,,500.0
,,,616,,299,310000,37.97,1033,,,500.0
,,,620,,299,310000,37.97,1033,,,500.0
-4.423697471618652,3.6912779808044434,0.0016812905669212341,624,0.08524555712938309,299,320000,32.94,1066,0.003,15834,500.0
,,,628,,299,320000,32.94,1066,,,500.0
,,,632,,299,320000,32.94,1066,,,500.0
,,,636,,299,320000,32.94,1066,,,500.0
,,,640,,299,320000,32.94,1066,,,500.0
-4.371843338012695,6.616180419921875,0.0024994872510433197,644,0.0816507488489151,300,330000,31.68,1099,0.003,16334,500.0
,,,648,,300,330000,31.68,1099,,,500.0
,,,652,,300,330000,31.68,1099,,,500.0
,,,656,,300,330000,31.68,1099,,,500.0
,,,660,,300,330000,31.68,1099,,,500.0
-4.508663177490234,0.5099687576293945,0.0021494212560355663,664,0.09973381459712982,300,340000,23.15,1132,0.003,16834,500.0
,,,668,,300,340000,23.15,1132,,,500.0
,,,672,,300,340000,23.15,1132,,,500.0
,,,676,,300,340000,23.15,1132,,,500.0
,,,680,,300,340000,23.15,1132,,,500.0
-4.172128200531006,-6.727126121520996,0.002202058909460902,684,0.1315031349658966,300,350000,19.88,1165,0.003,17334,500.0
,,,688,,300,350000,19.88,1165,,,500.0
,,,692,,300,350000,19.88,1165,,,500.0
,,,696,,300,350000,19.88,1165,,,500.0
,,,700,,300,350000,19.88,1165,,,500.0
-4.2322893142700195,-9.766034126281738,0.002194502390921116,704,0.11846666783094406,300,360000,19.88,1198,0.003,17834,500.0
,,,708,,300,360000,19.88,1198,,,500.0
,,,712,,300,360000,19.88,1198,,,500.0
,,,716,,300,360000,19.88,1198,,,500.0
,,,720,,300,360000,19.88,1198,,,500.0
-4.690596580505371,4.077220916748047,0.002151189837604761,724,0.09487329423427582,300,370000,18.85,1232,0.003,18334,500.0
,,,728,,300,370000,18.85,1232,,,500.0
,,,732,,300,370000,18.85,1232,,,500.0
,,,736,,300,370000,18.85,1232,,,500.0
,,,740,,300,370000,18.85,1232,,,500.0
