time/episodes,train/n_updates,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,time/total_timesteps,time/fps,train/critic_loss,train/actor_loss
4,334,0.0,0.003,-11.796527862548828,500.0,30,0.3679063618183136,10000,324,0.01793312095105648,-7.51903772354126
8,,0.0,,,500.0,30,,10000,324,,
12,,0.0,,,500.0,30,,10000,324,,
16,,0.0,,,500.0,30,,10000,324,,
20,,0.0,,,500.0,30,,10000,324,,
24,834,0.0,0.003,-29.323558807373047,500.0,62,0.08209744840860367,20000,317,0.006086861714720726,-6.65670108795166
28,,0.0,,,500.0,62,,20000,317,,
32,,0.0,,,500.0,62,,20000,317,,
36,,0.0,,,500.0,63,,20000,317,,
40,,0.0,,,500.0,63,,20000,317,,
44,1334,0.0,0.003,-46.75358200073242,500.0,95,0.018443012610077858,30000,312,0.3205053210258484,-6.339665412902832
48,,0.0,,,500.0,95,,30000,312,,
52,,0.0,,,500.0,95,,30000,312,,
56,,0.0,,,500.0,95,,30000,312,,
60,,0.0,,,500.0,95,,30000,312,,
64,1834,0.0,0.003,-56.758792877197266,500.0,128,0.004653093405067921,40000,310,0.004826062358915806,-6.174315929412842
68,,0.0,,,500.0,128,,40000,310,,
72,,0.0,,,500.0,128,,40000,310,,
76,,0.0,,,500.0,128,,40000,310,,
80,,0.0,,,500.0,128,,40000,310,,
84,2334,0.0,0.003,-25.73576545715332,500.0,161,0.0021096495911478996,50000,309,0.0024890885688364506,-5.884136199951172
88,,0.0,,,500.0,161,,50000,309,,
92,,0.0,,,500.0,161,,50000,309,,
96,,0.0,,,500.0,161,,50000,309,,
100,,0.0,,,500.0,161,,50000,309,,
104,2834,1.97,0.003,-3.2053382396698,500.0,194,0.0013729545753449202,60000,309,0.0033148869406431913,-5.724396705627441
108,,1.97,,,500.0,194,,60000,309,,
112,,1.97,,,500.0,194,,60000,309,,
116,,1.97,,,500.0,194,,60000,309,,
120,,1.97,,,500.0,194,,60000,309,,
124,3334,1.97,0.003,-18.724313735961914,500.0,226,0.0013517991174012423,70000,308,0.26233941316604614,-5.418460845947266
128,,1.97,,,500.0,226,,70000,308,,
132,,1.97,,,500.0,226,,70000,308,,
136,,1.97,,,500.0,226,,70000,308,,
140,,1.97,,,500.0,226,,70000,308,,
144,3834,2.3,0.003,14.62651252746582,500.0,260,0.0010713000083342195,80000,307,0.018962854519486427,-5.390224933624268
148,,2.3,,,500.0,260,,80000,307,,
152,,2.3,,,500.0,260,,80000,307,,
156,,2.3,,,500.0,260,,80000,307,,
160,,2.3,,,500.0,260,,80000,307,,
164,4334,2.3,0.003,79.49120330810547,500.0,293,0.0010001177433878183,90000,306,0.004706919193267822,-5.039726257324219
168,,2.3,,,500.0,293,,90000,306,,
172,,2.3,,,500.0,293,,90000,306,,
176,,2.3,,,500.0,293,,90000,306,,
180,,2.3,,,500.0,293,,90000,306,,
184,4834,3.87,0.003,-2.699730396270752,500.0,326,0.0011338434414938092,100000,306,0.013086267746984959,-4.996049880981445
188,,3.87,,,500.0,326,,100000,306,,
192,,3.87,,,500.0,326,,100000,306,,
196,,3.87,,,500.0,326,,100000,306,,
200,,3.87,,,500.0,326,,100000,306,,
204,5334,1.9,0.003,1.2701311111450195,500.0,359,0.001055783941410482,110000,305,0.007011996116489172,-4.939116477966309
208,,1.9,,,500.0,359,,110000,305,,
212,,1.9,,,500.0,359,,110000,305,,
216,,1.9,,,500.0,359,,110000,305,,
220,,1.9,,,500.0,359,,110000,305,,
224,5834,4.33,0.003,4.841014862060547,500.0,392,0.0009809560142457485,120000,305,0.1500973105430603,-4.73397159576416
228,,4.33,,,500.0,392,,120000,305,,
232,,4.33,,,500.0,392,,120000,305,,
236,,4.33,,,500.0,392,,120000,305,,
240,,4.33,,,500.0,392,,120000,305,,
244,6334,5.89,0.003,4.545071601867676,500.0,425,0.001004881807602942,130000,305,0.005035935435444117,-4.7184834480285645
248,,5.89,,,500.0,425,,130000,305,,
252,,5.89,,,500.0,425,,130000,305,,
256,,5.89,,,500.0,425,,130000,305,,
260,,5.89,,,500.0,425,,130000,305,,
264,6834,7.94,0.003,-0.6357049942016602,500.0,457,0.0008516957750543952,140000,305,0.017857281491160393,-4.474662780761719
268,,7.94,,,500.0,457,,140000,305,,
272,,7.94,,,500.0,457,,140000,305,,
276,,7.94,,,500.0,457,,140000,305,,
280,,7.94,,,500.0,457,,140000,305,,
284,7334,6.55,0.003,17.948406219482422,500.0,490,0.0009647821425460279,150000,305,0.020309366285800934,-4.376385688781738
288,,6.55,,,500.0,490,,150000,305,,
292,,6.55,,,500.0,490,,150000,305,,
296,,6.55,,,500.0,490,,150000,305,,
300,,6.55,,,500.0,490,,150000,305,,
304,7834,9.59,0.003,-15.2557373046875,500.0,523,0.0008974706288427114,160000,305,0.03750564157962799,-4.304665565490723
308,,9.59,,,500.0,523,,160000,305,,
312,,9.59,,,500.0,523,,160000,305,,
316,,9.59,,,500.0,523,,160000,305,,
320,,9.59,,,500.0,523,,160000,305,,
324,8334,7.94,0.003,-0.3661975860595703,500.0,556,0.0008032849873416126,170000,305,0.013379396870732307,-4.0745038986206055
328,,7.94,,,500.0,556,,170000,305,,
332,,7.94,,,500.0,556,,170000,305,,
336,,7.94,,,500.0,556,,170000,305,,
340,,7.94,,,500.0,556,,170000,305,,
344,8834,9.71,0.003,-20.643882751464844,500.0,588,0.0009114290587604046,180000,305,0.007604766171425581,-4.037509918212891
348,,9.71,,,500.0,588,,180000,305,,
352,,9.71,,,500.0,588,,180000,305,,
356,,9.71,,,500.0,588,,180000,305,,
360,,9.71,,,500.0,588,,180000,305,,
364,9334,8.15,0.003,-4.609166145324707,500.0,621,0.0009957992006093264,190000,305,0.022005222737789154,-3.9542808532714844
368,,8.15,,,500.0,621,,190000,305,,
372,,8.15,,,500.0,621,,190000,305,,
376,,8.15,,,500.0,621,,190000,305,,
380,,8.15,,,500.0,621,,190000,305,,
384,9834,9.58,0.003,5.531708717346191,500.0,654,0.000966330524533987,200000,305,0.14180327951908112,-3.9176979064941406
388,,9.58,,,500.0,654,,200000,305,,
392,,9.58,,,500.0,654,,200000,305,,
396,,9.58,,,500.0,654,,200000,305,,
400,,9.58,,,500.0,654,,200000,305,,
404,10334,8.99,0.003,-9.600667953491211,500.0,687,0.0011965008452534676,210000,305,0.0251139048486948,-3.661797046661377
408,,8.99,,,500.0,687,,210000,305,,
412,,8.99,,,500.0,687,,210000,305,,
416,,8.99,,,500.0,687,,210000,305,,
420,,8.99,,,500.0,687,,210000,305,,
424,10834,17.13,0.003,-7.918496608734131,500.0,719,0.0010920721106231213,220000,305,0.12592029571533203,-3.7247695922851562
428,,17.13,,,500.0,719,,220000,305,,
432,,17.13,,,500.0,719,,220000,305,,
436,,17.13,,,500.0,719,,220000,305,,
440,,17.13,,,500.0,719,,220000,305,,
444,11334,31.04,0.003,-14.429174423217773,500.0,753,0.0015634055016562343,230000,305,0.033963821828365326,-3.770331382751465
448,,31.04,,,500.0,753,,230000,305,,
452,,31.04,,,500.0,753,,230000,305,,
456,,31.04,,,500.0,753,,230000,305,,
460,,31.04,,,500.0,753,,230000,305,,
464,11834,62.94,0.003,-2.128368854522705,500.0,785,0.00175015302374959,240000,305,0.19061347842216492,-3.6884312629699707
468,,62.94,,,500.0,785,,240000,305,,
472,,62.94,,,500.0,785,,240000,305,,
476,,62.94,,,500.0,785,,240000,305,,
480,,62.94,,,500.0,785,,240000,305,,
484,12334,62.12,0.003,-1.6821128129959106,500.0,818,0.00197978550568223,250000,305,0.09839244186878204,-3.969271659851074
488,,62.12,,,500.0,818,,250000,305,,
492,,62.12,,,500.0,818,,250000,305,,
496,,62.12,,,500.0,818,,250000,305,,
500,,62.12,,,500.0,818,,250000,305,,
504,12834,61.94,0.003,1.9971035718917847,500.0,851,0.001729401876218617,260000,305,0.1530018448829651,-3.4383277893066406
508,,61.94,,,500.0,851,,260000,305,,
512,,61.94,,,500.0,851,,260000,305,,
516,,61.94,,,500.0,851,,260000,305,,
520,,61.94,,,500.0,851,,260000,305,,
524,13334,57.54,0.003,-1.403233528137207,500.0,883,0.0017742444761097431,270000,305,0.037248577922582626,-3.393261432647705
528,,57.54,,,500.0,883,,270000,305,,
532,,57.54,,,500.0,883,,270000,305,,
