train/learning_rate,train/n_updates,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/actor_loss,time/fps,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss
0.003,334,33,4,0.0,0.36776065826416016,0.014555875211954117,-7.4128217697143555,300,500.0,10000,-11.777898788452148
,,33,8,0.0,,,,300,500.0,10000,
,,33,12,0.0,,,,300,500.0,10000,
,,33,16,0.0,,,,300,500.0,10000,
,,33,20,0.0,,,,300,500.0,10000,
0.003,834,65,24,0.0,0.08203217387199402,0.30825069546699524,-6.549984931945801,304,500.0,20000,-29.369525909423828
,,65,28,0.0,,,,304,500.0,20000,
,,65,32,0.0,,,,303,500.0,20000,
,,65,36,0.0,,,,303,500.0,20000,
,,65,40,0.0,,,,303,500.0,20000,
0.003,1334,98,44,0.0,0.018394336104393005,0.004058937542140484,-6.3110032081604,304,500.0,30000,-46.43147659301758
,,98,48,0.0,,,,304,500.0,30000,
,,98,52,0.0,,,,304,500.0,30000,
,,98,56,0.0,,,,304,500.0,30000,
,,98,60,0.0,,,,304,500.0,30000,
0.003,1834,131,64,0.0,0.004462691955268383,0.009706245735287666,-6.028078079223633,304,500.0,40000,-53.71604537963867
,,131,68,0.0,,,,304,500.0,40000,
,,131,72,0.0,,,,304,500.0,40000,
,,131,76,0.0,,,,304,500.0,40000,
,,131,80,0.0,,,,304,500.0,40000,
0.003,2334,164,84,0.0,0.002118199598044157,0.27852150797843933,-5.785173416137695,303,500.0,50000,-29.64292335510254
,,164,88,0.0,,,,303,500.0,50000,
,,164,92,0.0,,,,303,500.0,50000,
,,164,96,0.0,,,,303,500.0,50000,
,,164,100,0.0,,,,303,500.0,50000,
0.003,2834,197,104,0.17,0.0017286220099776983,0.002108421642333269,-5.789267063140869,303,500.0,60000,-22.361949920654297
,,197,108,0.17,,,,303,500.0,60000,
,,197,112,0.17,,,,303,500.0,60000,
,,197,116,0.17,,,,303,500.0,60000,
,,197,120,0.17,,,,303,500.0,60000,
0.003,3334,231,124,1.38,0.0015205485979095101,0.0067037856206297874,-5.579638481140137,302,500.0,70000,-9.331809043884277
,,231,128,1.38,,,,302,500.0,70000,
,,231,132,1.38,,,,302,500.0,70000,
,,231,136,1.38,,,,302,500.0,70000,
,,231,140,1.38,,,,302,500.0,70000,
