train/n_updates,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef
334,500.0,4,30,0.003,0.0,10000,328,-7.4544830322265625,0.016688263043761253,-11.797042846679688,0.3678576946258545
,500.0,8,30,,0.0,10000,328,,,,
,500.0,12,30,,0.0,10000,328,,,,
,500.0,16,30,,0.0,10000,328,,,,
,500.0,20,30,,0.0,10000,328,,,,
834,500.0,24,62,0.003,0.0,20000,317,-6.605187892913818,0.006984852720052004,-29.333749771118164,0.08207886666059494
,500.0,28,62,,0.0,20000,317,,,,
,500.0,32,62,,0.0,20000,317,,,,
,500.0,36,62,,0.0,20000,317,,,,
,500.0,40,62,,0.0,20000,317,,,,
1334,500.0,44,94,0.003,0.0,30000,315,-6.285569190979004,0.31343889236450195,-46.748992919921875,0.01848810911178589
,500.0,48,95,,0.0,30000,315,,,,
,500.0,52,95,,0.0,30000,315,,,,
,500.0,56,95,,0.0,30000,315,,,,
,500.0,60,95,,0.0,30000,315,,,,
1834,500.0,64,126,0.003,0.0,40000,315,-6.1547980308532715,0.0023713354021310806,-58.02204895019531,0.004345023538917303
,500.0,68,126,,0.0,40000,315,,,,
,500.0,72,126,,0.0,40000,315,,,,
,500.0,76,126,,0.0,40000,315,,,,
,500.0,80,126,,0.0,40000,315,,,,
2334,500.0,84,159,0.003,3.34,50000,313,-5.948469161987305,0.002747506834566593,-18.998186111450195,0.0017387770349159837
,500.0,88,159,,3.34,50000,313,,,,
,500.0,92,159,,3.34,50000,313,,,,
,500.0,96,159,,3.34,50000,313,,,,
,500.0,100,159,,3.34,50000,313,,,,
2834,500.0,104,191,0.003,3.34,60000,312,-5.816557884216309,0.008305634371936321,6.613987922668457,0.0014568413607776165
,500.0,108,191,,3.34,60000,312,,,,
,500.0,112,191,,3.34,60000,312,,,,
,500.0,116,191,,3.34,60000,312,,,,
,500.0,120,191,,3.34,60000,312,,,,
3334,500.0,124,224,0.003,3.34,70000,311,-5.554797649383545,0.2506555914878845,-12.510414123535156,0.0014491446781903505
,500.0,128,224,,3.34,70000,311,,,,
,500.0,132,224,,3.34,70000,311,,,,
,500.0,136,224,,3.34,70000,311,,,,
,500.0,140,224,,3.34,70000,311,,,,
3834,500.0,144,256,0.003,5.07,80000,311,-5.248137474060059,0.019615549594163895,7.388426780700684,0.0012854012893512845
,500.0,148,256,,5.07,80000,311,,,,
,500.0,152,256,,5.07,80000,311,,,,
,500.0,156,256,,5.07,80000,311,,,,
,500.0,160,256,,5.07,80000,311,,,,
