time/fps,time/total_timesteps,train/ent_coef_loss,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/learning_rate,time/episodes,rollout/ep_len_mean,train/critic_loss,time/time_elapsed,train/ent_coef
337,10000,-11.745661735534668,0.0,-7.771108627319336,334,0.003,4,500.0,0.01349375769495964,29,0.367806077003479
337,10000,,0.0,,,,8,500.0,,29,
337,10000,,0.0,,,,12,500.0,,29,
336,10000,,0.0,,,,16,500.0,,29,
336,10000,,0.0,,,,20,500.0,,29,
319,20000,-29.3453369140625,0.0,-7.030621528625488,834,0.003,24,500.0,0.007253252435475588,62,0.0820496454834938
319,20000,,0.0,,,,28,500.0,,62,
319,20000,,0.0,,,,32,500.0,,62,
318,20000,,0.0,,,,36,500.0,,62,
318,20000,,0.0,,,,40,500.0,,62,
312,30000,-46.05701446533203,0.0,-6.634552478790283,1334,0.003,44,500.0,0.008655546233057976,96,0.018644088879227638
312,30000,,0.0,,,,48,500.0,,96,
312,30000,,0.0,,,,52,500.0,,96,
312,30000,,0.0,,,,56,500.0,,96,
312,30000,,0.0,,,,60,500.0,,96,
307,40000,-49.69523620605469,0.0,-6.4272661209106445,1834,0.003,64,500.0,0.0023310519754886627,129,0.0046333507634699345
307,40000,,0.0,,,,68,500.0,,129,
307,40000,,0.0,,,,72,500.0,,130,
307,40000,,0.0,,,,76,500.0,,130,
307,40000,,0.0,,,,80,500.0,,130,
304,50000,-30.37378692626953,0.0,-5.909048557281494,2334,0.003,84,500.0,0.006461257580667734,164,0.0019015168072655797
304,50000,,0.0,,,,88,500.0,,164,
304,50000,,0.0,,,,92,500.0,,164,
304,50000,,0.0,,,,96,500.0,,164,
304,50000,,0.0,,,,100,500.0,,164,
303,60000,37.70180130004883,0.0,-5.859658241271973,2834,0.003,104,500.0,0.012535861693322659,197,0.0011812783777713776
303,60000,,0.0,,,,108,500.0,,197,
303,60000,,0.0,,,,112,500.0,,197,
303,60000,,0.0,,,,116,500.0,,198,
303,60000,,0.0,,,,120,500.0,,198,
303,70000,9.269131660461426,0.0,-5.732489109039307,3334,0.003,124,500.0,0.004506876226514578,230,0.0012872590450569987
303,70000,,0.0,,,,128,500.0,,230,
303,70000,,0.0,,,,132,500.0,,230,
303,70000,,0.0,,,,136,500.0,,230,
303,70000,,0.0,,,,140,500.0,,231,
302,80000,18.865062713623047,0.0,-5.722057819366455,3834,0.003,144,500.0,0.0024406295269727707,264,0.0008861286914907396
302,80000,,0.0,,,,148,500.0,,264,
302,80000,,0.0,,,,152,500.0,,264,
302,80000,,0.0,,,,156,500.0,,264,
302,80000,,0.0,,,,160,500.0,,264,
303,90000,-1.7456189393997192,1.45,-5.159622669219971,4334,0.003,164,500.0,0.13096749782562256,296,0.0009563839412294328
303,90000,,1.45,,,,168,500.0,,296,
303,90000,,1.45,,,,172,500.0,,296,
303,90000,,1.45,,,,176,500.0,,296,
303,90000,,1.45,,,,180,500.0,,296,
303,100000,18.011869430541992,1.45,-4.885008811950684,4834,0.003,184,500.0,0.03821815550327301,329,0.0009324135608039796
303,100000,,1.45,,,,188,500.0,,329,
303,100000,,1.45,,,,192,500.0,,329,
303,100000,,1.45,,,,196,500.0,,329,
303,100000,,1.45,,,,200,500.0,,329,
303,110000,-15.168858528137207,1.45,-4.990799427032471,5334,0.003,204,500.0,0.005538205616176128,362,0.000829035765491426
303,110000,,1.45,,,,208,500.0,,362,
303,110000,,1.45,,,,212,500.0,,362,
303,110000,,1.45,,,,216,500.0,,362,
303,110000,,1.45,,,,220,500.0,,362,
303,120000,-7.972188949584961,1.45,-4.909587860107422,5834,0.003,224,500.0,0.007267975714057684,395,0.0008699463214725256
303,120000,,1.45,,,,228,500.0,,395,
303,120000,,1.45,,,,232,500.0,,395,
303,120000,,1.45,,,,236,500.0,,395,
303,120000,,1.45,,,,240,500.0,,396,
302,130000,41.20330047607422,1.45,-4.660000801086426,6334,0.003,244,500.0,0.0032018274068832397,429,0.0008935894584283233
302,130000,,1.45,,,,248,500.0,,429,
302,130000,,1.45,,,,252,500.0,,429,
302,130000,,1.45,,,,256,500.0,,429,
302,130000,,1.45,,,,260,500.0,,429,
302,140000,61.42124938964844,0.0,-4.58659029006958,6834,0.003,264,500.0,0.16479679942131042,462,0.0008201723103411496
302,140000,,0.0,,,,268,500.0,,462,
302,140000,,0.0,,,,272,500.0,,462,
302,140000,,0.0,,,,276,500.0,,462,
302,140000,,0.0,,,,280,500.0,,462,
302,150000,28.90035057067871,0.0,-4.580253601074219,7334,0.003,284,500.0,0.020909957587718964,495,0.0006211681757122278
302,150000,,0.0,,,,288,500.0,,495,
302,150000,,0.0,,,,292,500.0,,495,
302,150000,,0.0,,,,296,500.0,,495,
302,150000,,0.0,,,,300,500.0,,495,
302,160000,-15.036942481994629,0.72,-4.226530075073242,7834,0.003,304,500.0,0.20080450177192688,528,0.0006752056651748717
302,160000,,0.72,,,,308,500.0,,528,
302,160000,,0.72,,,,312,500.0,,528,
302,160000,,0.72,,,,316,500.0,,528,
302,160000,,0.72,,,,320,500.0,,528,
302,170000,175.87257385253906,0.82,-4.228525161743164,8334,0.003,324,500.0,0.17824669182300568,561,0.0006723388796672225
302,170000,,0.82,,,,328,500.0,,561,
302,170000,,0.82,,,,332,500.0,,561,
302,170000,,0.82,,,,336,500.0,,561,
302,170000,,0.82,,,,340,500.0,,561,
302,180000,-14.893826484680176,0.82,-4.08621072769165,8834,0.003,344,500.0,0.006608855444937944,594,0.0005670636310242116
302,180000,,0.82,,,,348,500.0,,594,
302,180000,,0.82,,,,352,500.0,,594,
302,180000,,0.82,,,,356,500.0,,594,
302,180000,,0.82,,,,360,500.0,,594,
302,190000,-36.56119918823242,0.95,-4.027499675750732,9334,0.003,364,500.0,0.04633473977446556,628,0.0007424706127494574
302,190000,,0.95,,,,368,500.0,,628,
302,190000,,0.95,,,,372,500.0,,628,
302,190000,,0.95,,,,376,500.0,,628,
302,190000,,0.95,,,,380,500.0,,628,
301,200000,-39.095916748046875,1.65,-3.9022440910339355,9834,0.003,384,500.0,0.004825131967663765,662,0.0005220065941102803
301,200000,,1.65,,,,388,500.0,,662,
301,200000,,1.65,,,,392,500.0,,662,
301,200000,,1.65,,,,396,500.0,,662,
301,200000,,1.65,,,,400,500.0,,662,
301,210000,-22.95254898071289,0.93,-3.5887274742126465,10334,0.003,404,500.0,0.008709846064448357,695,0.0006328368908725679
301,210000,,0.93,,,,408,500.0,,695,
301,210000,,0.93,,,,412,500.0,,695,
301,210000,,0.93,,,,416,500.0,,695,
301,210000,,0.93,,,,420,500.0,,695,
302,220000,1.8046979904174805,0.83,-3.5736656188964844,10834,0.003,424,500.0,0.007922341115772724,728,0.0004706357722170651
302,220000,,0.83,,,,428,500.0,,728,
302,220000,,0.83,,,,432,500.0,,728,
302,220000,,0.83,,,,436,500.0,,728,
302,220000,,0.83,,,,440,500.0,,728,
301,230000,23.826988220214844,0.83,-3.5337698459625244,11334,0.003,444,500.0,0.0040947264060378075,762,0.00039102640585042536
301,230000,,0.83,,,,448,500.0,,762,
301,230000,,0.83,,,,452,500.0,,762,
301,230000,,0.83,,,,456,500.0,,762,
301,230000,,0.83,,,,460,500.0,,762,
301,240000,-14.938762664794922,1.01,-3.6661911010742188,11834,0.003,464,500.0,0.14657258987426758,795,0.0004915135796181858
301,240000,,1.01,,,,468,500.0,,795,
301,240000,,1.01,,,,472,500.0,,795,
301,240000,,1.01,,,,476,500.0,,795,
301,240000,,1.01,,,,480,500.0,,795,
301,250000,-10.03658676147461,0.31,-3.241781711578369,12334,0.003,484,500.0,0.0013896990567445755,829,0.0005408415454439819
301,250000,,0.31,,,,488,500.0,,829,
301,250000,,0.31,,,,492,500.0,,829,
301,250000,,0.31,,,,496,500.0,,829,
301,250000,,0.31,,,,500,500.0,,829,
301,260000,-52.9234619140625,0.31,-3.321942090988159,12834,0.003,504,500.0,0.10351529717445374,862,0.0008842393872328103
301,260000,,0.31,,,,508,500.0,,862,
301,260000,,0.31,,,,512,500.0,,862,
301,260000,,0.31,,,,516,500.0,,862,
301,260000,,0.31,,,,520,500.0,,862,
301,270000,-10.4948091506958,0.31,-3.1560580730438232,13334,0.003,524,500.0,0.0020430488511919975,895,0.0004286111216060817
301,270000,,0.31,,,,528,500.0,,895,
301,270000,,0.31,,,,532,500.0,,895,
301,270000,,0.31,,,,536,500.0,,895,
301,270000,,0.31,,,,540,500.0,,895,
301,280000,-30.387496948242188,0.92,-2.9161949157714844,13834,0.003,544,500.0,0.011106599122285843,928,0.00046446628402918577
301,280000,,0.92,,,,548,500.0,,928,
301,280000,,0.92,,,,552,500.0,,928,
301,280000,,0.92,,,,556,500.0,,929,
301,280000,,0.92,,,,560,500.0,,929,
301,290000,-20.07170295715332,0.61,-3.081291913986206,14334,0.003,564,500.0,0.4759168326854706,961,0.0005526962922886014
301,290000,,0.61,,,,568,500.0,,961,
301,290000,,0.61,,,,572,500.0,,961,
301,290000,,0.61,,,,576,500.0,,961,
301,290000,,0.61,,,,580,500.0,,961,
301,300000,-6.861834526062012,0.61,-2.6947178840637207,14834,0.003,584,500.0,0.0035914164036512375,994,0.0004289386561140418
301,300000,,0.61,,,,588,500.0,,994,
301,300000,,0.61,,,,592,500.0,,994,
301,300000,,0.61,,,,596,500.0,,994,
301,300000,,0.61,,,,600,500.0,,994,
301,310000,-14.576494216918945,0.61,-2.691791534423828,15334,0.003,604,500.0,0.0076084923930466175,1027,0.0004329650546424091
301,310000,,0.61,,,,608,500.0,,1027,
301,310000,,0.61,,,,612,500.0,,1027,
301,310000,,0.61,,,,616,500.0,,1027,
301,310000,,0.61,,,,620,500.0,,1027,
301,320000,-16.343616485595703,0.61,-2.686675548553467,15834,0.003,624,500.0,0.012524394318461418,1059,0.0005128382472321391
301,320000,,0.61,,,,628,500.0,,1059,
301,320000,,0.61,,,,632,500.0,,1059,
301,320000,,0.61,,,,636,500.0,,1059,
301,320000,,0.61,,,,640,500.0,,1059,
302,330000,1.050736904144287,0.0,-2.747688055038452,16334,0.003,644,500.0,0.01986205019056797,1092,0.000559074804186821
302,330000,,0.0,,,,648,500.0,,1092,
302,330000,,0.0,,,,652,500.0,,1092,
302,330000,,0.0,,,,656,500.0,,1092,
301,330000,,0.0,,,,660,500.0,,1092,
302,340000,-25.75649070739746,0.0,-2.180933713912964,16834,0.003,664,500.0,0.01676979288458824,1125,0.0006195825408212841
302,340000,,0.0,,,,668,500.0,,1125,
302,340000,,0.0,,,,672,500.0,,1125,
302,340000,,0.0,,,,676,500.0,,1125,
302,340000,,0.0,,,,680,500.0,,1125,
302,350000,-28.032970428466797,0.01,-2.2596325874328613,17334,0.003,684,500.0,0.025493506342172623,1158,0.0008331771241500974
302,350000,,0.01,,,,688,500.0,,1158,
302,350000,,0.01,,,,692,500.0,,1158,
302,350000,,0.01,,,,696,500.0,,1158,
302,350000,,0.01,,,,700,500.0,,1158,
302,360000,6.491366386413574,3.08,-2.1272149085998535,17834,0.003,704,500.0,0.010826511308550835,1191,0.0004892300348728895
302,360000,,3.08,,,,708,500.0,,1191,
302,360000,,3.08,,,,712,500.0,,1191,
302,360000,,3.08,,,,716,500.0,,1191,
302,360000,,3.08,,,,720,500.0,,1191,
302,370000,474.49700927734375,3.2,-2.5162878036499023,18334,0.003,724,500.0,0.10981103777885437,1224,0.0004481301875784993
302,370000,,3.2,,,,728,500.0,,1224,
302,370000,,3.2,,,,732,500.0,,1224,
302,370000,,3.2,,,,736,500.0,,1224,
302,370000,,3.2,,,,740,500.0,,1224,
