time/fps,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/ent_coef,time/episodes,time/time_elapsed,train/n_updates,train/critic_loss,train/learning_rate
293,-2.9413747787475586,0.0,500.0,10000,-11.909979820251465,0.7788172364234924,4,34,334,0.06273895502090454,0.00075
293,,0.0,500.0,10000,,,8,34,,,
293,,0.0,500.0,10000,,,12,34,,,
293,,0.0,500.0,10000,,,16,34,,,
293,,0.0,500.0,10000,,,20,34,,,
301,-7.34763240814209,0.0,500.0,20000,-15.837479591369629,0.5351524949073792,24,66,834,1.467466115951538,0.00075
301,,0.0,500.0,20000,,,28,66,,,
301,,0.0,500.0,20000,,,32,66,,,
301,,0.0,500.0,20000,,,36,66,,,
301,,0.0,500.0,20000,,,40,66,,,
