rollout/ep_len_mean,time/episodes,train/ent_coef,train/n_updates,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,time/fps,train/ent_coef_loss,time/total_timesteps,train/actor_loss,train/learning_rate
500.0,4,0.7788386940956116,334,29,0.07262259721755981,0.0,344,-2.9322612285614014,10000,-12.307758331298828,0.00075
500.0,8,,,29,,0.0,344,,10000,,
500.0,12,,,29,,0.0,344,,10000,,
500.0,16,,,29,,0.0,344,,10000,,
500.0,20,,,29,,0.0,344,,10000,,
500.0,24,0.5352073311805725,834,61,0.04312090575695038,0.0,323,-7.338601112365723,20000,-16.312023162841797,0.00075
500.0,28,,,61,,0.0,323,,20000,,
500.0,32,,,61,,0.0,323,,20000,,
500.0,36,,,61,,0.0,323,,20000,,
500.0,40,,,61,,0.0,323,,20000,,
