train/critic_loss,train/ent_coef_loss,time/episodes,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,time/fps
0.08781905472278595,-2.9495601654052734,4,10000,0.00075,334,0.7787935137748718,31,500.0,-12.277341842651367,0.8966355500000003,320
,,8,10000,,,,31,500.0,,0.8966355500000003,320
,,12,10000,,,,31,500.0,,0.8966355500000003,320
,,16,10000,,,,31,500.0,,0.8966355500000003,320
,,20,10000,,,,31,500.0,,0.8966355500000003,320
0.04754524677991867,-7.3486127853393555,24,20000,0.00075,834,0.5351722240447998,63,500.0,-16.202743530273438,1.127688375,316
,,28,20000,,,,63,500.0,,1.127688375,316
,,32,20000,,,,63,500.0,,1.127688375,316
,,36,20000,,,,63,500.0,,1.127688375,316
,,40,20000,,,,63,500.0,,1.127688375,316
2.4164271354675293,-11.81953239440918,44,30000,0.00075,1334,0.3678063154220581,96,500.0,-19.021244049072266,1.2326348666666667,311
,,48,30000,,,,96,500.0,,1.2326348666666667,311
,,52,30000,,,,96,500.0,,1.2326348666666667,311
,,56,30000,,,,96,500.0,,1.2326348666666667,311
,,60,30000,,,,96,500.0,,1.2326348666666667,311
0.022809945046901703,-16.177955627441406,64,40000,0.00075,1834,0.25278380513191223,129,500.0,-20.91912078857422,1.2145481375,310
,,68,40000,,,,129,500.0,,1.2145481375,310
,,72,40000,,,,129,500.0,,1.2145481375,310
,,76,40000,,,,129,500.0,,1.2145481375,310
,,80,40000,,,,129,500.0,,1.2145481375,309
0.014237545430660248,-20.440216064453125,84,50000,0.00075,2334,0.17376668751239777,162,500.0,-22.030006408691406,1.21086677,307
,,88,50000,,,,162,500.0,,1.21086677,307
,,92,50000,,,,162,500.0,,1.21086677,307
,,96,50000,,,,162,500.0,,1.21086677,307
,,100,50000,,,,162,500.0,,1.21086677,307
0.02289518713951111,-24.889850616455078,104,60000,0.00075,2834,0.11949872970581055,195,500.0,-22.727468490600586,1.23368543,306
,,108,60000,,,,195,500.0,,1.23368543,306
,,112,60000,,,,195,500.0,,1.23368543,306
,,116,60000,,,,195,500.0,,1.23368543,306
,,120,60000,,,,195,500.0,,1.23368543,306
3.7424654960632324,-29.12491798400879,124,70000,0.00075,3334,0.08229880779981613,229,500.0,-22.530994415283203,1.1526144,305
,,128,70000,,,,229,500.0,,1.1526144,305
,,132,70000,,,,229,500.0,,1.1526144,305
,,136,70000,,,,229,500.0,,1.1526144,305
,,140,70000,,,,229,500.0,,1.1526144,305
0.0382511243224144,-33.44881820678711,144,80000,0.00075,3834,0.05673886835575104,263,500.0,-22.32975196838379,1.06979403,303
,,148,80000,,,,263,500.0,,1.06979403,303
