rollout/ep_rew_mean,time/fps,time/total_timesteps,train/n_updates,train/ent_coef_loss,train/critic_loss,time/time_elapsed,train/learning_rate,train/ent_coef,time/episodes,rollout/ep_len_mean,train/actor_loss
1.5028777000000002,349,10000,334,-2.9328551292419434,0.07184207439422607,28,0.00075,0.7788469195365906,4,500.0,-12.085014343261719
1.5028777000000002,349,10000,,,,28,,,8,500.0,
1.5028777000000002,349,10000,,,,28,,,12,500.0,
1.5028777000000002,349,10000,,,,28,,,16,500.0,
1.5028777000000002,349,10000,,,,28,,,20,500.0,
1.1644437499999998,328,20000,834,-7.338159561157227,0.04922536015510559,60,0.00075,0.5351840257644653,24,500.0,-16.090206146240234
1.1644437499999998,328,20000,,,,60,,,28,500.0,
1.1644437499999998,328,20000,,,,60,,,32,500.0,
1.1644437499999998,328,20000,,,,60,,,36,500.0,
1.1644437499999998,328,20000,,,,60,,,40,500.0,
1.2242327666666666,322,30000,1334,-11.817826271057129,0.02665349841117859,92,0.00075,0.3678302764892578,44,500.0,-18.935380935668945
1.2242327666666666,322,30000,,,,92,,,48,500.0,
1.2242327666666666,322,30000,,,,92,,,52,500.0,
1.2242327666666666,322,30000,,,,93,,,56,500.0,
1.2242327666666666,322,30000,,,,93,,,60,500.0,
1.2522604625,317,40000,1834,-16.25273323059082,0.04128403961658478,126,0.00075,0.2528187930583954,64,500.0,-20.827777862548828
1.2522604625,316,40000,,,,126,,,68,500.0,
1.2522604625,316,40000,,,,126,,,72,500.0,
1.2522604625,316,40000,,,,126,,,76,500.0,
1.2522604625,316,40000,,,,126,,,80,500.0,
1.1447700299999999,315,50000,2334,-20.645370483398438,0.028238270431756973,158,0.00075,0.17379143834114075,84,500.0,-21.70370101928711
1.1447700299999999,315,50000,,,,158,,,88,500.0,
1.1447700299999999,315,50000,,,,158,,,92,500.0,
1.1447700299999999,315,50000,,,,158,,,96,500.0,
1.1447700299999999,315,50000,,,,158,,,100,500.0,
1.11054667,313,60000,2834,-24.905895233154297,0.04104872792959213,191,0.00075,0.11954119056463242,104,500.0,-22.11939811706543
1.11054667,313,60000,,,,191,,,108,500.0,
1.11054667,313,60000,,,,191,,,112,500.0,
1.11054667,312,60000,,,,191,,,116,500.0,
1.11054667,312,60000,,,,191,,,120,500.0,
1.13053707,311,70000,3334,-29.61952018737793,0.029175523668527603,224,0.00075,0.08230102807283401,124,500.0,-22.324657440185547
1.13053707,311,70000,,,,224,,,128,500.0,
1.13053707,311,70000,,,,224,,,132,500.0,
1.13053707,311,70000,,,,224,,,136,500.0,
1.13053707,311,70000,,,,224,,,140,500.0,
1.06171996,310,80000,3834,-33.31858444213867,0.031896043568849564,257,0.00075,0.0567488931119442,144,500.0,-22.269245147705078
1.06171996,310,80000,,,,257,,,148,500.0,
1.06171996,310,80000,,,,257,,,152,500.0,
1.06171996,310,80000,,,,257,,,156,500.0,
1.06171996,310,80000,,,,257,,,160,500.0,
1.07024315,309,90000,4334,-36.529205322265625,3.4096362590789795,290,0.00075,0.039241958409547806,164,500.0,-21.910991668701172
1.07024315,309,90000,,,,290,,,168,500.0,
1.07024315,309,90000,,,,290,,,172,500.0,
1.07024315,309,90000,,,,290,,,176,500.0,
1.07024315,309,90000,,,,290,,,180,500.0,
1.0981331399999998,308,100000,4834,-38.37310028076172,0.16892920434474945,323,0.00075,0.02745007909834385,184,500.0,-21.750946044921875
1.0981331399999998,308,100000,,,,323,,,188,500.0,
1.0981331399999998,308,100000,,,,323,,,192,500.0,
1.0981331399999998,308,100000,,,,323,,,196,500.0,
1.0981331399999998,308,100000,,,,323,,,200,500.0,
0.97399937,308,110000,5334,-39.811344146728516,0.11271288990974426,357,0.00075,0.01925336942076683,204,500.0,-20.28430938720703
0.97399937,308,110000,,,,357,,,208,500.0,
0.97399937,308,110000,,,,357,,,212,500.0,
0.97399937,308,110000,,,,357,,,216,500.0,
0.97399937,308,110000,,,,357,,,220,500.0,
0.92400588,307,120000,5834,-36.87517166137695,0.060923174023628235,390,0.00075,0.013906304724514484,224,500.0,-20.102127075195312
0.92400588,307,120000,,,,390,,,228,500.0,
0.92400588,307,120000,,,,390,,,232,500.0,
0.92400588,307,120000,,,,390,,,236,500.0,
0.92400588,307,120000,,,,390,,,240,500.0,
0.8790549899999999,306,130000,6334,-27.82538414001465,0.05161099508404732,423,0.00075,0.010300160385668278,244,500.0,-20.018775939941406
0.8790549899999999,306,130000,,,,423,,,248,500.0,
0.8790549899999999,306,130000,,,,423,,,252,500.0,
0.8790549899999999,306,130000,,,,423,,,256,500.0,
0.8790549899999999,306,130000,,,,423,,,260,500.0,
0.7475864899999999,306,140000,6834,-20.804283142089844,2.601022720336914,456,0.00075,0.007981416769325733,264,500.0,-19.385053634643555
0.7475864899999999,306,140000,,,,456,,,268,500.0,
0.7475864899999999,306,140000,,,,456,,,272,500.0,
0.7475864899999999,306,140000,,,,456,,,276,500.0,
0.7475864899999999,306,140000,,,,456,,,280,500.0,
0.90309278,306,150000,7334,-24.603242874145508,0.06309887766838074,489,0.00075,0.006169237662106752,284,500.0,-18.443635940551758
0.90309278,306,150000,,,,489,,,288,500.0,
0.90309278,306,150000,,,,489,,,292,500.0,
0.90309278,306,150000,,,,489,,,296,500.0,
0.90309278,306,150000,,,,489,,,300,500.0,
1.00294111,306,160000,7834,-17.11288070678711,1.1136150360107422,522,0.00075,0.004998619202524424,304,500.0,-18.276512145996094
1.00294111,306,160000,,,,522,,,308,500.0,
1.00294111,306,160000,,,,522,,,312,500.0,
1.00294111,306,160000,,,,522,,,316,500.0,
1.00294111,306,160000,,,,522,,,320,500.0,
1.00332742,306,170000,8334,-4.112166404724121,1.0267112255096436,554,0.00075,0.004228890873491764,324,500.0,-17.417522430419922
1.00332742,306,170000,,,,554,,,328,500.0,
1.00332742,306,170000,,,,554,,,332,500.0,
1.00332742,306,170000,,,,554,,,336,500.0,
1.00332742,306,170000,,,,554,,,340,500.0,
1.04568102,305,180000,8834,-8.552526473999023,0.04773359000682831,589,0.00075,0.003956349566578865,344,500.0,-17.325641632080078
1.04568102,305,180000,,,,589,,,348,500.0,
1.04568102,305,180000,,,,589,,,352,500.0,
1.04568102,305,180000,,,,589,,,356,500.0,
1.04568102,305,180000,,,,589,,,360,500.0,
1.25133077,305,190000,9334,-2.7821130752563477,0.06558158248662949,622,0.00075,0.0034738352987915277,364,500.0,-16.855857849121094
1.25133077,305,190000,,,,622,,,368,500.0,
1.25133077,305,190000,,,,622,,,372,500.0,
1.25133077,305,190000,,,,622,,,376,500.0,
1.25133077,305,190000,,,,622,,,380,500.0,
7.8646004299999985,304,200000,9834,-8.081281661987305,0.03232257068157196,656,0.00075,0.0032024679239839315,384,500.0,-16.893146514892578
7.8646004299999985,304,200000,,,,656,,,388,500.0,
7.8646004299999985,304,200000,,,,656,,,392,500.0,
7.8646004299999985,304,200000,,,,656,,,396,500.0,
7.8646004299999985,304,200000,,,,656,,,400,500.0,
9.677914,304,210000,10334,-2.534651756286621,0.034875109791755676,689,0.00075,0.003023239318281412,404,500.0,-15.88126277923584
9.677914,304,210000,,,,689,,,408,500.0,
9.677914,304,210000,,,,689,,,412,500.0,
9.677914,304,210000,,,,689,,,416,500.0,
9.677914,304,210000,,,,689,,,420,500.0,
10.189880819999999,304,220000,10834,-5.372918605804443,0.038184162229299545,721,0.00075,0.002850047079846263,424,500.0,-15.652859687805176
10.189880819999999,304,220000,,,,721,,,428,500.0,
10.189880819999999,304,220000,,,,721,,,432,500.0,
10.189880819999999,304,220000,,,,721,,,436,500.0,
10.189880819999999,304,220000,,,,721,,,440,500.0,
10.816101900000001,305,230000,11334,38.85939025878906,0.061161503195762634,753,0.00075,0.0026573645882308483,444,500.0,-15.311796188354492
10.816101900000001,305,230000,,,,753,,,448,500.0,
10.816101900000001,305,230000,,,,753,,,452,500.0,
10.816101900000001,305,230000,,,,753,,,456,500.0,
10.816101900000001,305,230000,,,,753,,,460,500.0,
