train/n_updates,train/ent_coef_loss,time/total_timesteps,train/learning_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/actor_loss,train/critic_loss,time/fps
334,-2.938645362854004,10000,0.00075,4,1.45742195,500.0,31,0.7788528800010681,-12.225467681884766,0.08348284661769867,319
,,10000,,8,1.45742195,500.0,31,,,,319
,,10000,,12,1.45742195,500.0,31,,,,319
,,10000,,16,1.45742195,500.0,31,,,,319
,,10000,,20,1.45742195,500.0,31,,,,319
834,-7.3592705726623535,20000,0.00075,24,1.2132001249999997,500.0,63,0.5352484583854675,-16.099899291992188,0.03402891010046005,314
,,20000,,28,1.2132001249999997,500.0,63,,,,314
,,20000,,32,1.2132001249999997,500.0,63,,,,314
,,20000,,36,1.2132001249999997,500.0,63,,,,314
,,20000,,40,1.2132001249999997,500.0,63,,,,314
1334,-11.71104621887207,30000,0.00075,44,1.2003342166666668,500.0,95,0.367889404296875,-18.92324447631836,0.02533583901822567,312
,,30000,,48,1.2003342166666668,500.0,95,,,,312
,,30000,,52,1.2003342166666668,500.0,95,,,,312
,,30000,,56,1.2003342166666668,500.0,95,,,,312
,,30000,,60,1.2003342166666668,500.0,95,,,,312
1834,-16.168601989746094,40000,0.00075,64,1.1443803,500.0,128,0.25284624099731445,-20.771963119506836,0.0332629568874836,311
,,40000,,68,1.1443803,500.0,128,,,,311
,,40000,,72,1.1443803,500.0,128,,,,311
,,40000,,76,1.1443803,500.0,128,,,,311
,,40000,,80,1.1443803,500.0,128,,,,311
2334,-20.485595703125,50000,0.00075,84,1.22216699,500.0,160,0.17383958399295807,-21.56096076965332,3.0125226974487305,311
,,50000,,88,1.22216699,500.0,160,,,,310
,,50000,,92,1.22216699,500.0,160,,,,310
,,50000,,96,1.22216699,500.0,160,,,,310
,,50000,,100,1.22216699,500.0,160,,,,310
2834,-24.891700744628906,60000,0.00075,104,1.2020944900000001,500.0,192,0.11955393105745316,-22.20428466796875,0.03192586451768875,310
