train/actor_loss,train/learning_rate,time/episodes,time/fps,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,train/critic_loss
-12.091093063354492,0.00075,4,348,10000,-2.9339799880981445,28,334,500.0,1.23576545,0.7789168953895569,0.049554839730262756
,,8,348,10000,,28,,500.0,1.23576545,,
,,12,348,10000,,28,,500.0,1.23576545,,
,,16,348,10000,,28,,500.0,1.23576545,,
,,20,348,10000,,28,,500.0,1.23576545,,
-16.303680419921875,0.00075,24,327,20000,-7.34440803527832,61,834,500.0,1.105528975,0.5352421998977661,0.058471933007240295
,,28,327,20000,,61,,500.0,1.105528975,,
,,32,327,20000,,61,,500.0,1.105528975,,
,,36,327,20000,,61,,500.0,1.105528975,,
,,40,327,20000,,61,,500.0,1.105528975,,
-19.07229995727539,0.00075,44,320,30000,-11.763160705566406,93,1334,500.0,1.0491307166666668,0.3678206503391266,0.05618981271982193
,,48,320,30000,,93,,500.0,1.0491307166666668,,
,,52,320,30000,,93,,500.0,1.0491307166666668,,
,,56,320,30000,,93,,500.0,1.0491307166666668,,
,,60,320,30000,,93,,500.0,1.0491307166666668,,
-20.705646514892578,0.00075,64,317,40000,-16.188274383544922,126,1834,500.0,1.0897143,0.25280842185020447,0.12826505303382874
,,68,317,40000,,126,,500.0,1.0897143,,
,,72,317,40000,,126,,500.0,1.0897143,,
,,76,317,40000,,126,,500.0,1.0897143,,
,,80,317,40000,,126,,500.0,1.0897143,,
-22.05706214904785,0.00075,84,314,50000,-20.57610321044922,158,2334,500.0,1.03132474,0.17383302748203278,0.033351946622133255
,,88,314,50000,,158,,500.0,1.03132474,,
,,92,314,50000,,158,,500.0,1.03132474,,
,,96,314,50000,,158,,500.0,1.03132474,,
,,100,314,50000,,158,,500.0,1.03132474,,
-22.396425247192383,0.00075,104,314,60000,-24.8328857421875,190,2834,500.0,0.9855382899999999,0.11957041174173355,0.040413305163383484
,,108,314,60000,,190,,500.0,0.9855382899999999,,
,,112,314,60000,,190,,500.0,0.9855382899999999,,
,,116,314,60000,,190,,500.0,0.9855382899999999,,
,,120,314,60000,,190,,500.0,0.9855382899999999,,
-22.47066879272461,0.00075,124,313,70000,-29.107147216796875,223,3334,500.0,0.97810477,0.08235549926757812,0.028997071087360382
,,128,313,70000,,223,,500.0,0.97810477,,
,,132,313,70000,,223,,500.0,0.97810477,,
,,136,313,70000,,223,,500.0,0.97810477,,
,,140,313,70000,,223,,500.0,0.97810477,,
-22.427017211914062,0.00075,144,311,80000,-32.82893371582031,256,3834,500.0,1.0170489699999998,0.056819453835487366,0.03184262663125992
,,148,311,80000,,256,,500.0,1.0170489699999998,,
,,152,311,80000,,256,,500.0,1.0170489699999998,,
,,156,311,80000,,256,,500.0,1.0170489699999998,,
,,160,311,80000,,256,,500.0,1.0170489699999998,,
-22.229934692382812,0.00075,164,311,90000,-36.27552795410156,288,4334,500.0,0.90859431,0.039431724697351456,0.04021588712930679
,,168,311,90000,,288,,500.0,0.90859431,,
,,172,311,90000,,288,,500.0,0.90859431,,
,,176,311,90000,,288,,500.0,0.90859431,,
,,180,311,90000,,289,,500.0,0.90859431,,
-21.745826721191406,0.00075,184,311,100000,-38.967681884765625,321,4834,500.0,0.91766671,0.02757284790277481,0.02385040931403637
,,188,311,100000,,321,,500.0,0.91766671,,
,,192,311,100000,,321,,500.0,0.91766671,,
,,196,311,100000,,321,,500.0,0.91766671,,
,,200,311,100000,,321,,500.0,0.91766671,,
-21.17835235595703,0.00075,204,311,110000,-42.02513122558594,352,5334,500.0,1.0422963699999999,0.019395148381590843,3.309684991836548
,,208,311,110000,,352,,500.0,1.0422963699999999,,
,,212,311,110000,,352,,500.0,1.0422963699999999,,
,,216,311,110000,,352,,500.0,1.0422963699999999,,
,,220,311,110000,,352,,500.0,1.0422963699999999,,
-20.3691349029541,0.00075,224,311,120000,-35.71461486816406,385,5834,500.0,1.05499218,0.013865483924746513,0.040542490780353546
,,228,311,120000,,385,,500.0,1.05499218,,
,,232,311,120000,,385,,500.0,1.05499218,,
,,236,311,120000,,385,,500.0,1.05499218,,
,,240,311,120000,,385,,500.0,1.05499218,,
-20.29742431640625,0.00075,244,309,130000,-34.383975982666016,419,6334,500.0,1.15589746,0.010353493504226208,0.02835570089519024
,,248,309,130000,,419,,500.0,1.15589746,,
,,252,309,130000,,419,,500.0,1.15589746,,
,,256,309,130000,,419,,500.0,1.15589746,,
,,260,309,130000,,419,,500.0,1.15589746,,
-19.021360397338867,0.00075,264,308,140000,-29.60739517211914,453,6834,500.0,1.1634848,0.007707175798714161,0.030099747702479362
,,268,308,140000,,453,,500.0,1.1634848,,
,,272,308,140000,,453,,500.0,1.1634848,,
,,276,308,140000,,453,,500.0,1.1634848,,
,,280,308,140000,,453,,500.0,1.1634848,,
-19.090011596679688,0.00075,284,308,150000,-36.185630798339844,485,7334,500.0,1.3442100300000002,0.005950313061475754,0.049783430993556976
,,288,308,150000,,485,,500.0,1.3442100300000002,,
