time/episodes,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/n_updates,time/fps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss
4,-12.021553039550781,10000,0.0,0.7788395285606384,-2.934149742126465,0.00075,334,442,22,500.0,0.06672936677932739
8,,10000,0.0,,,,,442,22,500.0,
12,,10000,0.0,,,,,442,22,500.0,
16,,10000,0.0,,,,,442,22,500.0,
20,,10000,0.0,,,,,442,22,500.0,
24,-16.067047119140625,20000,0.0,0.535200834274292,-7.340266227722168,0.00075,834,415,48,500.0,0.04744004085659981
28,,20000,0.0,,,,,415,48,500.0,
32,,20000,0.0,,,,,415,48,500.0,
36,,20000,0.0,,,,,414,48,500.0,
40,,20000,0.0,,,,,414,48,500.0,
44,-18.962106704711914,30000,0.0,0.3678538501262665,-11.812849044799805,0.00075,1334,406,73,500.0,0.025036316365003586
48,,30000,0.0,,,,,406,73,500.0,
52,,30000,0.0,,,,,406,73,500.0,
56,,30000,0.0,,,,,406,73,500.0,
60,,30000,0.0,,,,,406,73,500.0,
64,-20.799734115600586,40000,0.0,0.25284889340400696,-16.26385498046875,0.00075,1834,400,99,500.0,0.04108042269945145
68,,40000,0.0,,,,,400,99,500.0,
72,,40000,0.0,,,,,400,99,500.0,
76,,40000,0.0,,,,,400,99,500.0,
80,,40000,0.0,,,,,400,99,500.0,
84,-21.720884323120117,50000,0.0,0.17383483052253723,-20.609981536865234,0.00075,2334,398,125,500.0,0.028949309140443802
88,,50000,0.0,,,,,398,125,500.0,
92,,50000,0.0,,,,,398,125,500.0,
96,,50000,0.0,,,,,398,125,500.0,
100,,50000,0.0,,,,,398,125,500.0,
104,-22.141210556030273,60000,0.0,0.11956650763750076,-24.754669189453125,0.00075,2834,397,150,500.0,0.03502681851387024
108,,60000,0.0,,,,,397,150,500.0,
112,,60000,0.0,,,,,397,150,500.0,
116,,60000,0.0,,,,,397,150,500.0,
120,,60000,0.0,,,,,397,150,500.0,
124,-22.282459259033203,70000,0.0,0.08235275000333786,-29.538066864013672,0.00075,3334,397,176,500.0,0.037359319627285004
128,,70000,0.0,,,,,397,176,500.0,
132,,70000,0.0,,,,,397,176,500.0,
136,,70000,0.0,,,,,397,176,500.0,
140,,70000,0.0,,,,,397,176,500.0,
144,-22.1802978515625,80000,0.0,0.056816838681697845,-33.38966369628906,0.00075,3834,396,201,500.0,0.035150665789842606
148,,80000,0.0,,,,,396,201,500.0,
152,,80000,0.0,,,,,396,201,500.0,
156,,80000,0.0,,,,,396,201,500.0,
160,,80000,0.0,,,,,396,201,500.0,
164,-21.759628295898438,90000,0.0,0.03930464759469032,-35.734405517578125,0.00075,4334,395,227,500.0,3.4726438522338867
168,,90000,0.0,,,,,395,227,500.0,
172,,90000,0.0,,,,,395,227,500.0,
176,,90000,0.0,,,,,395,227,500.0,
180,,90000,0.0,,,,,395,227,500.0,
184,-21.491512298583984,100000,0.0,0.027376027777791023,-37.79431915283203,0.00075,4834,395,253,500.0,0.1347188800573349
188,,100000,0.0,,,,,395,253,500.0,
192,,100000,0.0,,,,,395,253,500.0,
196,,100000,0.0,,,,,395,253,500.0,
200,,100000,0.0,,,,,395,253,500.0,
204,-20.518606185913086,110000,0.16,0.01926475204527378,-40.591819763183594,0.00075,5334,394,279,500.0,0.07473231852054596
208,,110000,0.16,,,,,394,279,500.0,
212,,110000,0.16,,,,,394,279,500.0,
216,,110000,0.16,,,,,394,279,500.0,
220,,110000,0.16,,,,,394,279,500.0,
224,-20.289819717407227,120000,0.16,0.013860948383808136,-29.128154754638672,0.00075,5834,393,305,500.0,0.03926776722073555
228,,120000,0.16,,,,,393,305,500.0,
232,,120000,0.16,,,,,393,305,500.0,
236,,120000,0.16,,,,,393,305,500.0,
240,,120000,0.16,,,,,393,305,500.0,
244,-20.002086639404297,130000,0.16,0.010143580846488476,-29.62364959716797,0.00075,6334,392,331,500.0,0.05566845461726189
248,,130000,0.16,,,,,392,331,500.0,
252,,130000,0.16,,,,,392,331,500.0,
256,,130000,0.16,,,,,392,331,500.0,
260,,130000,0.16,,,,,392,331,500.0,
264,-19.2000789642334,140000,0.16,0.007855487987399101,-13.16036605834961,0.00075,6834,391,357,500.0,2.654456377029419
268,,140000,0.16,,,,,391,357,500.0,
272,,140000,0.16,,,,,391,357,500.0,
276,,140000,0.16,,,,,391,357,500.0,
280,,140000,0.16,,,,,391,357,500.0,
