time/fps,train/actor_loss,train/n_updates,train/ent_coef_loss,train/critic_loss,time/total_timesteps,train/learning_rate,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,time/episodes
439,-11.980180740356445,334,-2.9379358291625977,0.043044231832027435,10000,0.00075,22,500.0,0.0,0.7788344621658325,4
439,,,,,10000,,22,500.0,0.0,,8
439,,,,,10000,,22,500.0,0.0,,12
439,,,,,10000,,22,500.0,0.0,,16
439,,,,,10000,,22,500.0,0.0,,20
410,-16.1225528717041,834,-7.377415657043457,0.03317558392882347,20000,0.00075,48,500.0,0.0,0.5351932048797607,24
410,,,,,20000,,48,500.0,0.0,,28
410,,,,,20000,,48,500.0,0.0,,32
410,,,,,20000,,48,500.0,0.0,,36
410,,,,,20000,,48,500.0,0.0,,40
402,-19.02716064453125,1334,-11.801454544067383,0.09540827572345734,30000,0.00075,74,500.0,0.0,0.36782482266426086,44
402,,,,,30000,,74,500.0,0.0,,48
402,,,,,30000,,74,500.0,0.0,,52
402,,,,,30000,,74,500.0,0.0,,56
402,,,,,30000,,74,500.0,0.0,,60
399,-20.764392852783203,1834,-16.186443328857422,0.018552124500274658,40000,0.00075,100,500.0,0.0,0.25281044840812683,64
399,,,,,40000,,100,500.0,0.0,,68
399,,,,,40000,,100,500.0,0.0,,72
399,,,,,40000,,100,500.0,0.0,,76
399,,,,,40000,,100,500.0,0.0,,80
398,-21.56266212463379,2334,-20.629619598388672,0.04845941811800003,50000,0.00075,125,500.0,0.0,0.17377953231334686,84
398,,,,,50000,,125,500.0,0.0,,88
398,,,,,50000,,125,500.0,0.0,,92
398,,,,,50000,,125,500.0,0.0,,96
397,,,,,50000,,125,500.0,0.0,,100
398,-22.37016487121582,2834,-24.987646102905273,0.0412902757525444,60000,0.00075,150,500.0,0.0,0.11952905356884003,104
398,,,,,60000,,150,500.0,0.0,,108
398,,,,,60000,,150,500.0,0.0,,112
398,,,,,60000,,150,500.0,0.0,,116
398,,,,,60000,,150,500.0,0.0,,120
397,-22.649837493896484,3334,-29.230695724487305,0.025447681546211243,70000,0.00075,176,500.0,0.0,0.08228513598442078,124
397,,,,,70000,,176,500.0,0.0,,128
397,,,,,70000,,176,500.0,0.0,,132
397,,,,,70000,,176,500.0,0.0,,136
397,,,,,70000,,176,500.0,0.0,,140
396,-22.216468811035156,3834,-33.59180450439453,0.024004915729165077,80000,0.00075,201,500.0,0.0,0.0567956306040287,144
396,,,,,80000,,201,500.0,0.0,,148
396,,,,,80000,,201,500.0,0.0,,152
396,,,,,80000,,201,500.0,0.0,,156
396,,,,,80000,,201,500.0,0.0,,160
395,-21.984020233154297,4334,-34.16978454589844,0.022192716598510742,90000,0.00075,227,500.0,0.0,0.039189085364341736,164
395,,,,,90000,,227,500.0,0.0,,168
395,,,,,90000,,227,500.0,0.0,,172
395,,,,,90000,,227,500.0,0.0,,176
395,,,,,90000,,227,500.0,0.0,,180
394,-21.569154739379883,4834,-39.50551223754883,0.03972263261675835,100000,0.00075,253,500.0,0.0,0.027238629758358,184
394,,,,,100000,,253,500.0,0.0,,188
394,,,,,100000,,253,500.0,0.0,,192
394,,,,,100000,,253,500.0,0.0,,196
394,,,,,100000,,253,500.0,0.0,,200
394,-20.72673988342285,5334,-38.717132568359375,0.06378152966499329,110000,0.00075,279,500.0,0.0,0.019128816202282906,204
394,,,,,110000,,279,500.0,0.0,,208
394,,,,,110000,,279,500.0,0.0,,212
394,,,,,110000,,279,500.0,0.0,,216
394,,,,,110000,,279,500.0,0.0,,220
393,-20.34379005432129,5834,-42.376522064208984,0.03293820098042488,120000,0.00075,304,500.0,0.0,0.013581483624875546,224
393,,,,,120000,,304,500.0,0.0,,228
393,,,,,120000,,304,500.0,0.0,,232
393,,,,,120000,,304,500.0,0.0,,236
393,,,,,120000,,304,500.0,0.0,,240
392,-20.023597717285156,6334,-40.70407485961914,0.04409864544868469,130000,0.00075,331,500.0,0.0,0.009926839731633663,244
392,,,,,130000,,331,500.0,0.0,,248
392,,,,,130000,,331,500.0,0.0,,252
392,,,,,130000,,331,500.0,0.0,,256
392,,,,,130000,,331,500.0,0.0,,260
392,-19.551578521728516,6834,-39.6182861328125,2.877150297164917,140000,0.00075,356,500.0,0.0,0.0073202624917030334,264
392,,,,,140000,,356,500.0,0.0,,268
392,,,,,140000,,356,500.0,0.0,,272
392,,,,,140000,,356,500.0,0.0,,276
392,,,,,140000,,356,500.0,0.0,,280
392,-19.011756896972656,7334,-23.101665496826172,0.02621077373623848,150000,0.00075,382,500.0,0.0,0.005613539833575487,284
392,,,,,150000,,382,500.0,0.0,,288
392,,,,,150000,,382,500.0,0.0,,292
392,,,,,150000,,382,500.0,0.0,,296
392,,,,,150000,,382,500.0,0.0,,300
392,-18.599681854248047,7834,-28.905323028564453,0.03457251191139221,160000,0.00075,408,500.0,0.0,0.004583158064633608,304
392,,,,,160000,,408,500.0,0.0,,308
392,,,,,160000,,408,500.0,0.0,,312
392,,,,,160000,,408,500.0,0.0,,316
392,,,,,160000,,408,500.0,0.0,,320
391,-18.09334945678711,8334,2.2890636920928955,0.023656297475099564,170000,0.00075,434,500.0,0.0,0.003799772821366787,324
391,,,,,170000,,434,500.0,0.0,,328
391,,,,,170000,,434,500.0,0.0,,332
391,,,,,170000,,434,500.0,0.0,,336
391,,,,,170000,,434,500.0,0.0,,340
391,-17.584869384765625,8834,-6.207685947418213,0.030144061893224716,180000,0.00075,460,500.0,0.0,0.0034235629718750715,344
391,,,,,180000,,460,500.0,0.0,,348
391,,,,,180000,,460,500.0,0.0,,352
391,,,,,180000,,460,500.0,0.0,,356
391,,,,,180000,,460,500.0,0.0,,360
391,-17.376415252685547,9334,-26.26796531677246,0.019488846883177757,190000,0.00075,485,500.0,5.0,0.002926741261035204,364
391,,,,,190000,,485,500.0,5.0,,368
391,,,,,190000,,485,500.0,5.0,,372
391,,,,,190000,,485,500.0,5.0,,376
391,,,,,190000,,485,500.0,5.0,,380
390,-16.852846145629883,9834,-13.813335418701172,0.911635160446167,200000,0.00075,512,500.0,5.0,0.0027685437817126513,384
390,,,,,200000,,512,500.0,5.0,,388
390,,,,,200000,,512,500.0,5.0,,392
390,,,,,200000,,512,500.0,5.0,,396
390,,,,,200000,,512,500.0,5.0,,400
390,-16.02530288696289,10334,-8.394780158996582,0.07055936753749847,210000,0.00075,537,500.0,5.0,0.0026986394077539444,404
390,,,,,210000,,537,500.0,5.0,,408
390,,,,,210000,,537,500.0,5.0,,412
390,,,,,210000,,537,500.0,5.0,,416
390,,,,,210000,,537,500.0,5.0,,420
389,-15.82807731628418,10834,-4.922806262969971,0.0315135195851326,220000,0.00075,564,500.0,5.0,0.0025786440819501877,424
389,,,,,220000,,564,500.0,5.0,,428
389,,,,,220000,,564,500.0,5.0,,432
389,,,,,220000,,564,500.0,5.0,,436
389,,,,,220000,,564,500.0,5.0,,440
389,-15.46221923828125,11334,-7.824162483215332,0.06981877237558365,230000,0.00075,590,500.0,5.0,0.002256533596664667,444
389,,,,,230000,,590,500.0,5.0,,448
389,,,,,230000,,590,500.0,5.0,,452
389,,,,,230000,,590,500.0,5.0,,456
389,,,,,230000,,590,500.0,5.0,,460
388,-15.168819427490234,11834,6.120712757110596,0.08636288344860077,240000,0.00075,617,500.0,0.0,0.001942742383107543,464
388,,,,,240000,,617,500.0,0.0,,468
388,,,,,240000,,617,500.0,0.0,,472
388,,,,,240000,,617,500.0,0.0,,476
388,,,,,240000,,617,500.0,0.0,,480
388,-14.878292083740234,12334,-1.5358942747116089,0.027424242347478867,250000,0.00075,643,500.0,2.56,0.0020464914850890636,484
388,,,,,250000,,643,500.0,2.56,,488
388,,,,,250000,,643,500.0,2.56,,492
388,,,,,250000,,643,500.0,2.56,,496
388,,,,,250000,,643,500.0,2.56,,500
388,-14.556863784790039,12834,9.751585006713867,0.021911557763814926,260000,0.00075,669,500.0,3.89,0.0021900879219174385,504
388,,,,,260000,,669,500.0,3.89,,508
388,,,,,260000,,669,500.0,3.89,,512
388,,,,,260000,,669,500.0,3.89,,516
388,,,,,260000,,669,500.0,3.89,,520
388,-14.203386306762695,13334,-7.679689884185791,1.4222999811172485,270000,0.00075,695,500.0,5.27,0.0021476990077644587,524
388,,,,,270000,,695,500.0,5.27,,528
388,,,,,270000,,695,500.0,5.27,,532
388,,,,,270000,,695,500.0,5.27,,536
388,,,,,270000,,695,500.0,5.27,,540
387,-13.729928970336914,13834,5.354456424713135,0.4739410877227783,280000,0.00075,722,500.0,5.27,0.0019870386458933353,544
387,,,,,280000,,722,500.0,5.27,,548
387,,,,,280000,,722,500.0,5.27,,552
387,,,,,280000,,722,500.0,5.27,,556
387,,,,,280000,,722,500.0,5.27,,560
387,-13.70671272277832,14334,-8.151413917541504,0.018998105078935623,290000,0.00075,748,500.0,5.46,0.0017113301437348127,564
387,,,,,290000,,748,500.0,5.46,,568
387,,,,,290000,,748,500.0,5.46,,572
387,,,,,290000,,748,500.0,5.46,,576
387,,,,,290000,,748,500.0,5.46,,580
386,-13.322104454040527,14834,1.0397273302078247,0.033469729125499725,300000,0.00075,775,500.0,6.28,0.001904028351418674,584
386,,,,,300000,,775,500.0,6.28,,588
386,,,,,300000,,775,500.0,6.28,,592
386,,,,,300000,,775,500.0,6.28,,596
386,,,,,300000,,775,500.0,6.28,,600
387,-13.124191284179688,15334,-1.1765851974487305,0.03105873242020607,310000,0.00075,800,500.0,4.95,0.002361834980547428,604
387,,,,,310000,,800,500.0,4.95,,608
387,,,,,310000,,800,500.0,4.95,,612
387,,,,,310000,,800,500.0,4.95,,616
387,,,,,310000,,800,500.0,4.95,,620
387,-12.558696746826172,15834,14.775922775268555,0.033095285296440125,320000,0.00075,826,500.0,3.57,0.00217629736289382,624
387,,,,,320000,,826,500.0,3.57,,628
387,,,,,320000,,826,500.0,3.57,,632
387,,,,,320000,,826,500.0,3.57,,636
387,,,,,320000,,826,500.0,3.57,,640
387,-12.465831756591797,16334,-0.999040961265564,0.02301674708724022,330000,0.00075,852,500.0,11.9,0.002145234262570739,644
386,,,,,330000,,852,500.0,11.9,,648
386,,,,,330000,,852,500.0,11.9,,652
386,,,,,330000,,852,500.0,11.9,,656
386,,,,,330000,,852,500.0,11.9,,660
386,-12.12782096862793,16834,6.324800968170166,0.02251574769616127,340000,0.00075,878,500.0,13.32,0.002090404275804758,664
386,,,,,340000,,878,500.0,13.32,,668
386,,,,,340000,,878,500.0,13.32,,672
386,,,,,340000,,878,500.0,13.32,,676
386,,,,,340000,,878,500.0,13.32,,680
386,-12.145071029663086,17334,30.53155517578125,0.025996210053563118,350000,0.00075,905,500.0,26.0,0.0026466320268809795,684
386,,,,,350000,,905,500.0,26.0,,688
386,,,,,350000,,905,500.0,26.0,,692
386,,,,,350000,,905,500.0,26.0,,696
386,,,,,350000,,905,500.0,26.0,,700
386,-11.79769229888916,17834,3.8482375144958496,1.0940992832183838,360000,0.00075,931,500.0,28.16,0.0026956454385071993,704
386,,,,,360000,,931,500.0,28.16,,708
386,,,,,360000,,931,500.0,28.16,,712
386,,,,,360000,,931,500.0,28.16,,716
386,,,,,360000,,931,500.0,28.16,,720
386,-11.61602783203125,18334,-0.09286975860595703,0.02245539054274559,370000,0.00075,957,500.0,34.5,0.0028425066266208887,724
386,,,,,370000,,957,500.0,34.5,,728
386,,,,,370000,,957,500.0,34.5,,732
386,,,,,370000,,957,500.0,34.5,,736
386,,,,,370000,,957,500.0,34.5,,740
386,-11.460367202758789,18834,5.657406330108643,0.02426515333354473,380000,0.00075,983,500.0,26.17,0.0028563940431922674,744
386,,,,,380000,,983,500.0,26.17,,748
386,,,,,380000,,983,500.0,26.17,,752
