rollout/ep_len_mean,train/ent_coef_loss,time/time_elapsed,time/total_timesteps,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/fps,train/ent_coef
500.0,-2.9469034671783447,20,10000,334,-12.151678085327148,0.00075,0.05477439984679222,0.0,4,478,0.7788406014442444
500.0,,20,10000,,,,,0.0,8,478,
500.0,,20,10000,,,,,0.0,12,478,
500.0,,20,10000,,,,,0.0,16,477,
500.0,,20,10000,,,,,0.0,20,477,
500.0,-7.386865615844727,43,20000,834,-15.978923797607422,0.00075,0.038779158145189285,0.0,24,458,0.5352268815040588
500.0,,43,20000,,,,,0.0,28,458,
500.0,,43,20000,,,,,0.0,32,458,
500.0,,43,20000,,,,,0.0,36,458,
500.0,,43,20000,,,,,0.0,40,458,
500.0,-11.78045654296875,68,30000,1334,-18.959678649902344,0.00075,0.024582043290138245,0.0,44,439,0.3678329288959503
500.0,,68,30000,,,,,0.0,48,439,
500.0,,68,30000,,,,,0.0,52,439,
500.0,,68,30000,,,,,0.0,56,439,
500.0,,68,30000,,,,,0.0,60,439,
500.0,-16.122783660888672,89,40000,1834,-20.859046936035156,0.00075,0.065130814909935,0.0,64,448,0.2528364360332489
500.0,,89,40000,,,,,0.0,68,448,
500.0,,89,40000,,,,,0.0,72,448,
500.0,,89,40000,,,,,0.0,76,448,
500.0,,89,40000,,,,,0.0,80,448,
500.0,-20.62042999267578,112,50000,2334,-21.953706741333008,0.00075,0.04445676505565643,0.74,84,443,0.17384377121925354
500.0,,112,50000,,,,,0.74,88,443,
500.0,,112,50000,,,,,0.74,92,443,
500.0,,112,50000,,,,,0.74,96,443,
500.0,,112,50000,,,,,0.74,100,443,
500.0,-25.014934539794922,138,60000,2834,-22.272428512573242,0.00075,0.027302132919430733,0.74,104,432,0.11953521519899368
500.0,,138,60000,,,,,0.74,108,432,
500.0,,138,60000,,,,,0.74,112,432,
500.0,,138,60000,,,,,0.74,116,432,
500.0,,138,60000,,,,,0.74,120,432,
500.0,-29.210908889770508,164,70000,3334,-22.463848114013672,0.00075,0.028182867914438248,0.74,124,425,0.08230359852313995
500.0,,164,70000,,,,,0.74,128,425,
500.0,,164,70000,,,,,0.74,132,425,
500.0,,164,70000,,,,,0.74,136,425,
500.0,,164,70000,,,,,0.74,140,425,
500.0,-33.126617431640625,188,80000,3834,-22.416950225830078,0.00075,0.024123627692461014,0.74,144,424,0.05676097422838211
500.0,,188,80000,,,,,0.74,148,424,
500.0,,188,80000,,,,,0.74,152,424,
500.0,,188,80000,,,,,0.74,156,424,
500.0,,188,80000,,,,,0.74,160,424,
500.0,-36.83702087402344,213,90000,4334,-21.910717010498047,0.00075,0.01964801363646984,0.74,164,421,0.03923298791050911
500.0,,213,90000,,,,,0.74,168,421,
500.0,,213,90000,,,,,0.74,172,421,
500.0,,213,90000,,,,,0.74,176,421,
500.0,,213,90000,,,,,0.74,180,421,
