time/total_timesteps,train/learning_rate,train/ent_coef_loss,time/time_elapsed,time/episodes,train/critic_loss,time/fps,train/ent_coef,train/n_updates,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean
10000,0.00075,-2.9521989822387695,18,4,0.08335594832897186,534,0.7788116931915283,334,-12.270331382751465,500.0,0.0
10000,,,18,8,,534,,,,500.0,0.0
10000,,,18,12,,534,,,,500.0,0.0
10000,,,18,16,,534,,,,500.0,0.0
10000,,,18,20,,534,,,,500.0,0.0
20000,0.00075,-7.365459442138672,38,24,0.039413657039403915,521,0.5351746082305908,834,-16.207958221435547,500.0,0.0
20000,,,38,28,,521,,,,500.0,0.0
20000,,,38,32,,521,,,,500.0,0.0
20000,,,38,36,,521,,,,500.0,0.0
20000,,,38,40,,521,,,,500.0,0.0
30000,0.00075,-11.716241836547852,57,44,0.041423581540584564,517,0.367802232503891,1334,-19.24517822265625,500.0,0.0
30000,,,57,48,,517,,,,500.0,0.0
30000,,,57,52,,517,,,,500.0,0.0
30000,,,57,56,,517,,,,500.0,0.0
30000,,,57,60,,517,,,,500.0,0.0
40000,0.00075,-16.245569229125977,78,64,0.09703041613101959,508,0.25281909108161926,1834,-20.667694091796875,500.0,0.0
40000,,,78,68,,508,,,,500.0,0.0
40000,,,78,72,,508,,,,500.0,0.0
40000,,,78,76,,508,,,,500.0,0.0
40000,,,78,80,,508,,,,500.0,0.0
50000,0.00075,-20.366539001464844,99,84,0.04047979786992073,504,0.17379869520664215,2334,-22.153287887573242,500.0,0.0
50000,,,99,88,,504,,,,500.0,0.0
50000,,,99,92,,504,,,,500.0,0.0
50000,,,99,96,,504,,,,500.0,0.0
50000,,,99,100,,504,,,,500.0,0.0
60000,0.00075,-24.957956314086914,119,104,0.041966263204813004,502,0.1195506826043129,2834,-22.591434478759766,500.0,0.0
60000,,,119,108,,502,,,,500.0,0.0
60000,,,119,112,,502,,,,500.0,0.0
60000,,,119,116,,502,,,,500.0,0.0
60000,,,119,120,,502,,,,500.0,0.0
70000,0.00075,-28.981834411621094,139,124,0.2434459924697876,502,0.08232370018959045,3334,-22.14297103881836,500.0,0.0
70000,,,139,128,,502,,,,500.0,0.0
70000,,,139,132,,502,,,,500.0,0.0
70000,,,139,136,,502,,,,500.0,0.0
70000,,,139,140,,502,,,,500.0,0.0
80000,0.00075,-33.15393829345703,160,144,0.03653547167778015,499,0.05678800493478775,3834,-22.371265411376953,500.0,0.0
80000,,,160,148,,499,,,,500.0,0.0
80000,,,160,152,,499,,,,500.0,0.0
80000,,,160,156,,499,,,,500.0,0.0
80000,,,160,160,,498,,,,500.0,0.0
90000,0.00075,-37.568965911865234,185,164,0.030627069994807243,486,0.0392918661236763,4334,-21.902294158935547,500.0,0.0
90000,,,185,168,,486,,,,500.0,0.0
90000,,,185,172,,486,,,,500.0,0.0
90000,,,185,176,,486,,,,500.0,0.0
90000,,,185,180,,486,,,,500.0,0.0
100000,0.00075,-39.392059326171875,210,184,0.02223055437207222,475,0.02739507332444191,4834,-21.734371185302734,500.0,0.0
100000,,,210,188,,475,,,,500.0,0.0
100000,,,210,192,,475,,,,500.0,0.0
100000,,,210,196,,475,,,,500.0,0.0
100000,,,210,200,,475,,,,500.0,0.0
110000,0.00075,-40.621116638183594,236,204,0.05180605873465538,465,0.019158516079187393,5334,-21.16313934326172,500.0,9.46
110000,,,236,208,,465,,,,500.0,9.46
110000,,,236,212,,465,,,,500.0,9.46
110000,,,236,216,,465,,,,500.0,9.46
110000,,,236,220,,465,,,,500.0,9.46
120000,0.00075,-41.09400939941406,257,224,0.02771291509270668,465,0.013789580203592777,5834,-20.850248336791992,500.0,9.46
120000,,,257,228,,465,,,,500.0,9.46
120000,,,257,232,,465,,,,500.0,9.46
120000,,,257,236,,465,,,,500.0,9.46
120000,,,258,240,,465,,,,500.0,9.46
130000,0.00075,-33.91730499267578,278,244,0.03613398224115372,466,0.010305210016667843,6334,-20.167572021484375,500.0,9.92
130000,,,278,248,,466,,,,500.0,9.92
130000,,,278,252,,466,,,,500.0,9.92
130000,,,278,256,,466,,,,500.0,9.92
130000,,,278,260,,466,,,,500.0,9.92
140000,0.00075,-31.479637145996094,300,264,0.05106169730424881,465,0.007903105579316616,6834,-19.246023178100586,500.0,27.4
140000,,,300,268,,465,,,,500.0,27.4
140000,,,300,272,,465,,,,500.0,27.4
140000,,,300,276,,465,,,,500.0,27.4
140000,,,300,280,,465,,,,500.0,27.4
150000,0.00075,-26.580528259277344,322,284,0.06061559543013573,464,0.006315644830465317,7334,-19.026674270629883,500.0,27.4
150000,,,322,288,,464,,,,500.0,27.4
150000,,,322,292,,464,,,,500.0,27.4
150000,,,322,296,,464,,,,500.0,27.4
150000,,,322,300,,464,,,,500.0,27.4
160000,0.00075,-17.488418579101562,346,304,0.06274071335792542,461,0.005635685287415981,7834,-18.47146224975586,500.0,17.99
160000,,,346,308,,461,,,,500.0,17.99
160000,,,346,312,,461,,,,500.0,17.99
160000,,,346,316,,461,,,,500.0,17.99
160000,,,346,320,,461,,,,500.0,17.99
170000,0.00075,17.199371337890625,374,324,0.06380024552345276,454,0.004819378722459078,8334,-18.483638763427734,500.0,17.99
170000,,,374,328,,454,,,,500.0,17.99
170000,,,374,332,,454,,,,500.0,17.99
170000,,,374,336,,454,,,,500.0,17.99
170000,,,374,340,,454,,,,500.0,17.99
180000,0.00075,-4.713690280914307,400,344,0.056853555142879486,449,0.0043787830509245396,8834,-17.823516845703125,500.0,17.53
180000,,,400,348,,449,,,,500.0,17.53
180000,,,400,352,,449,,,,500.0,17.53
180000,,,400,356,,449,,,,500.0,17.53
180000,,,400,360,,449,,,,500.0,17.53
190000,0.00075,4.1415910720825195,427,364,0.059938304126262665,444,0.004244363401085138,9334,-17.47430992126465,500.0,1.14
190000,,,427,368,,444,,,,500.0,1.14
190000,,,427,372,,444,,,,500.0,1.14
190000,,,427,376,,444,,,,500.0,1.14
190000,,,427,380,,444,,,,500.0,1.14
