rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/actor_loss,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,time/episodes,train/ent_coef,train/ent_coef_loss,train/critic_loss,time/fps
500.0,10000,0.00075,-12.238874435424805,0.0,334,21,4,0.7788286805152893,-2.940251588821411,0.06893634051084518,456
500.0,10000,,,0.0,,21,8,,,,455
500.0,10000,,,0.0,,21,12,,,,455
500.0,10000,,,0.0,,21,16,,,,455
500.0,10000,,,0.0,,21,20,,,,455
500.0,20000,0.00075,-16.16571617126465,0.0,834,47,24,0.5351759791374207,-7.345781326293945,1.5002070665359497,422
500.0,20000,,,0.0,,47,28,,,,422
500.0,20000,,,0.0,,47,32,,,,422
500.0,20000,,,0.0,,47,36,,,,422
500.0,20000,,,0.0,,47,40,,,,422
500.0,30000,0.00075,-19.237621307373047,0.0,1334,73,44,0.36782965064048767,-11.801945686340332,0.027775874361395836,408
500.0,30000,,,0.0,,73,48,,,,408
500.0,30000,,,0.0,,73,52,,,,408
500.0,30000,,,0.0,,73,56,,,,408
500.0,30000,,,0.0,,73,60,,,,408
500.0,40000,0.00075,-21.097930908203125,0.0,1834,98,64,0.2528274655342102,-16.215612411499023,0.08633684366941452,405
500.0,40000,,,0.0,,98,68,,,,405
500.0,40000,,,0.0,,98,72,,,,405
500.0,40000,,,0.0,,98,76,,,,405
500.0,40000,,,0.0,,98,80,,,,405
500.0,50000,0.00075,-22.01022720336914,0.0,2334,124,84,0.17382007837295532,-20.45197296142578,3.472871780395508,402
500.0,50000,,,0.0,,124,88,,,,402
500.0,50000,,,0.0,,124,92,,,,402
500.0,50000,,,0.0,,124,96,,,,402
500.0,50000,,,0.0,,124,100,,,,402
500.0,60000,0.00075,-22.38876724243164,0.0,2834,149,104,0.11960534006357193,-24.874435424804688,0.01865246519446373,401
500.0,60000,,,0.0,,149,108,,,,401
500.0,60000,,,0.0,,149,112,,,,401
500.0,60000,,,0.0,,149,116,,,,401
500.0,60000,,,0.0,,149,120,,,,401
500.0,70000,0.00075,-22.318593978881836,0.0,3334,175,124,0.08240128308534622,-28.482868194580078,0.03029080480337143,399
500.0,70000,,,0.0,,175,128,,,,399
500.0,70000,,,0.0,,175,132,,,,399
500.0,70000,,,0.0,,175,136,,,,399
500.0,70000,,,0.0,,175,140,,,,399
500.0,80000,0.00075,-22.402652740478516,0.0,3834,200,144,0.05688253417611122,-33.129539489746094,0.053284093737602234,398
500.0,80000,,,0.0,,200,148,,,,398
500.0,80000,,,0.0,,200,152,,,,398
500.0,80000,,,0.0,,200,156,,,,398
500.0,80000,,,0.0,,200,160,,,,398
500.0,90000,0.00075,-21.852691650390625,0.0,4334,226,164,0.039381787180900574,-36.425743103027344,6.464110374450684,398
500.0,90000,,,0.0,,226,168,,,,398
500.0,90000,,,0.0,,226,172,,,,398
500.0,90000,,,0.0,,226,176,,,,398
500.0,90000,,,0.0,,226,180,,,,398
500.0,100000,0.00075,-21.10721206665039,0.0,4834,251,184,0.02753952518105507,-38.24855041503906,0.0826512947678566,397
500.0,100000,,,0.0,,251,188,,,,397
500.0,100000,,,0.0,,251,192,,,,397
500.0,100000,,,0.0,,251,196,,,,397
500.0,100000,,,0.0,,251,200,,,,397
500.0,110000,0.00075,-20.934009552001953,0.0,5334,276,204,0.019457554444670677,-40.167659759521484,0.02489396557211876,398
500.0,110000,,,0.0,,276,208,,,,398
500.0,110000,,,0.0,,276,212,,,,398
500.0,110000,,,0.0,,276,216,,,,398
500.0,110000,,,0.0,,276,220,,,,398
500.0,120000,0.00075,-20.513347625732422,0.0,5834,301,224,0.013928217813372612,-38.1772346496582,0.08352327346801758,398
500.0,120000,,,0.0,,301,228,,,,398
500.0,120000,,,0.0,,301,232,,,,398
500.0,120000,,,0.0,,301,236,,,,398
500.0,120000,,,0.0,,301,240,,,,398
500.0,130000,0.00075,-19.89083480834961,0.0,6334,326,244,0.01024121418595314,-29.33401870727539,5.132126808166504,398
500.0,130000,,,0.0,,326,248,,,,398
500.0,130000,,,0.0,,326,252,,,,398
500.0,130000,,,0.0,,326,256,,,,398
500.0,130000,,,0.0,,326,260,,,,398
500.0,140000,0.00075,-19.422176361083984,0.0,6834,352,264,0.007833411917090416,-28.70883560180664,0.027800854295492172,397
500.0,140000,,,0.0,,352,268,,,,397
500.0,140000,,,0.0,,352,272,,,,397
500.0,140000,,,0.0,,352,276,,,,397
500.0,140000,,,0.0,,352,280,,,,397
500.0,150000,0.00075,-18.883760452270508,0.0,7334,377,284,0.0062533775344491005,-19.448760986328125,0.09046371281147003,396
500.0,150000,,,0.0,,377,288,,,,396
500.0,150000,,,0.0,,377,292,,,,396
500.0,150000,,,0.0,,377,296,,,,396
500.0,150000,,,0.0,,377,300,,,,396
500.0,160000,0.00075,-18.554033279418945,0.0,7834,404,304,0.0049561429768800735,-28.030906677246094,0.02717774175107479,395
500.0,160000,,,0.0,,404,308,,,,395
500.0,160000,,,0.0,,404,312,,,,395
500.0,160000,,,0.0,,404,316,,,,395
500.0,160000,,,0.0,,404,320,,,,395
500.0,170000,0.00075,-18.0472412109375,1.94,8334,430,324,0.004135568160563707,-14.317577362060547,0.03169405460357666,394
500.0,170000,,,1.94,,430,328,,,,394
500.0,170000,,,1.94,,430,332,,,,394
500.0,170000,,,1.94,,430,336,,,,394
500.0,170000,,,1.94,,430,340,,,,394
