train/ent_coef_loss,train/learning_rate,train/n_updates,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,train/ent_coef,time/time_elapsed
-2.9487123489379883,0.00075,334,10000,4,500.0,449,-12.12275218963623,0.0,0.08369278907775879,0.7788448929786682,22
,,,10000,8,500.0,448,,0.0,,,22
,,,10000,12,500.0,448,,0.0,,,22
,,,10000,16,500.0,448,,0.0,,,22
,,,10000,20,500.0,448,,0.0,,,22
-7.346353530883789,0.00075,834,20000,24,500.0,422,-16.00002670288086,0.0,0.04484076797962189,0.5352323055267334,47
,,,20000,28,500.0,422,,0.0,,,47
,,,20000,32,500.0,422,,0.0,,,47
,,,20000,36,500.0,422,,0.0,,,47
,,,20000,40,500.0,422,,0.0,,,47
-11.81144905090332,0.00075,1334,30000,44,500.0,410,-18.837854385375977,0.0,2.374063491821289,0.36785489320755005,73
,,,30000,48,500.0,410,,0.0,,,73
,,,30000,52,500.0,410,,0.0,,,73
,,,30000,56,500.0,410,,0.0,,,73
,,,30000,60,500.0,410,,0.0,,,73
-16.162551879882812,0.00075,1834,40000,64,500.0,406,-20.752296447753906,0.0,0.017247900366783142,0.2528258264064789,98
,,,40000,68,500.0,406,,0.0,,,98
,,,40000,72,500.0,406,,0.0,,,98
,,,40000,76,500.0,406,,0.0,,,98
,,,40000,80,500.0,406,,0.0,,,98
-20.4658203125,0.00075,2334,50000,84,500.0,403,-21.902812957763672,0.0,0.012496856972575188,0.17380177974700928,123
,,,50000,88,500.0,403,,0.0,,,123
,,,50000,92,500.0,403,,0.0,,,123
,,,50000,96,500.0,403,,0.0,,,123
,,,50000,100,500.0,403,,0.0,,,123
-24.94780731201172,0.00075,2834,60000,104,500.0,402,-22.50562858581543,0.0,0.014912521466612816,0.11951979994773865,149
,,,60000,108,500.0,402,,0.0,,,149
,,,60000,112,500.0,402,,0.0,,,149
,,,60000,116,500.0,402,,0.0,,,149
,,,60000,120,500.0,402,,0.0,,,149
-29.413883209228516,0.00075,3334,70000,124,500.0,399,-22.321035385131836,0.0,3.8156700134277344,0.08229779452085495,175
,,,70000,128,500.0,399,,0.0,,,175
,,,70000,132,500.0,399,,0.0,,,175
,,,70000,136,500.0,399,,0.0,,,175
,,,70000,140,500.0,399,,0.0,,,175
-32.05241012573242,0.00075,3834,80000,144,500.0,398,-21.99080467224121,0.0,0.05230844393372536,0.05673954263329506,200
,,,80000,148,500.0,398,,0.0,,,200
,,,80000,152,500.0,398,,0.0,,,200
,,,80000,156,500.0,398,,0.0,,,200
,,,80000,160,500.0,398,,0.0,,,200
-36.920352935791016,0.00075,4334,90000,164,500.0,397,-21.930450439453125,0.0,0.0446358360350132,0.039370834827423096,226
,,,90000,168,500.0,397,,0.0,,,226
,,,90000,172,500.0,397,,0.0,,,226
,,,90000,176,500.0,397,,0.0,,,226
,,,90000,180,500.0,397,,0.0,,,226
-37.29252624511719,0.00075,4834,100000,184,500.0,395,-21.340164184570312,1.03,0.04354080185294151,0.02741587720811367,253
,,,100000,188,500.0,395,,1.03,,,253
,,,100000,192,500.0,395,,1.03,,,253
