train/actor_loss,time/episodes,time/total_timesteps,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef
-12.060376167297363,4,10000,334,0.07504932582378387,-2.9406914710998535,500.0,330,0.00075,30,4.8822073,0.7788248062133789
,8,10000,,,,500.0,330,,30,4.8822073,
,12,10000,,,,500.0,330,,30,4.8822073,
,16,10000,,,,500.0,330,,30,4.8822073,
,20,10000,,,,500.0,330,,30,4.8822073,
-15.974554061889648,24,20000,834,1.4677796363830566,-7.347221851348877,500.0,308,0.00075,64,2.9009550500000003,0.5351619124412537
,28,20000,,,,500.0,308,,64,2.9009550500000003,
,32,20000,,,,500.0,308,,64,2.9009550500000003,
,36,20000,,,,500.0,308,,64,2.9009550500000003,
,40,20000,,,,500.0,307,,64,2.9009550500000003,
-19.022953033447266,44,30000,1334,0.0364079475402832,-11.80069637298584,500.0,307,0.00075,97,2.447896116666667,0.36783063411712646
,48,30000,,,,500.0,307,,97,2.447896116666667,
,52,30000,,,,500.0,307,,97,2.447896116666667,
,56,30000,,,,500.0,307,,97,2.447896116666667,
,60,30000,,,,500.0,306,,97,2.447896116666667,
-20.913095474243164,64,40000,1834,0.06925434619188309,-16.222061157226562,500.0,307,0.00075,130,2.1441400875000003,0.25285348296165466
,68,40000,,,,500.0,307,,130,2.1441400875000003,
,72,40000,,,,500.0,307,,130,2.1441400875000003,
,76,40000,,,,500.0,307,,130,2.1441400875000003,
,80,40000,,,,500.0,307,,130,2.1441400875000003,
-21.80392074584961,84,50000,2334,3.400742530822754,-20.43651580810547,500.0,306,0.00075,162,1.9789237600000005,0.17384010553359985
,88,50000,,,,500.0,306,,162,1.9789237600000005,
,92,50000,,,,500.0,306,,162,1.9789237600000005,
,96,50000,,,,500.0,306,,162,1.9789237600000005,
,100,50000,,,,500.0,306,,162,1.9789237600000005,
-22.37883949279785,104,60000,2834,0.02414298802614212,-24.838104248046875,500.0,308,0.00075,194,1.2515120700000002,0.1196366548538208
,108,60000,,,,500.0,308,,194,1.2515120700000002,
,112,60000,,,,500.0,308,,194,1.2515120700000002,
,116,60000,,,,500.0,307,,194,1.2515120700000002,
,120,60000,,,,500.0,307,,194,1.2515120700000002,
-22.24935531616211,124,70000,3334,0.0294509157538414,-28.60132598876953,500.0,308,0.00075,227,1.23162955,0.08253883570432663
,128,70000,,,,500.0,308,,227,1.23162955,
,132,70000,,,,500.0,308,,227,1.23162955,
,136,70000,,,,500.0,308,,227,1.23162955,
,140,70000,,,,500.0,308,,227,1.23162955,
-22.404504776000977,144,80000,3834,0.043800465762615204,-33.3922119140625,500.0,309,0.00075,258,1.1522533,0.057005442678928375
,148,80000,,,,500.0,309,,258,1.1522533,
,152,80000,,,,500.0,308,,258,1.1522533,
,156,80000,,,,500.0,308,,258,1.1522533,
,160,80000,,,,500.0,308,,258,1.1522533,
-21.617507934570312,164,90000,4334,5.5679521560668945,-36.00212478637695,500.0,308,0.00075,291,1.03950809,0.03948260098695755
,168,90000,,,,500.0,308,,291,1.03950809,
,172,90000,,,,500.0,308,,291,1.03950809,
,176,90000,,,,500.0,308,,291,1.03950809,
,180,90000,,,,500.0,308,,291,1.03950809,
-21.20828628540039,184,100000,4834,0.057075247168540955,-38.632686614990234,500.0,308,0.00075,324,1.04204264,0.027625251561403275
,188,100000,,,,500.0,308,,324,1.04204264,
,192,100000,,,,500.0,308,,324,1.04204264,
,196,100000,,,,500.0,308,,324,1.04204264,
,200,100000,,,,500.0,308,,324,1.04204264,
