train/learning_rate,train/actor_loss,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,time/episodes,train/ent_coef,rollout/ep_len_mean,train/critic_loss
0.00075,-11.600327491760254,0.0,245,264,7000,-2.3206145763397217,28,10,0.8208616375923157,500.0,0.07027129083871841
0.00075,-15.450301170349121,0.0,230,764,14000,-6.728557586669922,60,20,0.56409752368927,500.0,0.03162346035242081
0.00075,-18.795677185058594,0.0,225,1264,21000,-11.116371154785156,92,30,0.3876737952232361,500.0,0.04950504004955292
,,0.0,225,,21000,,92,40,,500.0,
0.00075,-20.742828369140625,0.0,224,1764,28000,-15.621336936950684,124,50,0.26647859811782837,500.0,2.934555768966675
0.00075,-21.80120277404785,0.0,223,2264,35000,-20.029869079589844,156,60,0.1832026094198227,500.0,0.02917584776878357
,,0.0,223,,35000,,156,70,,500.0,
0.00075,-22.423336029052734,0.0,222,2764,42000,-24.317325592041016,188,80,0.12600316107273102,500.0,0.0347609706223011
0.00075,-22.440662384033203,0.0,222,3264,49000,-28.55339813232422,219,90,0.08674361556768417,500.0,0.06403441727161407
0.00075,-22.411462783813477,0.0,222,3764,56000,-31.925058364868164,251,100,0.05984663963317871,500.0,0.03660619258880615
,,0.0,222,,56000,,251,110,,500.0,
0.00075,-21.75460433959961,0.0,223,4264,63000,-34.3865852355957,281,120,0.04145119711756706,500.0,7.0795512199401855
0.00075,-21.82303810119629,0.0,224,4764,70000,-39.22827911376953,312,130,0.028910374268889427,500.0,3.1502368450164795
,,0.0,224,,70000,,312,140,,500.0,
0.00075,-21.037944793701172,0.0,224,5264,77000,-42.51976776123047,343,150,0.020254312083125114,500.0,3.5735065937042236
0.00075,-20.806808471679688,0.0,223,5764,84000,-39.06418991088867,376,160,0.014546355232596397,500.0,3.274162769317627
0.00075,-19.90021324157715,0.0,222,6264,91000,-36.19377517700195,408,170,0.010723017156124115,500.0,3.185732841491699
,,0.0,222,,91000,,408,180,,500.0,
0.00075,-19.690109252929688,0.0,222,6764,98000,-30.73162841796875,440,190,0.008179828524589539,500.0,2.790684461593628
0.00075,-19.046737670898438,0.0,222,7264,105000,-28.77932357788086,472,200,0.006426813080906868,500.0,0.04191768914461136
,,0.0,222,,105000,,472,210,,500.0,
0.00075,-18.461994171142578,0.0,221,7764,112000,-22.17176055908203,505,220,0.005243049003183842,500.0,0.07536740601062775
0.00075,-17.985591888427734,0.0,221,8264,119000,-17.850637435913086,537,230,0.004511743783950806,500.0,0.04816104471683502
0.00075,-17.215639114379883,0.0,220,8764,126000,-0.8277760744094849,570,240,0.004056093282997608,500.0,0.09576846659183502
,,0.0,220,,126000,,570,250,,500.0,
0.00075,-17.00027847290039,0.0,220,9264,133000,3.0294973850250244,602,260,0.003783406922593713,500.0,0.027692653238773346
0.00075,-16.988204956054688,0.76,220,9764,140000,9.753768920898438,633,270,0.0035033035092055798,500.0,2.282118558883667
,,0.76,220,,140000,,633,280,,500.0,
0.00075,-16.025089263916016,0.76,220,10264,147000,3.0963611602783203,665,290,0.00350208580493927,500.0,0.0367022305727005
0.00075,-16.322065353393555,0.76,220,10764,154000,-5.005740642547607,698,300,0.0033911089412868023,500.0,2.057814598083496
