train/ent_coef_loss,rollout/ep_len_mean,train/n_updates,train/learning_rate,rollout/ep_rew_mean,train/ent_coef,train/actor_loss,time/time_elapsed,train/critic_loss,time/total_timesteps,time/episodes,time/fps
-2.3373334407806396,500.0,264,0.00075,0.0,0.8208789825439453,-11.606306076049805,27,0.06708374619483948,7000,10,254
-6.760601997375488,500.0,764,0.00075,0.0,0.5641337633132935,-15.777092933654785,61,0.03300143778324127,14000,20,227
-11.090116500854492,500.0,1264,0.00075,0.0,0.3876686096191406,-18.55217170715332,93,0.03230588138103485,21000,30,225
,500.0,,,0.0,,,93,,21000,40,225
-15.599677085876465,500.0,1764,0.00075,0.0,0.26644954085350037,-20.855812072753906,124,0.09282214939594269,28000,50,224
-20.079742431640625,500.0,2264,0.00075,0.0,0.1831756830215454,-21.57026481628418,155,0.11893956363201141,35000,60,224
,500.0,,,0.0,,,155,,35000,70,224
-23.949565887451172,500.0,2764,0.00075,0.0,0.12600372731685638,-22.190635681152344,187,0.09035300463438034,42000,80,224
-28.377538681030273,500.0,3264,0.00075,0.0,0.08679939061403275,-22.445541381835938,218,3.54654598236084,49000,90,223
-32.025489807128906,500.0,3764,0.00075,0.0,0.0599726103246212,-22.491409301757812,250,0.022074991837143898,56000,100,223
,500.0,,,0.0,,,250,,56000,110,223
-35.361541748046875,500.0,4264,0.00075,0.0,0.04161133989691734,-21.848876953125,281,0.02351059764623642,63000,120,223
-38.191673278808594,500.0,4764,0.00075,0.0,0.02901848964393139,-21.54055404663086,313,3.142503261566162,70000,130,223
,500.0,,,0.0,,,313,,70000,140,223
-38.65809631347656,500.0,5264,0.00075,0.0,0.020530767738819122,-21.26766586303711,345,3.2854113578796387,77000,150,222
-39.22859573364258,500.0,5764,0.00075,0.0,0.01481841690838337,-20.260635375976562,377,3.399020195007324,84000,160,222
-28.072772979736328,500.0,6264,0.00075,0.0,0.010998803190886974,-19.946075439453125,408,0.06107523664832115,91000,170,222
,500.0,,,0.0,,,408,,91000,180,222
-18.562332153320312,500.0,6764,0.00075,0.0,0.00834743119776249,-19.67847442626953,440,0.05190480127930641,98000,190,222
-23.949695587158203,500.0,7264,0.00075,0.0,0.006761316210031509,-19.158477783203125,470,0.03776630386710167,105000,200,223
,500.0,,,0.0,,,470,,105000,210,223
-13.922850608825684,500.0,7764,0.00075,0.0,0.0054230475798249245,-18.80304718017578,502,0.07830899208784103,112000,220,222
-17.885204315185547,500.0,8264,0.00075,0.0,0.004631000570952892,-17.91759490966797,533,0.018463294953107834,119000,230,222
0.31483545899391174,500.0,8764,0.00075,0.0,0.00405140221118927,-17.420928955078125,565,0.09263749420642853,126000,240,222
,500.0,,,0.0,,,565,,126000,250,222
-7.229852676391602,500.0,9264,0.00075,0.0,0.0035379326436668634,-17.011302947998047,597,0.08150312304496765,133000,260,222
12.960704803466797,500.0,9764,0.00075,0.0,0.0034919092431664467,-16.708011627197266,628,0.09194211661815643,140000,270,222
,500.0,,,0.0,,,628,,140000,280,222
-7.059750080108643,500.0,10264,0.00075,0.0,0.003310524858534336,-16.090423583984375,659,2.161513566970825,147000,290,222
-7.466217994689941,500.0,10764,0.00075,0.0,0.002916815923526883,-16.285263061523438,690,0.03309653699398041,154000,300,223
5.832249164581299,500.0,11264,0.00075,0.0,0.0028190654702484608,-15.852045059204102,721,0.041380345821380615,161000,310,223
,500.0,,,0.0,,,721,,161000,320,223
-4.381204605102539,500.0,11764,0.00075,0.0,0.00291591789573431,-15.2896728515625,752,0.05522022396326065,168000,330,223
2.0360255241394043,500.0,12264,0.00075,0.0,0.0028323589358478785,-14.958172798156738,783,0.0222947858273983,175000,340,223
,500.0,,,0.0,,,783,,175000,350,223
-2.4745426177978516,500.0,12764,0.00075,0.0,0.002738275798037648,-14.903356552124023,814,0.021023865789175034,182000,360,223
-13.103754043579102,500.0,13264,0.00075,0.0,0.0029918313957750797,-14.255655288696289,845,0.01746290922164917,189000,370,223
-4.650571823120117,500.0,13764,0.00075,0.0,0.0026065593119710684,-14.158933639526367,878,0.018889643251895905,196000,380,223
,500.0,,,0.0,,,878,,196000,390,223
-1.392982006072998,500.0,14264,0.00075,0.0,0.0025407278444617987,-13.857608795166016,910,0.023552101105451584,203000,400,222
-5.726855278015137,500.0,14764,0.00075,0.0,0.002386034233495593,-13.762890815734863,941,0.04629106447100639,210000,410,222
,500.0,,,0.0,,,941,,210000,420,222
-3.796525716781616,500.0,15264,0.00075,0.0,0.0021057610865682364,-13.727137565612793,973,0.4903055429458618,217000,430,222
