rollout/ep_rew_mean,train/n_updates,train/ent_coef_loss,train/critic_loss,train/actor_loss,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,train/learning_rate,train/ent_coef,time/total_timesteps
0.0,264,-2.3197782039642334,0.07111844420433044,-11.650074005126953,10,500.0,255,27,0.00075,0.8208167552947998,7000
0.0,764,-6.746821403503418,1.3847270011901855,-15.677504539489746,20,500.0,234,59,0.00075,0.5640339255332947,14000
0.0,1264,-11.14747428894043,0.0467999204993248,-18.9359130859375,30,500.0,226,92,0.00075,0.38764825463294983,21000
0.0,,,,,40,500.0,226,92,,,21000
0.0,1764,-15.559101104736328,0.13798514008522034,-20.62652587890625,50,500.0,220,127,0.00075,0.2664410173892975,28000
0.0,2264,-19.959949493408203,2.433255195617676,-21.486129760742188,60,500.0,218,159,0.00075,0.18315936625003815,35000
0.0,,,,,70,500.0,218,160,,,35000
0.0,2764,-24.32903289794922,3.4012956619262695,-21.890647888183594,80,500.0,220,190,0.00075,0.1259860396385193,42000
0.0,3264,-28.413467407226562,0.030391447246074677,-22.556806564331055,90,500.0,220,221,0.00075,0.08681407570838928,49000
0.0,3764,-32.42456817626953,0.06685415655374527,-22.508285522460938,100,500.0,221,253,0.00075,0.05993664637207985,56000
0.0,,,,,110,500.0,221,253,,,56000
0.0,4264,-35.34357833862305,2.8248047828674316,-22.013097763061523,120,500.0,221,284,0.00075,0.04155135899782181,63000
0.0,4764,-37.84904479980469,0.06023393198847771,-21.806625366210938,130,500.0,222,315,0.00075,0.028945811092853546,70000
0.0,,,,,140,500.0,222,315,,,70000
0.0,5264,-38.96208953857422,0.03701910376548767,-21.7236270904541,150,500.0,221,347,0.00075,0.02037268504500389,77000
0.0,5764,-38.377418518066406,4.89944314956665,-20.73390769958496,160,500.0,221,379,0.00075,0.01476635504513979,84000
0.0,6264,-30.002220153808594,0.041734687983989716,-20.397932052612305,170,500.0,221,410,0.00075,0.011030010879039764,91000
0.0,,,,,180,500.0,221,410,,,91000
0.0,6764,-18.464942932128906,0.03434018790721893,-20.005489349365234,190,500.0,221,442,0.00075,0.008717958815395832,98000
0.0,7264,-21.442337036132812,0.18149739503860474,-19.16939926147461,200,500.0,221,474,0.00075,0.006992408540099859,105000
0.0,,,,,210,500.0,221,474,,,105000
0.0,7764,-9.639169692993164,3.078531265258789,-19.15182876586914,220,500.0,220,507,0.00075,0.005573524162173271,112000
0.0,8264,-11.844523429870605,0.032560013234615326,-18.62760353088379,230,500.0,220,539,0.00075,0.0046693673357367516,119000
0.0,8764,-9.8380765914917,0.0425596684217453,-18.26171112060547,240,500.0,219,573,0.00075,0.004128835629671812,126000
0.0,,,,,250,500.0,219,573,,,126000
0.0,9264,5.568709373474121,0.03612212836742401,-17.87094497680664,260,500.0,219,606,0.00075,0.003581627272069454,133000
0.0,9764,2.4203295707702637,1.554011344909668,-17.492830276489258,270,500.0,218,640,0.00075,0.003134185215458274,140000
0.0,,,,,280,500.0,218,640,,,140000
0.0,10264,-9.696348190307617,4.079652786254883,-16.733436584472656,290,500.0,218,672,0.00075,0.0034862523898482323,147000
