train/n_updates,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/ent_coef_loss,train/ent_coef,time/fps,time/total_timesteps,train/actor_loss,time/episodes
264,500.0,0.1649441421031952,0.0,0.00075,26,-2.320214033126831,0.8207235932350159,264,7000,-11.677114486694336,10
764,500.0,0.03938446566462517,0.0,0.00075,57,-6.765167236328125,0.5639647841453552,241,14000,-15.70860767364502,20
1264,500.0,0.04559624567627907,0.0,0.00075,90,-11.14986515045166,0.3875677287578583,232,21000,-18.54033660888672,30
,500.0,,0.0,,90,,,232,21000,,40
1764,500.0,0.05090447515249252,0.0,0.00075,121,-15.583558082580566,0.2663850784301758,229,28000,-20.55890655517578,50
2264,500.0,0.05361490324139595,0.0,0.00075,154,-19.874435424804688,0.1831292361021042,226,35000,-21.610395431518555,60
,500.0,,0.0,,154,,,226,35000,,70
2764,500.0,0.03820451349020004,0.0,0.00075,186,-24.270954132080078,0.12593939900398254,225,42000,-22.186521530151367,80
3264,500.0,0.04415888339281082,0.0,0.00075,217,-28.307281494140625,0.08683359622955322,225,49000,-22.435409545898438,90
3764,500.0,0.06258918344974518,0.0,0.00075,248,-32.450233459472656,0.05994486063718796,225,56000,-22.411312103271484,100
,500.0,,0.0,,248,,,225,56000,,110
4264,500.0,0.029777299612760544,0.0,0.00075,279,-35.15370559692383,0.04155845195055008,225,63000,-22.154481887817383,120
4764,500.0,0.040771570056676865,0.0,0.00075,310,-39.75387954711914,0.028955204412341118,225,70000,-21.52212905883789,130
,500.0,,0.0,,310,,,225,70000,,140
5264,500.0,0.06559963524341583,0.0,0.00075,342,-39.563804626464844,0.02038993313908577,224,77000,-21.110273361206055,150
5764,500.0,3.136898994445801,0.0,0.00075,373,-37.26974105834961,0.014614551328122616,225,84000,-20.543163299560547,160
6264,500.0,2.790815591812134,0.0,0.00075,405,-29.580461502075195,0.01085939072072506,224,91000,-20.136940002441406,170
,500.0,,0.0,,405,,,224,91000,,180
6764,500.0,0.19807209074497223,0.0,0.00075,436,-21.68794822692871,0.008265049196779728,224,98000,-19.66011619567871,190
7264,500.0,2.551809787750244,0.0,0.00075,468,-24.041431427001953,0.006308728363364935,224,105000,-19.229875564575195,200
,500.0,,0.0,,468,,,224,105000,,210
7764,500.0,0.030278079211711884,0.0,0.00075,500,-22.21108055114746,0.005049481522291899,223,112000,-19.167369842529297,220
8264,500.0,0.058835629373788834,0.0,0.00075,533,-16.61162567138672,0.004350687842816114,223,119000,-18.991310119628906,230
8764,500.0,0.03539654240012169,0.0,0.00075,566,5.093695640563965,0.003913994878530502,222,126000,-18.10677146911621,240
,500.0,,0.0,,566,,,222,126000,,250
9264,500.0,0.03578696399927139,0.0,0.00075,597,2.4977495670318604,0.003760887309908867,222,133000,-17.68926239013672,260
9764,500.0,2.547389507293701,0.0,0.00075,629,-10.435588836669922,0.0037489288952201605,222,140000,-17.281803131103516,270
,500.0,,0.0,,629,,,222,140000,,280
10264,500.0,0.02774816006422043,0.0,0.00075,661,-5.051361083984375,0.0036548904608935118,222,147000,-16.987163543701172,290
10764,500.0,0.02476472407579422,0.0,0.00075,694,16.438142776489258,0.0037391739897429943,221,154000,-16.529640197753906,300
11264,500.0,0.060473792254924774,0.0,0.00075,725,-0.9381663799285889,0.003231559880077839,221,161000,-16.064754486083984,310
,500.0,,0.0,,725,,,221,161000,,320
11764,500.0,0.04143943637609482,0.0,0.00075,757,-6.032808303833008,0.0031577127519994974,221,168000,-15.767007827758789,330
12264,500.0,0.02625596523284912,0.17,0.00075,789,-12.415311813354492,0.002983828540891409,221,175000,-15.44124698638916,340
,500.0,,0.17,,789,,,221,175000,,350
12764,500.0,0.021503319963812828,0.17,0.00075,823,0.7114601135253906,0.0028887016233056784,221,182000,-14.922944068908691,360
13264,500.0,2.307610511779785,0.17,0.00075,855,14.658954620361328,0.002619780134409666,220,189000,-14.735593795776367,370
13764,500.0,0.024927396327257156,0.17,0.00075,888,-0.4815819263458252,0.0027971621602773666,220,196000,-14.605037689208984,380
,500.0,,0.17,,888,,,220,196000,,390
14264,500.0,1.34157133102417,0.17,0.00075,922,-3.7033309936523438,0.0024026904720813036,220,203000,-14.034662246704102,400
14764,500.0,0.016226114705204964,0.17,0.00075,956,0.8533933162689209,0.0024713759776204824,219,210000,-13.645797729492188,410
,500.0,,0.17,,956,,,219,210000,,420
15264,500.0,0.027041126042604446,0.17,0.00075,989,-2.3843350410461426,0.0025606637354940176,219,217000,-13.299323081970215,430
