train/n_updates,train/ent_coef,train/critic_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/learning_rate,rollout/ep_len_mean
264,0.8207794427871704,0.07672828435897827,252,10,0.0,27,-11.638931274414062,-2.3222479820251465,7000,0.00075,500.0
764,0.5640146732330322,0.0450388565659523,232,20,0.0,60,-15.670849800109863,-6.742371559143066,14000,0.00075,500.0
1264,0.38761594891548157,3.793844223022461,225,30,0.0,93,-18.588211059570312,-11.200984954833984,21000,0.00075,500.0
,,,225,40,0.0,93,,,21000,,500.0
1764,0.26644691824913025,2.703373908996582,219,50,0.0,127,-20.822446823120117,-15.574296951293945,28000,0.00075,500.0
2264,0.18319474160671234,0.05483698099851608,217,60,0.0,160,-21.65060806274414,-19.9303035736084,35000,0.00075,500.0
,,,217,70,0.0,160,,,35000,,500.0
2764,0.12599660456180573,0.08194401115179062,218,80,0.0,192,-22.245548248291016,-24.393980026245117,42000,0.00075,500.0
3264,0.08680614829063416,7.1868696212768555,217,90,0.0,224,-22.577054977416992,-28.616466522216797,49000,0.00075,500.0
3764,0.05991148576140404,0.05547007918357849,217,100,0.0,257,-22.340576171875,-32.298492431640625,56000,0.00075,500.0
,,,217,110,0.0,257,,,56000,,500.0
4264,0.0415656678378582,0.026656532660126686,217,120,0.0,289,-22.00902557373047,-35.78663635253906,63000,0.00075,500.0
4764,0.029024668037891388,0.03827912360429764,217,130,0.0,322,-21.549381256103516,-38.02488708496094,70000,0.00075,500.0
,,,217,140,0.0,322,,,70000,,500.0
5264,0.02053852751851082,0.034137334674596786,216,150,0.0,355,-21.354591369628906,-35.229888916015625,77000,0.00075,500.0
5764,0.01480051502585411,0.07387331128120422,216,160,0.0,388,-20.577157974243164,-36.518062591552734,84000,0.00075,500.0
6264,0.011133523657917976,0.04639603942632675,215,170,0.0,421,-20.26919937133789,-31.297515869140625,91000,0.00075,500.0
,,,215,180,0.0,421,,,91000,,500.0
6764,0.008585112169384956,3.0972957611083984,215,190,0.0,454,-19.70444107055664,-23.835119247436523,98000,0.00075,500.0
7264,0.006941414438188076,0.04688568413257599,215,200,0.0,487,-19.181522369384766,-26.24530029296875,105000,0.00075,500.0
,,,215,210,0.0,487,,,105000,,500.0
7764,0.005766864400357008,0.0413191094994545,215,220,0.0,520,-18.948028564453125,-16.338207244873047,112000,0.00075,500.0
8264,0.004644743166863918,1.3825467824935913,215,230,0.0,552,-18.394319534301758,-6.112672805786133,119000,0.00075,500.0
