time/total_timesteps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/n_updates,time/episodes,train/ent_coef,rollout/ep_len_mean
7000,-11.627692222595215,0.1011534184217453,1.5272500714285717,245,28,0.00075,-2.3224596977233887,264,10,0.8208307027816772,500.0
14000,-15.603744506835938,1.3588956594467163,1.207929142857143,224,62,0.00075,-6.77561092376709,764,20,0.5640632510185242,500.0
21000,-18.61949920654297,2.0732359886169434,1.0360434523809525,217,96,0.00075,-11.150323867797852,1264,30,0.3876546323299408,500.0
21000,,,1.0360434523809525,217,96,,,,40,,500.0
28000,-21.097320556640625,0.1698734313249588,1.0314928214285712,216,129,0.00075,-15.548837661743164,1764,50,0.2664299011230469,500.0
35000,-21.808883666992188,0.2819499969482422,1.0019879571428574,217,160,0.00075,-19.92957305908203,2264,60,0.183171346783638,500.0
35000,,,1.0019879571428574,217,160,,,,70,,500.0
42000,-22.587066650390625,0.03415385261178017,1.0543989642857143,217,192,0.00075,-24.382673263549805,2764,80,0.12597353756427765,500.0
49000,-22.30966567993164,0.05244014039635658,1.0409984591836734,218,224,0.00075,-28.763477325439453,3264,90,0.08675031363964081,500.0
56000,-22.428695678710938,0.05406263843178749,0.9900413,218,256,0.00075,-32.584442138671875,3764,100,0.05982720106840134,500.0
56000,,,0.9900413,218,256,,,,110,,500.0
63000,-22.13604736328125,0.03248811885714531,0.96332119,218,288,0.00075,-36.91917419433594,4264,120,0.041542116552591324,500.0
70000,-21.86465835571289,3.2824792861938477,0.9467067999999998,218,320,0.00075,-38.34129333496094,4764,130,0.02896033599972725,500.0
70000,,,0.9467067999999998,218,320,,,,140,,500.0
77000,-21.343353271484375,0.04767172038555145,0.94817855,218,352,0.00075,-39.54723358154297,5264,150,0.020467989146709442,500.0
84000,-20.624576568603516,0.07692593336105347,0.9485307899999998,217,386,0.00075,-38.90937805175781,5764,160,0.014688202179968357,500.0
91000,-20.528011322021484,0.04036443680524826,0.8932845399999999,216,420,0.00075,-33.55126953125,6264,170,0.010768909007310867,500.0
91000,,,0.8932845399999999,216,420,,,,180,,500.0
