rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,time/episodes,time/total_timesteps,train/ent_coef_loss,train/actor_loss,time/fps,train/learning_rate,time/time_elapsed
500.0,264,1.3503145714285714,0.8208929896354675,0.1135062724351883,10,7000,-2.322220802307129,-11.615337371826172,242,0.00075,28
500.0,764,1.3420187142857143,0.5640890598297119,0.03440050035715103,20,14000,-6.775904655456543,-15.670897483825684,232,0.00075,60
500.0,1264,1.2881672857142856,0.3876684606075287,0.04395253583788872,30,21000,-11.165321350097656,-18.54983139038086,229,0.00075,91
500.0,,1.2881672857142856,,,40,21000,,,229,,91
500.0,1764,1.21131525,0.26645731925964355,0.05225599557161331,50,28000,-15.579002380371094,-20.896892547607422,227,0.00075,122
500.0,2264,1.204122685714286,0.18324297666549683,0.03364812582731247,60,35000,-20.116321563720703,-21.937889099121094,227,0.00075,154
500.0,,1.204122685714286,,,70,35000,,,227,,154
500.0,2764,1.1304528690476192,0.12609758973121643,0.02856266498565674,80,42000,-24.16811752319336,-22.515743255615234,226,0.00075,185
500.0,3264,1.1430647448979592,0.0868849977850914,0.12470550835132599,90,49000,-28.15898895263672,-22.168006896972656,225,0.00075,217
500.0,3764,1.07211658,0.059956323355436325,0.06495749950408936,100,56000,-32.086517333984375,-22.516799926757812,224,0.00075,249
500.0,,1.07211658,,,110,56000,,,224,,249
500.0,4264,0.95892979,0.041514940559864044,0.10457361489534378,120,63000,-33.62291717529297,-21.861921310424805,223,0.00075,282
500.0,4764,0.9877879199999999,0.02890406921505928,0.0784921944141388,130,70000,-38.18251419067383,-20.812633514404297,222,0.00075,314
500.0,,0.9877879199999999,,,140,70000,,,222,,314
500.0,5264,0.96765676,0.02042972669005394,2.3691513538360596,150,77000,-37.82977294921875,-20.808380126953125,221,0.00075,347
500.0,5764,1.03347708,0.014925369992852211,0.03746655583381653,160,84000,-38.66669845581055,-20.502742767333984,220,0.00075,380
500.0,6264,1.18169625,0.010954810306429863,5.006715774536133,170,91000,-24.263851165771484,-20.03462028503418,219,0.00075,413
500.0,,1.18169625,,,180,91000,,,219,,413
500.0,6764,1.28540393,0.00837615504860878,2.6886773109436035,190,98000,-29.331119537353516,-19.428699493408203,219,0.00075,447
500.0,7264,1.3178967899999998,0.00640042033046484,0.029821215197443962,200,105000,-27.426971435546875,-18.83078384399414,218,0.00075,480
500.0,,1.3178967899999998,,,210,105000,,,218,,480
500.0,7764,1.7142168,0.0052640545181930065,2.798150062561035,220,112000,-26.902700424194336,-18.145036697387695,217,0.00075,513
