time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/ent_coef_loss,time/fps,train/n_updates,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef,train/actor_loss,train/learning_rate
28,10,0.9270794285714284,-2.324949264526367,245,264,7000,500.0,0.07563011348247528,0.8208494782447815,-11.64741325378418,0.00075
60,20,0.8128786428571431,-6.740914344787598,232,764,14000,500.0,0.05384434014558792,0.5641047954559326,-15.767072677612305,0.00075
91,30,0.826953119047619,-11.103496551513672,228,1264,21000,500.0,0.031385939568281174,0.38767096400260925,-18.78500747680664,0.00075
92,40,0.826953119047619,,228,,21000,500.0,,,,
123,50,0.9440801964285713,-15.57717514038086,226,1764,28000,500.0,2.616819143295288,0.26644429564476013,-20.674179077148438,0.00075
155,60,0.9225228999999999,-19.998746871948242,225,2264,35000,500.0,0.20806200802326202,0.1831677258014679,-21.3492431640625,0.00075
155,70,0.9225228999999999,,225,,35000,500.0,,,,
187,80,0.9931745833333333,-24.164627075195312,224,2764,42000,500.0,0.04367048293352127,0.125975102186203,-22.43938446044922,0.00075
219,90,0.9550462551020407,-28.542757034301758,223,3264,49000,500.0,0.05038278177380562,0.08673838526010513,-22.614948272705078,0.00075
252,100,0.9462805999999999,-31.551698684692383,221,3764,56000,500.0,0.09041748195886612,0.05988427996635437,-22.05385971069336,0.00075
252,110,0.9462805999999999,,221,,56000,500.0,,,,
284,120,0.9765687899999999,-36.221778869628906,221,4264,63000,500.0,0.033412009477615356,0.041468799114227295,-22.08490753173828,0.00075
318,130,0.96442692,-38.861602783203125,219,4764,70000,500.0,0.01913822628557682,0.029047582298517227,-21.842636108398438,0.00075
318,140,0.96442692,,219,,70000,500.0,,,,
351,150,0.95961526,-35.399906158447266,219,5264,77000,500.0,0.044216856360435486,0.020702490583062172,-20.908161163330078,0.00075
384,160,1.00681839,-35.34056091308594,218,5764,84000,500.0,0.05628291890025139,0.014991369098424911,-20.483407974243164,0.00075
418,170,0.9522428099999999,-32.087318420410156,217,6264,91000,500.0,0.10824304819107056,0.011061650700867176,-20.019390106201172,0.00075
418,180,0.9522428099999999,,217,,91000,500.0,,,,
451,190,1.08097391,-12.265890121459961,217,6764,98000,500.0,0.019087854772806168,0.008505034260451794,-19.82233428955078,0.00075
485,200,1.07548423,-10.808155059814453,216,7264,105000,500.0,0.11755487322807312,0.006867352873086929,-18.635387420654297,0.00075
485,210,1.07548423,,216,,105000,500.0,,,,
518,220,1.0086393599999999,-20.756759643554688,216,7764,112000,500.0,0.024538245052099228,0.0055101062171161175,-19.002933502197266,0.00075
551,230,0.9973870600000001,-10.795016288757324,215,8264,119000,500.0,0.06053604930639267,0.0048116659745574,-18.43419647216797,0.00075
584,240,1.06344919,-16.137672424316406,215,8764,126000,500.0,0.02502238005399704,0.004257039166986942,-18.121870040893555,0.00075
584,250,1.06344919,,215,,126000,500.0,,,,
618,260,0.9799096199999999,-13.984203338623047,215,9264,133000,500.0,0.03359980881214142,0.003828121582046151,-17.602619171142578,0.00075
