train/actor_loss,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/learning_rate,time/fps,train/ent_coef_loss,time/time_elapsed,train/n_updates,time/episodes,time/total_timesteps,rollout/ep_len_mean
-11.4816312789917,0.8267072857142856,0.8208199143409729,0.07270008325576782,0.00075,247,-2.322272777557373,28,264,10,7000,500.0
-15.491320610046387,1.0232596785714287,0.5640839338302612,0.04078911989927292,0.00075,232,-6.738680839538574,60,764,20,14000,500.0
-18.414806365966797,1.1270132380952382,0.38766852021217346,3.670985221862793,0.00075,228,-11.186031341552734,92,1264,30,21000,500.0
,1.1270132380952382,,,,228,,92,,40,21000,500.0
-20.594619750976562,1.1042746428571426,0.2664732038974762,2.642763137817383,0.00075,225,-15.55752944946289,124,1764,50,28000,500.0
-21.462718963623047,1.126198842857143,0.18322442471981049,0.06572817265987396,0.00075,223,-19.948755264282227,156,2264,60,35000,500.0
,1.126198842857143,,,,223,,156,,70,35000,500.0
-22.174476623535156,1.1010809047619048,0.1260337382555008,0.08052048087120056,0.00075,222,-24.2656307220459,188,2764,80,42000,500.0
-22.433921813964844,1.123788306122449,0.08677275478839874,6.891551971435547,0.00075,221,-28.62809944152832,221,3264,90,49000,500.0
-22.209243774414062,1.1579850999999999,0.05989443510770798,0.03366759419441223,0.00075,221,-32.663841247558594,253,3764,100,56000,500.0
,1.1579850999999999,,,,221,,253,,110,56000,500.0
-21.965002059936523,1.13160646,0.04158318415284157,0.03731255233287811,0.00075,220,-36.25041198730469,285,4264,120,63000,500.0
-21.566696166992188,1.1466855699999998,0.02909678779542446,0.024021441116929054,0.00075,219,-37.178462982177734,318,4764,130,70000,500.0
,1.1466855699999998,,,,219,,318,,140,70000,500.0
-21.199806213378906,1.16443345,0.020595340058207512,0.06662608683109283,0.00075,219,-37.60162353515625,351,5264,150,77000,500.0
-20.909786224365234,1.1091144099999999,0.014657074585556984,0.03891311213374138,0.00075,218,-41.64862060546875,384,5764,160,84000,500.0
-20.08737564086914,1.08377018,0.0108258668333292,0.036428820341825485,0.00075,217,-30.164430618286133,418,6264,170,91000,500.0
,1.08377018,,,,217,,418,,180,91000,500.0
-19.476154327392578,1.07234684,0.008313698694109917,3.812335968017578,0.00075,217,-35.00566482543945,450,6764,190,98000,500.0
-18.736404418945312,1.0272357799999998,0.006395969074219465,0.029246650636196136,0.00075,217,-24.275104522705078,482,7264,200,105000,500.0
,1.0272357799999998,,,,217,,482,,210,105000,500.0
-18.773530960083008,0.98009515,0.005060943309217691,0.020070018246769905,0.00075,216,-23.13741683959961,516,7764,220,112000,500.0
-18.007781982421875,0.90884492,0.004255387466400862,1.80828058719635,0.00075,216,-11.013711929321289,548,8264,230,119000,500.0
-17.25910186767578,0.9257165700000001,0.003678834531456232,0.046005599200725555,0.00075,216,-10.498655319213867,581,8764,240,126000,500.0
,0.9257165700000001,,,,216,,581,,250,126000,500.0
-16.814144134521484,0.8849238300000001,0.003333237487822771,0.037600867450237274,0.00075,216,-4.305549621582031,613,9264,260,133000,500.0
-15.928619384765625,1.0850884899999997,0.003122344147413969,0.04433784261345863,0.00075,216,4.313867568969727,645,9764,270,140000,500.0
,1.0850884899999997,,,,216,,645,,280,140000,500.0
-15.653642654418945,1.1431684999999998,0.0030114685650914907,2.790046453475952,0.00075,217,-6.064154624938965,676,10264,290,147000,500.0
-16.108312606811523,1.15182422,0.0027326433919370174,0.04478815197944641,0.00075,217,5.663608551025391,708,10764,300,154000,500.0
-15.197471618652344,1.15421972,0.0026727132499217987,0.019257724285125732,0.00075,217,-2.6906228065490723,740,11264,310,161000,500.0
,1.15421972,,,,217,,740,,320,161000,500.0
-15.666085243225098,1.1675703000000002,0.0022558742202818394,0.026225946843624115,0.00075,217,-6.751791000366211,771,11764,330,168000,500.0
-14.529260635375977,1.1442168700000002,0.0022927792742848396,0.027622170746326447,0.00075,217,14.411330223083496,804,12264,340,175000,500.0
,1.1442168700000002,,,,217,,804,,350,175000,500.0
-14.420251846313477,1.64316171,0.0025259533431380987,0.01982961595058441,0.00075,217,9.74626350402832,836,12764,360,182000,500.0
-14.174140930175781,1.60893419,0.0024638171307742596,0.017288345843553543,0.00075,217,-4.522961139678955,869,13264,370,189000,500.0
-13.998159408569336,2.37593775,0.0024401762057095766,0.024587033316493034,0.00075,217,-4.095029830932617,900,13764,380,196000,500.0
,2.37593775,,,,217,,900,,390,196000,500.0
-13.263511657714844,2.31064978,0.002567232819274068,0.01376375462859869,0.00075,217,0.8495025634765625,932,14264,400,203000,500.0
-13.222246170043945,2.5096608000000002,0.002304773312062025,0.026256274431943893,0.00075,217,5.235358238220215,964,14764,410,210000,500.0
,2.5096608000000002,,,,217,,964,,420,210000,500.0
-13.187458992004395,2.4690672999999994,0.0022416843567043543,0.03219327703118324,0.00075,217,-6.016396999359131,995,15264,430,217000,500.0
-12.826892852783203,2.8155397500000006,0.0023161042481660843,0.04032408446073532,0.00075,217,8.384944915771484,1027,15764,440,224000,500.0
-12.530637741088867,2.5226413599999997,0.002139542018994689,0.01871158368885517,0.00075,217,-5.449224472045898,1060,16264,450,231000,500.0
,2.5226413599999997,,,,217,,1060,,460,231000,500.0
-11.967514038085938,2.61037016,0.0019235847285017371,1.4601536989212036,0.00075,218,-8.209466934204102,1091,16764,470,238000,500.0
-11.78631591796875,2.0363618900000002,0.001856539398431778,0.02205062098801136,0.00075,217,4.665247917175293,1124,17264,480,245000,500.0
,2.0363618900000002,,,,217,,1124,,490,245000,500.0
-11.4373197555542,1.8651267599999999,0.0019913676660507917,0.015326646156609058,0.00075,217,3.520894765853882,1157,17764,500,252000,500.0
-11.151106834411621,2.1653774099999996,0.0017528356984257698,0.026668325066566467,0.00075,217,-4.151881217956543,1190,18264,510,259000,500.0
-11.069356918334961,2.1445071400000004,0.00185567291919142,0.01860986463725567,0.00075,217,-5.706083297729492,1223,18764,520,266000,500.0
,2.1445071400000004,,,,217,,1223,,530,266000,500.0
-10.763404846191406,1.9396021399999999,0.0017980533884838223,0.01434408687055111,0.00075,217,-2.766815185546875,1255,19264,540,273000,500.0
-10.144293785095215,1.8098749399999996,0.0017058666562661529,0.9065906405448914,0.00075,217,12.324784278869629,1287,19764,550,280000,500.0
,1.8098749399999996,,,,217,,1287,,560,280000,500.0
-10.07162094116211,1.8188922200000002,0.0016062468057498336,1.0008759498596191,0.00075,217,-3.811290740966797,1319,20264,570,287000,500.0
-10.034982681274414,1.6911244699999997,0.001506567350588739,0.8389238715171814,0.00075,217,7.461670398712158,1351,20764,580,294000,500.0
-9.52549934387207,1.7368891799999997,0.001320692477747798,0.01110360398888588,0.00075,217,-6.8388991355896,1383,21264,590,301000,500.0
,1.7368891799999997,,,,217,,1383,,600,301000,500.0
-9.508118629455566,1.28667417,0.0013310558861121535,0.7397418022155762,0.00075,217,3.6039748191833496,1414,21764,610,308000,500.0
-9.311334609985352,2.1776460399999995,0.0013375034322962165,0.007659646216779947,0.00075,217,3.3143844604492188,1447,22264,620,315000,500.0
,2.1776460399999995,,,,217,,1447,,630,315000,500.0
-9.160966873168945,2.30647472,0.0013986257836222649,0.7019519805908203,0.00075,217,-4.629958152770996,1480,22764,640,322000,500.0
-8.847405433654785,4.1635427499999995,0.0012656447943300009,0.009353233501315117,0.00075,217,-6.652565956115723,1511,23264,650,329000,500.0
-8.850752830505371,4.33056482,0.0015155632281675935,0.00686334352940321,0.00075,217,7.2356462478637695,1544,23764,660,336000,500.0
,4.33056482,,,,217,,1544,,670,336000,500.0
-8.445269584655762,5.36821782,0.0014593185624107718,0.020765971392393112,0.00075,217,9.282760620117188,1576,24264,680,343000,500.0
-8.280068397521973,5.34417507,0.0014795828610658646,0.01055432390421629,0.00075,217,-2.1623222827911377,1609,24764,690,350000,500.0
,5.34417507,,,,217,,1609,,700,350000,500.0
-8.237831115722656,6.026171990000002,0.0014329993864521384,0.3861454129219055,0.00075,217,7.463923931121826,1641,25264,710,357000,500.0
-8.2296142578125,5.816041799999999,0.0015157765010371804,0.009248041547834873,0.00075,217,-10.499795913696289,1671,25764,720,364000,500.0
-8.008417129516602,6.60739595,0.0014914178755134344,0.006281136069446802,0.00075,217,9.95137882232666,1704,26264,730,371000,500.0
,6.60739595,,,,217,,1704,,740,371000,500.0
-7.790283679962158,8.09667291,0.0014028798323124647,0.00876043364405632,0.00075,217,-4.569577217102051,1737,26764,750,378000,500.0
-7.541661262512207,8.13392708,0.0013330064248293638,0.00892698671668768,0.00075,217,7.035619258880615,1769,27264,760,385000,500.0
,8.13392708,,,,217,,1769,,770,385000,500.0
-7.479438304901123,9.58927937,0.0015575509751215577,0.00869419239461422,0.00075,217,-3.3590149879455566,1801,27764,780,392000,500.0
-7.275911331176758,10.22189997,0.0014720222679898143,0.12042896449565887,0.00075,217,5.422633647918701,1832,28264,790,399000,500.0
-7.297677993774414,10.203378,0.001274234615266323,0.018471330404281616,0.00075,217,2.0062456130981445,1864,28764,800,406000,500.0
,10.203378,,,,217,,1864,,810,406000,500.0
-7.035486221313477,11.793298730000002,0.0013458465691655874,0.012450551614165306,0.00075,217,0.7990540266036987,1896,29264,820,413000,500.0
-7.119266986846924,13.239117360000002,0.001194287440739572,0.019917629659175873,0.00075,217,-6.392907619476318,1928,29764,830,420000,500.0
,13.239117360000002,,,,217,,1928,,840,420000,500.0
-6.992027759552002,12.48087737,0.00124759366735816,0.03100886195898056,0.00075,217,6.324525356292725,1960,30264,850,427000,500.0
-6.86710262298584,13.07906951,0.001523938262835145,0.01099758967757225,0.00075,217,4.713840007781982,1992,30764,860,434000,500.0
-6.4752702713012695,12.196883750000001,0.0011850969167426229,0.01811843365430832,0.00075,217,-2.6647586822509766,2024,31264,870,441000,500.0
,12.196883750000001,,,,217,,2024,,880,441000,500.0
-6.506312847137451,17.687674140000002,0.001413009944371879,0.3995911180973053,0.00075,217,2.757436990737915,2056,31764,890,448000,500.0
-6.406342506408691,17.9314507,0.0013960478827357292,0.01863892748951912,0.00075,217,4.5895161628723145,2088,32264,900,455000,500.0
,17.9314507,,,,217,,2088,,910,455000,500.0
-6.4240336418151855,18.30646423,0.0014858973445370793,0.019404688850045204,0.00075,217,-5.691240310668945,2121,32764,920,462000,500.0
-6.352227210998535,17.98708619,0.001398258376866579,0.019123807549476624,0.00075,217,-12.360090255737305,2153,33264,930,469000,500.0
-6.396294116973877,16.924255510000002,0.0013570322189480066,0.013162440620362759,0.00075,217,10.83574104309082,2185,33764,940,476000,500.0
,16.924255510000002,,,,217,,2185,,950,476000,500.0
-5.965175151824951,15.588600150000001,0.0015989862149581313,0.019106697291135788,0.00075,217,2.004495143890381,2216,34264,960,483000,500.0
-5.778216361999512,15.716779190000004,0.0016840450698509812,0.021702850237488747,0.00075,217,3.1475820541381836,2248,34764,970,490000,500.0
,15.716779190000004,,,,217,,2248,,980,490000,500.0
-5.947792053222656,10.362068620000002,0.0016372642712667584,0.27927637100219727,0.00075,217,-1.297032117843628,2280,35264,990,497000,500.0
-5.715017795562744,10.821650489999998,0.0016614224296063185,0.01815122365951538,0.00075,217,-8.49752426147461,2312,35764,1000,504000,500.0
-5.795526504516602,10.28975481,0.0015279983635991812,0.056204505264759064,0.00075,218,-0.9994463920593262,2343,36264,1010,511000,500.0
,10.28975481,,,,218,,2343,,1020,511000,500.0
-6.050825595855713,9.995067469999999,0.0019006013171747327,0.012469136156141758,0.00075,218,1.2453404664993286,2376,36764,1030,518000,500.0
-5.727757453918457,9.999371790000001,0.0018300560768693686,0.012575794011354446,0.00075,218,1.3870363235473633,2407,37264,1040,525000,500.0
,9.999371790000001,,,,218,,2407,,1050,525000,500.0
-5.83976936340332,10.152395280000002,0.0018142228946089745,0.030132148414850235,0.00075,218,-1.1631906032562256,2439,37764,1060,532000,500.0
-5.8938093185424805,9.243142149999999,0.001941555179655552,0.04531491547822952,0.00075,218,-3.359661817550659,2471,38264,1070,539000,500.0
-5.604798316955566,23.938207270000003,0.001915506087243557,0.05256379023194313,0.00075,218,-1.059980034828186,2504,38764,1080,546000,500.0
,23.938207270000003,,,,218,,2504,,1090,546000,500.0
-5.895386695861816,23.613819330000005,0.0019750248175114393,0.1727745234966278,0.00075,217,1.6577244997024536,2537,39264,1100,553000,500.0
-5.393752098083496,24.43165155999999,0.001957395114004612,0.02335689775645733,0.00075,217,-1.5005643367767334,2569,39764,1110,560000,500.0
,24.43165155999999,,,,217,,2569,,1120,560000,500.0
-5.5500712394714355,22.796753619999993,0.001805590116418898,0.05169779434800148,0.00075,217,-5.40947961807251,2602,40264,1130,567000,500.0
-5.336030960083008,24.294177189999996,0.0018068862846121192,0.046368420124053955,0.00075,217,-5.709989547729492,2634,40764,1140,574000,500.0
